Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
CA2356735,07.03.2002,MEAL KIT PACKAGING SYSTEM,"[09/656,157 2000-09-06T23:59:59.000Z US]",B65D 5/32;B65D 5/54;B65D 85/72,"KRAFT FOODS HOLDINGS, INC.","KINIGAKIS, PANAGIOTIS",NA
CA2565232,18.11.2005,CHEESE AND METHODS OF MAKING SUCH CHEESE,"[60/568,029 2004-05-03T23:59:59.000Z US]",A23C 19/00,LEPRINO FOODS COMPANY,"MERRILL, RICHARD K.;SINGH, MAYANK",NA
CA2593420,14.07.2006,INDEXING DOCUMENTS ACCORDING TO GEOGRAPHICAL RELEVANCE,"[11/024,790 2004-12-30T23:59:59.000Z US]",G06F 17/30,GOOGLE INC.,"EGNOR, DANIEL",NA
CA1238225,22.06.1988,FOOD PROCESSING METHOD AND APPARATUS,[PG 2246 1983-11-07T23:59:59.000Z AU],A23P 1/06;A23L 3/36;A23L 3/375;F25D 3/11,NA,"VITKOVSKY, EUGENE C.",NA
CA1071921,20.02.1980,METHOD OF AND FOIL SHEET FOR COOKING AN ITEM OF FOOD,NA,A23L 3/02;A21B 3/13;B26F 1/00,NA,"AHIGREN, DAVID W.",NA
CA2166348,24.06.1997,BAKED DOUGH FOOD PRODUCT AND METHOD OF PREPARATION,"[08/577,380 1995-12-22T23:59:59.000Z US]",A21D 8/02;A21D 13/00;A21D 13/08,NA,"VIVIANO, ROBERT;AMBROZY, SUSAN LEE",NA
EP1742539,18.01.2007,CHEESE AND METHODS OF MAKING SUCH CHEESE,"[2005015270 2005-05-03T23:59:59.000Z US, 56802904 2004-05-03T23:59:59.000Z US]",A23C 19/00;A23C 19/068,LEPRINO FOODS CO,MERRILL RICHARD K;SINGH MAYANK,NA
EP2814045,18.12.2014,Compact low-loss triangular transformer and method for producing the same,[13172024 2013-06-14T23:59:59.000Z EP],H01F 27/00,ABB TECHNOLOGY AG,WALLUMROD JOHN;STRYKEN EGIL;KLYS PAWEL;FABIJANOWSKI WOJCIECH;NOWAK ROMAN;NOWAK TOMASZ;PLATEK ROBERT;SHOORY ABDOLHAMID,NA
US4713510,16.12.1987,Package for microwave cooking with controlled thermal effects,NA,H05B 6/64;F24C 7/02;F24C 7/02;B32B 27/10;B32B 27/10;B65D 81/34;B65D 81/34;F24C 7/08;F24C 7/08,International Paper Co.,Quick James R.;Mitchell James W.;Cooley Dennis A.,NA
US5317130,01.06.1994,Programmable load compensation method and apparatus for use in a food oven,NA,H05B 1/02;F24C 7/08;F24C 7/08;G05D 23/19;G05D 23/19,Henny Penny Corporation,Burkett Doug;Mercer Gary,NA
US5927598,28.07.1999,Energy management method and apparatus,NA,G05D 23/00;H02J 1/00;H02J 3/12;H02J 3/14;H02J 3/18;H02J 3/18,WeXL,Broe Thomas Kenneth,NA
US20010021405,14.09.2001,Heating element for a microwavable package,"[08703098 1996-08-26T23:59:59.000Z US, 09242930 1999-05-26T23:59:59.000Z US, 09835984 2001-04-16T23:59:59.000Z US]",H05B 6/80;B65D 81/34;B65D 81/34,Graphic Packaging Corporation,"Zeng, Neilson",NA
US6440481,28.08.2002,Method of making pasta filata cheese,[09519824 2000-03-06T23:59:59.000Z US],A23C 19/09;A23C 19/00;A23C 19/00;A23C 19/068;A23C 19/082,"Bongards' Creameries, Inc.","Gascoigne, Troy;Jewett, Brent;Ochsner, Roger",NA
US20020107747,09.08.2002,System and method for brokering food order transactions among a plurality of unaffiliated sellers,[09776130 2001-02-02T23:59:59.000Z US],G06F 17/60;G06Q 30/00;G06Q 30/00,"i2 Technologies, Inc.",Gerogianni Dimitra G.,NA
US7130822,01.11.2006,Budget planning,[09628479 2000-07-31T23:59:59.000Z US],G06Q 10/00;G06Q 10/00;G06Q 40/00;G06Q 40/00,Cognos Incorporated,Their Adam;Sandles Jon;Pearson Duncan,NA
US20070239430,12.10.2007,Correcting semantic classification of log data,[11390578 2006-03-28T23:59:59.000Z US],G06F 17/27;G06F 17/27,Microsoft Corporation,Ollason David G.,NA
US20080154738,27.06.2008,INTERACTIVE MARKETPLACE INFRASTRUCTURE,NA,G06Q 30/00;G06Q 30/00,MICROSOFT CORPORATION,Jain Kamal;Ozzie Raymond E.,NA
US20070055604,09.03.2007,Enterprise planning,NA,G06Q 10/00;G06Q 10/00;G06Q 40/00;G06Q 40/00,International Business Machines Corporation,Their Adam;Sandles Jon M.;Pearson Duncan,NA
US20100169317,02.07.2010,Product or Service Review Summarization Using Attributes,NA,G06F 17/30,Microsoft Corporation,Wang Ye-Yi;Yaman Sibel,NA
US20100211566,20.08.2010,ENTITY-BASED SEARCH RESULTS AND CLUSTERS ON MAPS,NA,G06F 17/30,YAHOO! INC.,"Ghanekar Joy;Cheng Jerry;Ott, IV Edward Stanley;Davis Marc Eliot",NA
US20120135676,01.06.2012,SYSTEM AND METHOD FOR DEPLOYMENT AND MANAGEMENT OF INTERACTIVE REGIONAL BROADCAST SERVICES,NA,H04H 20/71,Wu Cheng-Yu;Chang Channing;Feng Adam,Wu Cheng-Yu;Chang Channing;Feng Adam,NA
US20120138603,08.06.2012,VARIABLE GEOMETRY TORTILLA COOKING APPARATUS,NA,H05B 6/80,McGuinness Eugene T.;McGuinness Morgan,McGuinness Eugene T.;McGuinness Morgan,NA
US20140173832,27.06.2014,MULTI-PURPOSE KITCHEN KNIFE,[10-2012-0150633 2012-12-21T23:59:59.000Z KR],B26B 11/00;B26B 9/02;B26B 3/02,Kim John Jungwon,Kim John Jungwon,NA
US20150006510,02.01.2015,METHOD AND APPARATUS FOR PROVIDING CONVERSATION HISTORY GENERATED FROM MULTIPLE COMMUNICATION CHANNELS,NA,G06F 17/30,VONAGE NETWORK LLC,EFRATI TZAHI;BIANCO ITAY;STERMAN BARUCH;MACHLIN SAGIE;MINTZ IDO,NA
WO2010088701,06.08.2010,METHOD FOR INTEGRATING APPLICATIONS IN AN ELECTRONIC ADDRESS BOOK,"[61/149,120 02.02.2009 US]",G06F 15/16,"ASURION CORPORATION;HERRIOTT, Jonathan;CHOU, Howard;GILBY, Nancy, Benovich;UNI, Sharad;RAVI, Nisha;SALZBERG, Brandon","HERRIOTT, Jonathan;CHOU, Howard;GILBY, Nancy, Benovich;UNI, Sharad;RAVI, Nisha;SALZBERG, Brandon",NA
WO2006074056,14.07.2006,AUTHORITATIVE DOCUMENT IDENTIFICATION,"[11/024,967 30.12.2004 US]",G06F 17/30,"GOOGLE INC.;EGNOR, Daniel;CHAUDHRY, Geeta","EGNOR, Daniel;CHAUDHRY, Geeta",NA
WO1993003909,05.03.1993,METHOD AND APPARATUS FOR MANUFACTURING COEXTRUDED PRODUCTS,[91307538.8 15.08.1991 EP],A21C 3/08;A21C 11/16;A23P 1/12;B29C 47/04;B29C 47/06;B29C 47/24,"UNILEVER PLC;UNILEVER NV;COCKINGS, Terrence, Richard;MAWHINNEY, Peter, Thomas","COCKINGS, Terrence, Richard;MAWHINNEY, Peter, Thomas",NA
WO2002056640,19.07.2002,THERMAL/CONVECTION OVEN INCLUDING HALOGEN LAMPS,"[09/758,516 11.01.2001 US]",F24C 15/32;H05B 6/80,GENERAL ELECTRIC COMPANY,"NOLAN, Kevin, Farrelly;GRAVES, Todd, Vincent;WAGNER, Don, R.",NA
WO2005090889,30.09.2005,DUAL BELT CONVEYOR OVEN,"[10/800,060 12.03.2004 US]",F24C 15/32,"WOLFE ELECTRIC, INC.","WOLFE, Ronald, D.;WOLFE, Gary, L.;WOLFE, Dwane, D.",NA
WO2009061056,15.05.2009,"METHOD AND SYSTEM OF PROVIDING MESSAGE-BASED SERVICE, AND STORAGE MEDIA STORING INSTRUCTIONS PERFORMING THE SAME",[10-2007-0113589 08.11.2007 KR],H04Q 7/20,"HERIT CO., LTD.;YANG, Jin Hong;SONG, Geum Beom","YANG, Jin Hong;SONG, Geum Beom",NA
WO2009130556,30.10.2009,APPARATUS FOR MAKING AN EDIBLE CONTAINER,[PI2008A000035 24.04.2008 IT],A21C 15/02;A21D 13/00;A21B 5/02,"STARSTATUS TRADING INTERNACIONAL LDA;BIANCHI, Marco","BIANCHI, Marco",NA
EP0761571,13.03.1997,Method and apparatus for depositing products continuously fed by a delivering conveyor onto a platform,[954254 1995-09-11T23:59:59.000Z FI],B65G 37/00;A21C 9/08;A21C 9/08;B65G 47/34;B65G 21/14,LT KONE OY,LAMMELA MARTTI,NA
EP1798155,21.06.2007,Wrapping for packaging food products,[RM20050631 2005-12-15T23:59:59.000Z IT],B65D 33/04;B65D 75/52,POLICARTA SRL,GIUSTI ARTURO,NA
EP2383203,03.11.2011,A food package which keeps food fresh for a certain time,"[10004902 2010-05-08T23:59:59.000Z EP, 200901828 2009-03-09T23:59:59.000Z TR]",B65D 81/26,DURMUS NALAN;GOEKSEL MUMCU,DURMUS NALAN;GOEKSEL MUMCU,NA
EP2284651,17.02.2011,Graphical layout and keypad response to visually depict and implement device functionality for interactivity with a numbered keypad,"[01913046 2001-02-23T23:59:59.000Z EP, 51383100 2000-02-25T23:59:59.000Z US]",G06F 3/048;H03M 11/04;G06F 3/023;H04M 1/00;H04M 1/247;H04M 1/725,ACK VENTURES HOLDINGS LLC,HERIGSTAD DALE A;KARGMAN HARRY B,NA
EP0607002,21.07.1994,Process for preparing low-fat fried type food using gellan gum,[602793 1993-01-15T23:59:59.000Z US],A23L 1/176;A23L 1/054;A23L 1/01;A23L 1/217;A23L 1/00;A23P 1/08;A23L 1/054;A23L 1/176;A23L 1/217;A23L 1/307,MONSANTO CO,CHALUPA WILLIAM F;SANDERSON GEORGE R,NA
EP1162853,13.12.2001,Portable phone that changes behaviour according to its geographical position,[59133100 2000-06-09T23:59:59.000Z US],H04Q 7/38;H04M 1/725;H04M 19/04;H04Q 7/38,IBM,BATES CARY LEE;RYAN JEFFREY MICHAEL;SANTOSUOSSO JOHN MATTHEW,NA
EP2009357,01.01.2009,Ergonomic and accident-prevention structure of door for professional food cooking ovens,[PS20070007U 2007-06-25T23:59:59.000Z IT],F24C 15/02,MORETTI FORNI S P A,MORETTI MARCO,NA
EP1637294,23.03.2006,SYSTEM FOR MOVING A FOOD PRODUCT ON A CUTTING BENCH OR SIMILAR,"[200300983 2003-04-30T23:59:59.000Z ES, 2004000178 2004-04-27T23:59:59.000Z ES]",B26D 7/20;B23Q 1/48;B23Q 5/34;B23Q 5/38;B23Q 5/40;B26D 7/01;B26D 7/06;B26F 3/00;B65G 47/244,METRONICS TECHNOLOGIES S L,DE ORTE GLARIA BENITO ANDRES,NA
EP0625304,24.11.1994,"Cheese moulding and hardening machine, particularly for pasta filata cheese",[TO930171 1993-03-15T23:59:59.000Z IT],A01J 25/00;A01J 25/00,CMT COSTR MECC & TEC,TOMATIS STEFANO,NA
EP1084667,22.03.2001,A machine for warming up and toasting sandwiches and other analogous foodstuffs,[9902333U 1999-09-13T23:59:59.000Z ES],A47J 37/08;A47J 37/08,RUIZ HUERTAS JOSE MARIA;MIRO PEPIO ROSA MARIA,RUIZ HUERTAS JOSE MARIA,NA
EP0314043,04.05.1989,"PRODUCTION METHOD FOR METALLIZED LAMINATED PLASTIC CARDBOARD, IN PARTICULAR FOR ALIMENTARY USE, AND RESPECTIVE PRODUCT",[8348287 1987-10-27T23:59:59.000Z IT],B32B 15/12;B65D 5/56;B65D 5/56,VENTURINI A & C BIOGRAF,"VENTURINI, VITTORIO",NA
CA2135280,26.11.1993,MOULDED CONTAINER,[PL 2332 1992-05-08T23:59:59.000Z AU],B65D 1/34;B65D 5/20,NA,"ONG, ALEX;MAMMOLITI, JOHN;CHIODO, ROSS",NA
CA2813529,NA,VEHICLE NAVIGATION SYSTEM AND METHOD,"[10/142,670 2002-05-10T23:59:59.000Z US, 60/364,538 2002-03-15T23:59:59.000Z US]",G01C 21/34;G01C 21/36;G08G 1/0967;G08G 1/0968,"WI-GUI, LLC",NA,NA
CA2748919,16.07.2010,ELEVATED MICROWAVE HEATING CONSTRUCT,"[61/143,858 2009-01-12T23:59:59.000Z US]",A47J 27/088;A47J 36/02;B65D 5/54;B65D 81/34;H05B 6/80,"GRAPHIC PACKAGING INTERNATIONAL, INC.","LAFFERTY, TERRENCE P.;COLE, LORIN R.;MIDDLETON, SCOTT W.",NA
CA2757009,12.11.2010,VENTED SUSCEPTOR STRUCTURE,"[61/214,758 2009-04-28T23:59:59.000Z US]",H05B 6/64;H05B 6/80,"GRAPHIC PACKAGING INTERNATIONAL, INC.","LAFFERTY, TERRENCE P.",NA
CA2401526,08.03.2003,SYSTEM AND METHOD FOR THE CREATION OF INTERACTIVE DISPLAY ADS,"[60/318,105 2001-09-07T23:59:59.000Z US]",G06Q 30/02;G06F 3/14,"SWITCHBOARD, INC.","ARNOLD, JOHN E.",NA
CA2532096,08.07.2006,COMBINATION MICROWAVE OVEN PEDESTAL AND SUPPORT COOKING SHEETS FOR MICROWAVABLE DOUGH PRODUCTS,"[11/030,829 2005-01-07T23:59:59.000Z US]",F24C 15/16;A47J 36/20;B65B 25/22;B65B 29/08;B65D 81/34;H05B 6/80,"KRAFT FOODS HOLDINGS, INC.","DODGE, ANGELA N.;ZENG, SUZY",NA
CA2462009,12.12.2004,SYSTEM AND METHOD FOR PROVIDING RULES-BASED DIRECTORY ASSISTANCE AUTOMATION,"[10/458,862 2003-06-11T23:59:59.000Z US]",H04M 3/493;G10L 15/22;G10L 21/00,NORTEL NETWORKS LIMITED,"GALLISTEL, LORIN R.",NA
CA2031612,09.06.1991,SURFACE HEATING FOOD WRAP WITH VARIABLE MICROWAVE TRANSMISSION,"[07/447,392 1989-12-07T23:59:59.000Z US]",B05D 5/12;B05D 3/02;B05D 3/12;B05D 7/24;B65D 81/34,E. I. DU PONT DE NEMOURS AND COMPANY,"BENSON, KENNETH ALLEN;FONG, DAN SHAU CHEONG",NA
CA1177311,07.11.1984,"LOW-CALORIE, SUGAR-FREE CHEWING GUM CONTAINING  POLYDEXTROSE","[319,360 1981-11-09T23:59:59.000Z US]",A23G 4/00,NA,"KLOSE, ROBERT E.;SJONVALL, RAGNAR E.",NA
CA1306512,19.08.1992,"APPARATUS FOR COOKING THIN DISHES SUCH AS OMELETS, QUICHES OR THE LIKE",[87 16 655 1987-12-01T23:59:59.000Z FR],A21B 5/02;A21B 1/48;A21B 2/00;A21B 5/03;H05B 6/12,NA,"NUNS, JACQUES;GIRAULT, ALAIN",NA
za1997/07115,30.04.1998,BLANKS FOR CONTAINERS,NA,B65D,PANAYIOTIS GARGASSOULAS;NICOLAS GARGASSOULAS,PANAYIOTIS GARGASSOULAS;NICOLAS GARGASSOULAS,NA
CA2755454,24.09.2010,A DEVICE HAVING A HANDGRIP FOR TRANSPORTING CONTAINERS,[BO2009A 000150 2009-03-16T23:59:59.000Z IT],B65D 71/12;A45C 3/04;B65D 71/16;B65D 71/20;B65D 71/30,"GRUPPIONI, GIORGIO","GRUPPIONI, GIORGIO",NA
CA2358271,19.06.2002,TOASTER OVEN WITH MODULAR STORAGE COMPARTMENT,"[09/740,207 2000-12-18T23:59:59.000Z US]",A47J 37/08;A47J 37/06,HP INTELLECTUAL CORP.,"CHASEN, JAMES E.;MELITO, M. ANTHONY;SANDOR, JAMES A.",NA
EP0504264,24.09.1992,SURFACE HEATING FOOD WRAP WITH VARIABLE MICROWAVE TRANSMISSION,"[44739289 1989-12-07T23:59:59.000Z US, 9007014 1990-12-06T23:59:59.000Z US]",H05B 6/64;A23L 1/01;B32B 15/02;B32B 27/16;B65D 81/34;F24C 7/02;H05B 6/74,DU PONT,BENSON KENNETH ALLEN;FONG DAN SHAU CHEONG,NA
CA2194944,20.07.1997,"FLOUR BLENDS FOR BREADS, CAKES, OR NOODLES, AND FOODS PREPARED FROM THE FLOUR BLENDS","[6523/1996 1996-01-18T23:59:59.000Z JP, 6524/1996 1996-01-18T23:59:59.000Z JP, 6525/1996 1996-01-18T23:59:59.000Z JP]",A23L 1/10;A21D 13/00,"NISSHIN FLOUR MILLING CO., LTD.;MINISTRY OF AGRICULTURE, FORESTRY AND FISHERIES TOHOKU NATIONAL AGRICULTURAL EXPERIMENT STATION","HOSHINO, TSUGUHIRO;YOSHIKAWA, RYO;ITO, SEIJI;HATTA, KOICHI;NAKAMURA, TOSHIKI;YAMAMORI, MAKOTO;HAYAKAWA, KATSUYUKI;TANAKA, KEIKO;AKASHI, HAJIME;ENDO, SHIGERU;TAGO, SEIJI;ISHIGAMI, SHINJI",NA
US4156018,23.05.1979,Preparation of a powdered cheese product,[05694318 1976-06-09T23:59:59.000Z US],A23C 19/00;A23C 19/086;A23C 19/093,Societe d'Assistance Technique pour Produits Nestle S.A.,Sozzi Tomaso,NA
US4265393,06.05.1981,Box construction,NA,B65D 5/64;B65D 5/66,Orco Sales Co. Inc.,Orchard Edgar L.,NA
US5655297,13.08.1997,Method to part welded vessel sections without violating internal cleanliness,NA,B23P 15/26;B23D 21/00;B23D 21/04,The Babcock & Wilcox Company,Randolph Harrison P.;Canfield Rudolph M.;Bees William J.,NA
US5253791,20.10.1993,Rack for carrying articles on a seat of a vehicle,NA,B60R 7/04;B60R 7/04;B60R 7/04,CHIODO JOHN A,Chiodo John A.,NA
US6097004,02.08.2000,Multipurpose pan,[19980018665 1998-05-23T23:59:59.000Z KR],H05B 3/68;F27D 11/00;A47J 37/10;A47J 37/10;A47J 37/06;A47J 37/06;H05B 3/68;H05B 3/68,SEUL; YONG-SEUK,Seul Yong-Seuk,NA
US5939113,18.08.1999,Free-standing lasagna product,[08485713 1995-06-07T23:59:59.000Z US],A21D 13/00;A23L 1/16;A23L 1/16,HURSH; JEFFREY A.,Hursh Jeffrey A.,NA
US20050106303,20.05.2005,Cheese compositions and related methods,[71573403 2003-11-17T23:59:59.000Z US],A23C 19/00;A23C 19/00;A23C;A23C 19/082,"General Mills Marketing, Inc.",Huang Victor T.;Panda Fern A.;Smith Erika B.,NA
US20050204566,23.09.2005,Travel food scissor,[10804774 2004-03-22T23:59:59.000Z US],B26B 3/06;B26B 3/00;B26B 3/06;B26B 13/00;B26B 13/00;B26B 13/06,LOPORCARO DENISE,Loporcaro Denise,NA
US20060094328,05.05.2006,Activity device,NA,A63H 33/00,"Mattel, Inc.",Drosendahl Christine A.;Maggiore Albert P.,NA
US20050159097,22.07.2005,Airflow control in heating and air-conditioning units,NA,F28D 7/10;F28D 7/10;B60H 1/00;B60H 1/00;B60H 3/00;B60H 3/00;B61D 27/00;B61D 27/00,Valeo Climate Control Corporation,Newman David;Delplace Richard;Marshall Steven,NA
US20070007324,12.01.2007,"Gift wrap kit, methods and apparatus","[11438970 2006-05-23T23:59:59.000Z US, 60696650 2005-07-06T23:59:59.000Z US]",B65D 65/02;B65D 65/02,WEDDINGTON LYNN;WEDDINGTON LAURIE;THOMPSON ANN,Weddington Lynn;Weddington Laurie;Thompson Ann,NA
US20080230537,26.09.2008,Susceptor with corrugated base,"[11075837 2008-03-14T23:59:59.000Z US, 60919745 2007-03-23T23:59:59.000Z US]",H05B 6/80;H05B 6/80,LAFFERTY TERRENCE P,Lafferty Terrence P.,NA
US20080300903,05.12.2008,DELIVERY/PICKUP SERVICE ACTIVATOR AND ADVISOR,[60859462 2006-11-15T23:59:59.000Z US],G06Q 10/00;G06Q 10/00,BELLATRIX SYSTEMS,Lundy Rene R.,NA
US20090268883,30.10.2009,Dynamically publishing directory information for a plurality of interactive voice response systems,NA,H04M 1/64;H04M 1/64,International Business Machines Corporation,"Agapi Ciprian;Bodin William K.;Cross, Jr. Charles W.;Wang Fang",NA
US20090327078,01.01.2010,METHOD AND SYSTEM FOR DISPLAYING INFORMATION BASED ON USER ACTIONS,NA,G06Q 30/00;G06Q 30/00;G01C 21/26;G01C 21/26;G06F 3/048;G06F 3/048,GOOGLE INC.,Ohazama Chikai J.;Chapin Charles;Nanavati Vibhor;Tang Xinyu,NA
US20090164466,26.06.2009,Health advisor,NA,G06F 17/30;G06F 17/30;G06F 7/06;G06F 7/08;G06F 15/16;G06F 15/16,Accenture Global Services Ltd.,Badyal Tushar,NA
US20120037691,17.02.2012,FOOD CARTON,NA,B65D 5/00;B31B 1/00;B65D 43/00,"Hubbard, JR. James A.;Cook Matthew R.;Fu Thomas","Hubbard, JR. James A.;Cook Matthew R.;Fu Thomas",NA
US20130078338,29.03.2013,"METHOD, KIT, AND CONTAINER FOR PREPARING A SNACK FOOD",NA,B65D 81/34;A23L 1/217;H05B 6/80;A21D 13/00;A23L 1/10;A23L 1/312;A23P 1/08;A23L 1/18,Thomas Haley,Thomas Haley,NA
US20130044643,22.02.2013,SYSTEMS AND METHODS FOR MAKING AWARDS BASED ON TELEPHONY ACTIVITY,NA,H04L 12/16,Efrati Tzahi;Oren Amichay,Efrati Tzahi;Oren Amichay,NA
US20120257730,12.10.2012,Dynamically publishing directory information for a plurality of interactive voice response systems,NA,H04M 1/64,"Agapi Ciprian;International Business Machines Corporation;Bodin William K.;Cross, Jr. Charles W.;Wang Fang","Agapi Ciprian;Bodin William K.;Cross, Jr. Charles W.;Wang Fang",NA
US20130339163,20.12.2013,Food Recommendation Based on Order History,NA,G06Q 30/06;G06Q 50/12,Dumontet Christian;Jannoti John,Dumontet Christian;Jannoti John,NA
US20130179264,12.07.2013,SYSTEM AND METHOD FOR GENERATING AND SENDING PROMOTIONAL OFFERS VIA TEXT MESSAGE,NA,G06Q 30/02,"WILSON KYLE J.;INTERACTIVE COUPON EXCHANGE, INC.",WILSON KYLE J.,NA
US20130325345,06.12.2013,NAVIGATING TO A SELECTED LOCATION,NA,G01C 21/00;G06F 17/30,Byrne Paul Vincent;Google Inc.,Byrne Paul Vincent,NA
US20140272022,19.09.2014,"DEVICE TO MOLD AND COOK A FOOD PRODUCT, METHOD TO OBTAIN SAID FOOD PRODUCT AND FOOD PRODUCT THUS OBTAINED",[UD2011A000159 2011-10-07T23:59:59.000Z IT],A21B 3/13;A21D 8/06,INNOVATION ALPS S.A.,Acampora Gerardo,NA
US20140280046,19.09.2014,SEARCHING USING SOCIAL FILTERS AS OPERATORS,NA,G06F 17/30,NA,Itay Meir Ben;Liu Min;Buchmueller Daniel;Saura Jose,NA
WO2008045701,18.04.2008,"LOCATION BASED, CONTENT TARGETED INFORMATION","[11/539,109 05.10.2006 US]",G06Q 30/00,"GOOGLE INC.;BAUMAN, Shannon, P.;SCHMIDT, Keith;PREUSS, Dominic","BAUMAN, Shannon, P.;SCHMIDT, Keith;PREUSS, Dominic",NA
WO1995021104,11.08.1995,A CORRUGATED FIBREBOARD BOX FOR FOODS,"[08/189,915 01.02.1994 US]",B65D 5/02;B65D 65/12;B65D 65/40,"ANTCZAK, Edwin, A.;FALTYNEK, Mark, O.;GARBACZEWSKI, Daniel, F.;GARBACZEWSKI, James, J.","ANTCZAK, Edwin, A.;FALTYNEK, Mark, O.;GARBACZEWSKI, Daniel, F.;GARBACZEWSKI, James, J.",NA
WO2014179409,07.11.2014,SYSTEMS AND METHODS FOR PARSING SEARCH QUERIES,"[US 20130503 13/887,097]",G06F 17/30,"MAPQUEST, INC.","HESS, Stephen;PEGG, Antony;QUINION, Brian;MAYHEW, Kevin",NA
US20070210078,14.09.2007,Field director assembly having arc-resistant conductive vanes,"[11641369 2006-12-18T23:59:59.000Z US, 60751544 2005-12-19T23:59:59.000Z US, 60841088 2006-08-29T23:59:59.000Z US]",H05B 6/80;H05B 6/64;H05B 6/74,"Blankenbeckler Nicole L.;E I du Pont de Nemours and Company;Corcoran, Jr. William R.;Kawka Dariusz Wlodzimierz;Mehdizadeh Mehrdad;Riegert Ronald Jack","Corcoran, Jr. William R.;Kawka Dariusz Wlodzimierz",NA
WO2011036683,01.04.2011,DEVICE AND METHOD FOR MOULDING FOOD PASTE,NA,A21C 3/02;A21C 11/08;A01J 25/00;A23P 1/08,"VINCENTI, Mario","VINCENTI, Mario",NA
WO2004064021,30.07.2004,VEHICULAR PLASTIC FLAG DISPLAY,"[10/340,276 10.01.2003 US]",B60Q 1/50;G09F 17/00;G09F 21/04,"TAL, Yaron","TAL, Yaron",NA
WO2014060244,25.04.2014,PROCESS FOR OBTAINING CAFFEOYLQUINIC ACIDS-RICH EXTRACTS FROM HELIANTHUS ANNUUS,[IT 20121016 MI2012A001749],A23L 1/30;A61K 36/28;A61P 3/10,INDENA S.p.A.,"BOMBARDELLI, Ezio;CORTI, Fabrizio",NA
US20030126095,04.07.2003,Context-aware market-making service,"[10186844 2002-06-28T23:59:59.000Z US, 60344292 2001-12-28T23:59:59.000Z US]",G06F 17/60;G06Q 30/00;G06Q 30/00;G06Q 50/00;G06Q 50/00,"DoCoMo Communications Laboratories USA, Inc.",Allen Lee,NA
US20020049644,26.04.2002,Method for simplified one-touch ordering of goods and services from a wired or wireless phone or terminal,"[09966223 2001-09-28T23:59:59.000Z US, 60236267 2000-09-28T23:59:59.000Z US]",G06F 17/60;G06Q 20/00;G06Q 20/00;G06Q 30/00;G06Q 30/00;G07F 17/00;G07F 17/40,KARGMAN JAMES B.,Kargman James B.,NA
US6804786,13.10.2004,User customizable secure access token and multiple level portable interface,"[PQ275699 1999-09-10T23:59:59.000Z AU, PQ314199 1999-09-29T23:59:59.000Z AU]",H04L 9/32;G06F 21/00;G06F 21/00;G07C 9/00;G07C 9/00;G07F 7/10;G07F 7/10,Canon Kabushiki Kaisha,"Chamley, Cathryn Anne;Wang, Zhi-Lei;Yap, Sue-Ken;Yourlo, Zhenya Alexander",NA
US20050187707,26.08.2005,Navigation method and system for visiting multiple destinations by minimum number of stops,[10782600 2004-02-19T23:59:59.000Z US],G01C 21/34;G01C 21/34;G09B 29/00;G09B 29/00;G01C 21/00;G01C 21/00;G08G 1/0969;G08G 1/0969;G09B 29/10;G09B 29/10,"Alpine Electronics, Inc.",Yokota Tatsuo;Sagami Joanna,NA
US20070279247,07.12.2007,Multifunctional two-way remote control device,NA,G05B 11/01;G08C 19/12,X10 Ltd.,Rye David J.;Leech Leslie A.;Phillips James R. W.,NA
US20080010251,11.01.2008,System and method for budgeted generalization search in hierarchies,NA,G06F 17/30;G06F 17/30,Yahoo! Inc.,Fontoura Marcus Felipe;Josifovski Vanja;Olston Christopher;Ravikumar Shanmugasundaram;Tomkins Andrew,NA
US20080010250,11.01.2008,System and method for  generalization search in hierarchies,NA,G06F 17/30;G06F 17/30,Yahoo! Inc.,Fontoura Marcus Felipe;Josifovski Vanja;Olston Christopher;Ravikumar Shanmugasundaram;Tomkins Andrew,NA
US20090234814,18.09.2009,Configuring a search engine results page with environment-specific information,NA,G06F 17/30;G06F 17/30,BOERRIES MARCO;OTT IV EDWARD STANLEY;SAFT KEITH DAVID;DAVIS MARC ELIOT;KUMAR AMIT;JESSEN ERIK NIS;CHUM JONATHAN MERREL;GRINSTED GEORGE;PARRY LEE JOHN;TAGGART ADAM,"BOERRIES MARCO;Ott, IV Edward Stanley;Saft Keith David;Davis Marc Eliot;Kumar Amit;Jessen Erik Nis;Chum Jonathan Merrel;Grinsted George;Parry Lee John;Taggart Adam",NA
US20110179078,22.07.2011,"Open Framework for Integrating, Associating, and Interacting with Content Objects",NA,G06F 17/30,"Boerries Marco;Ott, IV Edward Stanley;Saft Keith David;Davis Marc Eliot;Kumar Amit;Jessen Erik Nis;Chum Jonathan Merrel;Grinsted George;Parry Lee John;Taggart Adam","Boerries Marco;Ott, IV Edward Stanley;Saft Keith David;Davis Marc Eliot;Kumar Amit;Jessen Erik Nis;Chum Jonathan Merrel;Grinsted George;Parry Lee John;Taggart Adam",NA
US20120040815,17.02.2012,Machine and method for forming a heat-reflective blank and container,NA,B29C 65/00;B32B 37/00;B32B 38/04;B32B 38/10,"Shanton Kenneth John;RockTenn CP, LLC;Haschke Paul Charles",Shanton Kenneth John;Haschke Paul Charles,NA
