"ipc_class","publication_number"
"F24: Heating","WO2009058565"
"A21: Baking","WO1998028945"
"A21: Baking","US20100097880"
"A21: Baking","EP2319324"
"A23: Foods Or Foodstuffs","US20040062839"
"A23: Foods Or Foodstuffs","US20110151055"
"A47: Furniture","US4890549"
"A21: Baking","EP2047751"
"H04: Electric Communication Technique","US20030112945"
"A21: Baking","US6500475"
"A47: Furniture","WO2012164281"
"A21: Baking","US20080264925"
"A47: Furniture","US20080224577"
"A47: Furniture","US5551741"
"H04: Electric Communication Technique","US20030112948"
"A23: Foods Or Foodstuffs","EP1889545"
"A21: Baking","WO2013092731"
"A45: Hand Or Travelling Articles","US7591496"
"B65: Conveying","EP2488421"
"A23: Foods Or Foodstuffs","EP0267735"
"F22: Steam Generation","CA1172117"
"A21: Baking","DE000019737602"
"A23: Foods Or Foodstuffs","EP2359846"
"F24: Heating","US4374506"
"A23: Foods Or Foodstuffs","US20080268104"
"B65: Conveying","US20090297676"
"A47: Furniture","DE000020307942"
"B65: Conveying","DE000020320860"
"A21: Baking","DE000010352843"
"A47: Furniture","DE102005012767"
"B26: Hand Cutting Tools","DE102011016708"
"B65: Conveying","US20050035009"
"B65: Conveying","CA2511524"
"A21: Baking","ZA200701084"
"F24: Heating","US20080022993"
"B29: Working Of Plastics","US6019511"
"A21: Baking","CA2364208"
"A23: Foods Or Foodstuffs","EP1219703"
"A21: Baking","CA2535084"
"A21: Baking","CA2781437"
"A45: Hand Or Travelling Articles","CA2763802"
"A0J: Agriculture","US4112835"
"A21: Baking","US20090285950"
"B65: Conveying","US5921466"
"B65: Conveying","US6581764"
"A21: Baking","CA2591223"
"A21: Baking","US6054167"
"A21: Baking","US5866187"
"G06: Computing","US20080262934"
"B25: Hand Tools","US20100263219"
"A21: Baking","US4463020"
"A21: Baking","US5981911"
"A21: Baking","US5074777"
"A23: Foods Or Foodstuffs","WO2004054376"
"A21: Baking","CA2140552"
"A47: Furniture","US20020040901"
"A21: Baking","US20130142932"
"A47: Furniture","US4906806"
"A47: Furniture","US4923704"
"A21: Baking","US5554404"
"A21: Baking","US5834050"
"B60: Vehicles In General","US4643167"
"A47: Furniture","US4794005"
"A21: Baking","CA2119665"
"B65: Conveying","CA2362621"
"B65: Conveying","US20040173607"
"A21: Baking","CA2337504"
"A23: Foods Or Foodstuffs","CA1099585"
"A21: Baking","DE000004339640"
"G06: Computing","US20110234493"
"A23: Foods Or Foodstuffs","US20090291188"
"A23: Foods Or Foodstuffs","US20120156355"
"A23: Foods Or Foodstuffs","US6265014"
"A21: Baking","ZA200207181"
"A21: Baking","EP2183972"
"A21: Baking","EP2305047"
"F21: Lighting","US20050024862"
"B65: Conveying","US20020077724"
"F21: Lighting","US20040218382"
"F21: Lighting","US20050151666"
"F25: Refrigeration Or Cooling","US20060179860"
"A01: Agriculture","US20090123380"
"A47: Furniture","WO2001015987"
"B26: Hand Cutting Tools","US7181848"
"A21: Baking","WO2001067870"
"A21: Baking","WO2004054370"
"A21: Baking","US4116119"
"A21: Baking","EP0334089"
"A21: Baking","US20020001655"
"A21: Baking","US20030138540"
"A21: Baking","US20030118702"
"B29: Working Of Plastics","US20110226402"
"A21: Baking","CA2125330"
"A21: Baking","EP1102547"
"A21: Baking","US4972824"
"A21: Baking","CA2562555"
"B65: Conveying","US20040099720"
"C04: Cements","US6190450"
"B65: Conveying","WO2000050316"
"A21: Baking","WO2006061187"
"B65: Conveying","US20030106926"
"A21: Baking","EP1707053"
"A23: Foods Or Foodstuffs","CA2506687"
"A47: Furniture","EP0959749"
"A21: Baking","EP1415538"
"A47: Furniture","CA2251950"
"A23: Foods Or Foodstuffs","ZA200110147"
"A0J: Agriculture","US3980235"
"A21: Baking","US5800844"
"A23: Foods Or Foodstuffs","US20040151801"
"A21: Baking","PT1168926"
"B65: Conveying","EP2785612"
"A21: Baking","US5576036"
"A21: Baking","US20050178277"
"A21: Baking","US6231957"
"B42: Bookbinding","US20050126955"
"B29: Working Of Plastics","EP0236657"
"A21: Baking","EP2001310"
"B32: Layered Products","US4237171"
"A47: Furniture","US4379055"
"A21: Baking","US4265919"
"B67: Opening Or Closing Bottles, Jars Or Similar Containers","US20080149670"
"A23: Foods Or Foodstuffs","US20040043111"
"A01: Agriculture","US20080263949"
"A23: Foods Or Foodstuffs","US6384087"
"F24: Heating","CA2039514"
"A21: Baking","US20080286411"
"A21: Baking","EP2156740"
"A21: Baking","US20040040445"
"B65: Conveying","WO2004063053"
"A01: Agriculture","WO2008156849"
"G06: Computing","WO2006034944"
"A47: Furniture","WO2014036588"
"A47: Furniture","CA2054006"
"A23: Foods Or Foodstuffs","EP1485307"
"A23: Foods Or Foodstuffs","CA2479129"
"A21: Baking","US20060222748"
"A21: Baking","US20060188630"
"A23: Foods Or Foodstuffs","WO2002023999"
"A21: Baking","DE000002030877"
"A47: Furniture","US5804266"
"A23: Foods Or Foodstuffs","CA2085457"
"A47: Furniture","EP1237451"
"G06: Computing","EP1795016"
"A21: Baking","EP1810573"
"G01: Measuring","EP0922213"
"A47: Furniture","CA1247875"
"A23: Foods Or Foodstuffs","CA2876200"
"G07: Checking","US20110139809"
"A21: Baking","US20070087102"
"A21: Baking","US20120225162"
"A21: Baking","EP1032381"
"G09: Educating","CA2630828"
"A21: Baking","WO2005070217"
"B32: Layered Products","US20040175547"
"F24: Heating","US5296683"
"G07: Checking","WO2009091593"
"A21: Baking","CA2578256"
"A23: Foods Or Foodstuffs","EP2123294"
"A21: Baking","US20030087006"
"A21: Baking","US20070298155"
"F23: Combustion Apparatus","US6250297"
"A47: Furniture","US20050199133"
"A21: Baking","US20100303956"
"G06: Computing","US20060020483"
"B65: Conveying","CA2683699"
"F25: Refrigeration Or Cooling","US5144879"
"A21: Baking","EP0744898"
"A23: Foods Or Foodstuffs","US20050132897"
"B65: Conveying","CA2746122"
"A21: Baking","WO1994007369"
"A21: Baking","CA2182808"
"A21: Baking","US20070131667"
"A23: Foods Or Foodstuffs","WO2004054377"
"G10: Musical Instruments","US20020103647"
"B65: Conveying","JP2003327275"
"A47: Furniture","US20020096513"
"H05: Electric Techniques Not Otherwise Provided For","US08385064"
"A47: Furniture","WO2006028338"
"A63: Sports","US5476405"
"A23: Foods Or Foodstuffs","US20040161501"
"A21: Baking","DE000020310100"
"B65: Conveying","DE000020310099"
"F24: Heating","DE102004042827"
"F24: Heating","DE102007042087"
"A47: Furniture","DE102008046353"
"B65: Conveying","DE102011002285"
"A21: Baking","DE102010064198"
"B6B: Conveying","DE102007060305"
"A47: Furniture","DE102008011662"
"A21: Baking","DE102010048082"
"G06: Computing","DE102010034403"
"A21: Baking","EP1785075"
"A47: Furniture","JP2005221215"
"A23: Foods Or Foodstuffs","CA2595140"
"A21: Baking","EP1132317"
"A21: Baking","CA2730941"
"A21: Baking","CA2339078"
"A21: Baking","EP2160947"
"A21: Baking","CA2678312"
"A23: Foods Or Foodstuffs","EP0599938"
"A23: Foods Or Foodstuffs","US20050106296"
"G06: Computing","EP1643391"
"A47: Furniture","WO1997039667"
"B65: Conveying","WO2004094553"
"A61: Medical Or Veterinary Science","US20050276840"
"A23: Foods Or Foodstuffs","CA2557669"
"A01: Agriculture","US20030200580"
"B65: Conveying","US5900264"
"A21: Baking","EP1567015"
"B65: Conveying","US20080038440"
"G06: Computing","EP1624406"
"G06: Computing","CA2517542"
"A21: Baking","CA2040893"
"B65: Conveying","WO2004071900"
"G06: Computing","US20020048283"
"G06: Computing","US20060085392"
"A21: Baking","CA2466411"
"A47: Furniture","US6108489"
"A21: Baking","WO2007113678"
"B6B: Conveying","US4027457"
"A21: Baking","US6557366"
"G06: Computing","US20110107242"
"A21: Baking","CA2191836"
"A23: Foods Or Foodstuffs","CA2583894"
"A23: Foods Or Foodstuffs","US20090123524"
"A21: Baking","US5892202"
"A21: Baking","WO2011072925"
"A23: Foods Or Foodstuffs","WO2006018861"
"A22: Butchering","US20060286913"
"G06: Computing","US20050063525"
"H04: Electric Communication Technique","US20080198842"
"H04: Electric Communication Technique","US20140192800"
"A21: Baking","EP0547551"
"G06: Computing","US20100042611"
"A23: Foods Or Foodstuffs","US5202144"
"A21: Baking","CA2246600"
"H04: Electric Communication Technique","US20140222547"
"A23: Foods Or Foodstuffs","US20110206821"
"A23: Foods Or Foodstuffs","EP1145646"
"A21: Baking","US20120251663"
"A21: Baking","US6126982"
"A47: Furniture","EP2204115"
"A23: Foods Or Foodstuffs","US20080178749"
"G06: Computing","US20110231306"
"A21: Baking","EP2071956"
"A23: Foods Or Foodstuffs","CA2443561"
"A21: Baking","WO2002085125"
"A21: Baking","US20040253358"
"A21: Baking","CA2466300"
"B65: Conveying","EP1690793"
"A21: Baking","CA2419662"
"A23: Foods Or Foodstuffs","WO2011002321"
"A23: Foods Or Foodstuffs","EP1515612"
"A45: Hand Or Travelling Articles","US20110049922"
"A45: Hand Or Travelling Articles","US20080280267"
"A23: Foods Or Foodstuffs","WO2013039410"
"A23: Foods Or Foodstuffs","EP1055374"
"B01: Physical Or Chemical Processes Or Apparatus In General","US20090110788"
"A23: Foods Or Foodstuffs","US20130216662"
"A21: Baking","EP1609364"
"A21: Baking","EP1045803"
"G01: Measuring","KR1020110051853"
"A23: Foods Or Foodstuffs","KR1020040017994"
"G06: Computing","CA2404140"
"A23: Foods Or Foodstuffs","US6396031"
"A23: Foods Or Foodstuffs","WO1998003073"
"A21: Baking","WO2000067595"
"A21: Baking","US20050006373"
"A21: Baking","US20100112141"
"A21: Baking","US20130084377"
"A21: Baking","US20070212452"
"B65: Conveying","US20050133500"
"A21: Baking","US20100119347"
"A21: Baking","US20110033598"
"A47: Furniture","US6384387"
"B65: Conveying","WO1999024331"
"A23: Foods Or Foodstuffs","US20080299252"
"B65: Conveying","US20050230462"
"B65: Conveying","US20040217154"
"A21: Baking","EP1711064"
"A21: Baking","US6165984"
"G06: Computing","US20040024647"
"A21: Baking","CA2344322"
"A21: Baking","CA2344401"
"A21: Baking","CA2344054"
"A21: Baking","US20070082092"
"A23: Foods Or Foodstuffs","CA2700918"
"A21: Baking","US20130280377"
"B32: Layered Products","US5568877"
"A47: Furniture","CN101969822"
"G06: Computing","CN101032175"
"A47: Furniture","CN1414838"
"A21: Baking","CN1319340"
"G06: Computing","JP2002209015"
"A21: Baking","EP1239758"
"A23: Foods Or Foodstuffs","EP2120598"
"A21: Baking","EP0174345"
"A23: Foods Or Foodstuffs","EP0479809"
"A21: Baking","MXPAa2006011857"
"A23: Foods Or Foodstuffs","KR1020030078831"
"A23: Foods Or Foodstuffs","KR1020120122836"
"A21: Baking","WO2004112500"
"A21: Baking","CA2431880"
"A23: Foods Or Foodstuffs","CA2307891"
"A23: Foods Or Foodstuffs","CA2307890"
"A21: Baking","CA2509209"
"B65: Conveying","US4919326"
"A21: Baking","US20100151090"
"A23: Foods Or Foodstuffs","US20030194472"
"A47: Furniture","CA2589134"
"A62: Life-Saving","US20080301861"
"A47: Furniture","US20110192890"
"A23: Foods Or Foodstuffs","US20110151061"
"A21: Baking","US5517904"
"A47: Furniture","US4819862"
"A21: Baking","US20040219263"
"A21: Baking","WO2008098341"
"A23: Foods Or Foodstuffs","EP0757894"
"A23: Foods Or Foodstuffs","EP0779782"
"A23: Foods Or Foodstuffs","US20030224096"
"A21: Baking","EP1053682"
"A23: Foods Or Foodstuffs","US20060134298"
"A21: Baking","US20060216395"
"H05: Electric Techniques Not Otherwise Provided For","US6274856"
"G06: Computing","US20070162325"
"A23: Foods Or Foodstuffs","WO2004045295"
"A21: Baking","US20100086639"
"B65: Conveying","USRE029185"
"A0J: Agriculture","WO2010003030"
"A23: Foods Or Foodstuffs","US3961077"
"A21: Baking","US6026737"
"A23: Foods Or Foodstuffs","US20100310745"
"A21: Baking","US20100018409"
"A01: Agriculture","US20090123579"
"G06: Computing","WO2008091706"
"G06: Computing","DE102008011837"
"A21: Baking","US20010032843"
"C09: Dyes","EP1902107"
"A47: Furniture","US20040132887"
"A21: Baking","CA2162822"
"A23: Foods Or Foodstuffs","CA2317568"
"G01: Measuring","EP1291816"
"H05: Electric Techniques Not Otherwise Provided For","WO1990003717"
"A23: Foods Or Foodstuffs","WO2003080465"
"A21: Baking","US20100015279"
"A45: Hand Or Travelling Articles","WO2009105806"
"A47: Furniture","US6109051"
"B65: Conveying","US6303914"
"B65: Conveying","US6303913"
"B65: Conveying","US6414288"
"G06: Computing","US20020007321"
"G09: Educating","US20080213733"
"A21: Baking","US20120177792"
"A21: Baking","CA2308556"
"A21: Baking","US20060073243"
"A23: Foods Or Foodstuffs","US20120070533"
"B67: Opening Or Closing Bottles, Jars Or Similar Containers","US20060254674"
"A21: Baking","EP0288452"
"A21: Baking","EP0981962"
"A47: Furniture","EP1293154"
"H01: Basic Electric Elements","KR1020020075367"
"A47: Furniture","PT1293154"
"A23: Foods Or Foodstuffs","EP1928256"
"A21: Baking","WO2006026558"
"A21: Baking","CA2549045"
"A21: Baking","US6136361"
"A23: Foods Or Foodstuffs","US20140242248"
"A21: Baking","US20140193563"
"A23: Foods Or Foodstuffs","US5084298"
"A23: Foods Or Foodstuffs","WO2005089562"
"A21: Baking","US5882712"
"B65: Conveying","EP0958196"
"A21: Baking","US20030106889"
"A21: Baking","EP1496748"
"G06: Computing","WO2005050532"
"A21: Baking","WO2012089666"
"A21: Baking","ZA199604887"
"A47: Furniture","CA2493955"
"A23: Foods Or Foodstuffs","US4839187"
"A61: Medical Or Veterinary Science","US20130302439"
"A23: Foods Or Foodstuffs","US20140328971"
"A21: Baking","CA2617936"
"A23: Foods Or Foodstuffs","US6780445"
"B65: Conveying","WO2010068874"
"A21: Baking","EP2174549"
"A23: Foods Or Foodstuffs","US6214399"
"A23: Foods Or Foodstuffs","US4020190"
"A21: Baking","US20120183646"
"A23: Foods Or Foodstuffs","US20060083834"
"H05: Electric Techniques Not Otherwise Provided For","US6232585"
"A21: Baking","CA2303561"
"A23: Foods Or Foodstuffs","US20100323080"
"A23: Foods Or Foodstuffs","ZA200408500"
"A23: Foods Or Foodstuffs","WO2011079303"
"A21: Baking","WO1995021532"
"A47: Furniture","DE000010235774"
"A63: Sports","US20040094610"
"A21: Baking","US20100189864"
"A23: Foods Or Foodstuffs","US20090022862"
"A23: Foods Or Foodstuffs","US20130034645"
"A21: Baking","CA2172037"
"A21: Baking","US20050025862"
"A23: Foods Or Foodstuffs","WO2001056410"
"A21: Baking","US4978544"
"B65: Conveying","US5197659"
"A63: Sports","CA2719206"
"A21: Baking","US6562866"
"A21: Baking","US20010014669"
"A21: Baking","CA2539951"
"A21: Baking","US20020068117"
"G06: Computing","US20060293965"
"A23: Foods Or Foodstuffs","WO2012046142"
"A21: Baking","US20030143312"
"A21: Baking","WO2011127013"
"A23: Foods Or Foodstuffs","US20140154389"
"A23: Foods Or Foodstuffs","CA2698736"
"A21: Baking","CA2554456"
"A21: Baking","ZA200606074"
"A21: Baking","WO2010009464"
"A23: Foods Or Foodstuffs","CA2654799"
"A47: Furniture","IL99706"
"B26: Hand Cutting Tools","US20050256603"
"F24: Heating","EP2336642"
"A23: Foods Or Foodstuffs","US20130122177"
"A47: Furniture","US20030218010"
"H04: Electric Communication Technique","US20130122898"
"A21: Baking","WO2014060505"
"A47: Furniture","CA2430362"
"B65: Conveying","US20060210677"
"A21: Baking","WO2004052104"
"A23: Foods Or Foodstuffs","US20020150654"
"A21: Baking","US20110268836"
"A23: Foods Or Foodstuffs","CA2533449"
"B65: Conveying","WO1999051132"
"A22: Butchering","US6936291"
"A21: Baking","US20150004300"
"A21: Baking","WO2001041589"
"A23: Foods Or Foodstuffs","JP2003219822"
"A21: Baking","JP2008054654"
"A63: Sports","US20040206806"
"A21: Baking","WO1997030593"
"A23: Foods Or Foodstuffs","WO2013016154"
"A21: Baking","EP1875805"
"A63: Sports","US20030092350"
"A21: Baking","US20060073240"
"B65: Conveying","US20060172045"
"A23: Foods Or Foodstuffs","US5405625"
"A21: Baking","US20070098866"
"F24: Heating","US20100258107"
"A21: Baking","EP2471375"
"A21: Baking","EP1462005"
"A61: Medical Or Veterinary Science","US20070077204"
"A21: Baking","US5104669"
"A21: Baking","US6870136"
"A23: Foods Or Foodstuffs","WO2001078526"
"A21: Baking","EP1488704"
"A21: Baking","CA2468276"
"A23: Foods Or Foodstuffs","CA2115354"
"G06: Computing","US20150012389"
"A23: Foods Or Foodstuffs","WO2006117705"
"A23: Foods Or Foodstuffs","CA2783673"
"A21: Baking","EP2082646"
"A21: Baking","WO2013092335"
"B65: Conveying","US20030226851"
"A23: Foods Or Foodstuffs","US6027751"
"A23: Foods Or Foodstuffs","US20060165857"
"A23: Foods Or Foodstuffs","WO2001084952"
"A23: Foods Or Foodstuffs","ZA199507118"
"A47: Furniture","WO2013188072"
"A21: Baking","CN101287376"
"A23: Foods Or Foodstuffs","JP2005341952"
"A47: Furniture","WO1991010102"
"A23: Foods Or Foodstuffs","WO2006049828"
"A23: Foods Or Foodstuffs","US20100047415"
"A21: Baking","US20110151076"
"A21: Baking","WO2013037602"
"A21: Baking","US6245374"
"A21: Baking","US5925397"
"A21: Baking","US20100266665"
"A23: Foods Or Foodstuffs","WO2002082915"
"A21: Baking","WO2000015044"
"A21: Baking","EP2123163"
"A23: Foods Or Foodstuffs","EP1059847"
"A21: Baking","CA2568338"
"A21: Baking","US20090297682"
"A23: Foods Or Foodstuffs","WO2007125525"
"A21: Baking","EP1082017"
"A21: Baking","CA2661284"
"G06: Computing","US20020188492"
"A23: Foods Or Foodstuffs","US3851574"
"B26: Hand Cutting Tools","US3683985"
"G06: Computing","US08560391"
"G06: Computing","US20140019235"
"A21: Baking","US20150030741"
"A21: Baking","WO2006017526"
"A21: Baking","EP0648421"
"A21: Baking","EP0629348"
"A21: Baking","CA2118280"
"A23: Foods Or Foodstuffs","WO1999021549"
"A23: Foods Or Foodstuffs","WO1999021548"
"B65: Conveying","CA2558977"
"C09: Dyes","EP2277958"
"C09: Dyes","EP2277957"
"A21: Baking","EP0717595"
"A21: Baking","EP2281460"
"A23: Foods Or Foodstuffs","EP2425722"
"A23: Foods Or Foodstuffs","CA2648172"
"A21: Baking","CA2170992"
"A21: Baking","CA2711617"
"A21: Baking","WO2002013626"
"A47: Furniture","WO1997000040"
"A21: Baking","WO2005099457"
"A21: Baking","US20130164407"
"A21: Baking","EP1350432"
"A21: Baking","EP1528883"
"A21: Baking","KR1020110000866"
"A23: Foods Or Foodstuffs","KR1020050115050"
"A21: Baking","KR1020010005241"
"B65: Conveying","US20130161319"
"A21: Baking","CA2186480"
"A21: Baking","US3780643"
"A23: Foods Or Foodstuffs","US20040170723"
"A23: Foods Or Foodstuffs","US20060127535"
"A21: Baking","WO2000015237"
"A21: Baking","WO2000015047"
"A61: Medical Or Veterinary Science","WO2004110462"
"G01: Measuring","US6470268"
"A21: Baking","US20070224321"
"G06: Computing","WO2001071630"
"A23: Foods Or Foodstuffs","WO2003101212"
"A21: Baking","WO2003099020"
"A23: Foods Or Foodstuffs","US20030035864"
"A21: Baking","US20030012852"
"A21: Baking","EP1874120"
"A21: Baking","EP1374683"
"A21: Baking","EP1725114"
"A47: Furniture","EP2473786"
"A21: Baking","EP1488701"
"A21: Baking","EP1331852"
"A21: Baking","CA2825521"
"A21: Baking","MXPAa2006003463"
"A21: Baking","MXMXa2007013229"
"A21: Baking","MXPAa2006010691"
"A23: Foods Or Foodstuffs","RU02371009"
"B65: Conveying","MXPAa2001005507"
"F24: Heating","CA2343881"
"B65: Conveying","PT989067"
"A21: Baking","PT1725114"
"A21: Baking","EP2670251"
"A21: Baking","US20080044518"
"A23: Foods Or Foodstuffs","US20090232935"
"A23: Foods Or Foodstuffs","WO2005041685"
"B65: Conveying","US20110045145"
"A21: Baking","WO2002051250"
"A21: Baking","WO2007008557"
"A23: Foods Or Foodstuffs","WO1994014338"
"A21: Baking","WO2008005949"
"G06: Computing","EP1410252"
"A21: Baking","EP1513405"
"G06: Computing","KR1020020019048"
"A23: Foods Or Foodstuffs","CA2658069"
"F24: Heating","WO2010128471"
"A23: Foods Or Foodstuffs","US20030157232"
"H05: Electric Techniques Not Otherwise Provided For","US20060237451"
"B65: Conveying","US20130295241"
"A23: Foods Or Foodstuffs","US20050002992"
"A23: Foods Or Foodstuffs","WO2013070874"
"A23: Foods Or Foodstuffs","WO1994015512"
"A21: Baking","WO2004054369"
"A21: Baking","WO2012076911"
"A22: Butchering","US5960705"
"A23: Foods Or Foodstuffs","EP2049509"
"A21: Baking","US20030228347"
"G06: Computing","US20130191393"
"A23: Foods Or Foodstuffs","US20100112137"
"A21: Baking","WO2013050960"
"A21: Baking","EP1610615"
"A21: Baking","WO1999048373"
"A21: Baking","JP2000175613"
"A23: Foods Or Foodstuffs","JP2001086928"
"B65: Conveying","US5273206"
"A47: Furniture","US20040118837"
"H05: Electric Techniques Not Otherwise Provided For","US20060219713"
"A23: Foods Or Foodstuffs","US20030224100"
"A21: Baking","US6133311"
"A21: Baking","US5384136"
"B65: Conveying","WO2000064740"
"A01: Agriculture","CA2497791"
"A21: Baking","US20120244252"
"B65: Conveying","DE000010049679"
"A47: Furniture","DE000020315901"
"A23: Foods Or Foodstuffs","CA2763630"
"A23: Foods Or Foodstuffs","EP2451297"
"A21: Baking","CA2644039"
"A23: Foods Or Foodstuffs","CA2422976"
"A21: Baking","US20070278207"
"G07: Checking","EP1722337"
"A47: Furniture","WO2012123875"
"A21: Baking","WO2006079646"
"A21: Baking","CA2259211"
"B32: Layered Products","DE000003835796"
"A61: Medical Or Veterinary Science","WO2006135368"
"A21: Baking","US20120308709"
"A23: Foods Or Foodstuffs","WO2003070013"
"A23: Foods Or Foodstuffs","US20030129292"
"A21: Baking","US20070042098"
"A61: Medical Or Veterinary Science","US20100098728"
"A23: Foods Or Foodstuffs","WO2009034528"
"A23: Foods Or Foodstuffs","WO2008072270"
"A21: Baking","EP0050409"
"A47: Furniture","WO2006063225"
"A23: Foods Or Foodstuffs","US20090185985"
"A23: Foods Or Foodstuffs","WO1999034683"
"A21: Baking","US6313171"
"A23: Foods Or Foodstuffs","US20030134026"
"A23: Foods Or Foodstuffs","CA2307553"
"A23: Foods Or Foodstuffs","EP2131662"
"A21: Baking","EP0540521"
"A21: Baking","US5773068"
"A21: Baking","EP1969941"
"A23: Foods Or Foodstuffs","EP2497482"
"B32: Layered Products","US20120024845"
"A23: Foods Or Foodstuffs","EP0351973"
"A21: Baking","EP0351972"
"A45: Hand Or Travelling Articles","US20070274613"
"A21: Baking","US20020146490"
"A61: Medical Or Veterinary Science","US20130041023"
"A21: Baking","US20050153015"
"A21: Baking","EP0226350"
"A21: Baking","US20050191397"
"A21: Baking","CA1219773"
"A23: Foods Or Foodstuffs","US20060147605"
"A47: Furniture","US20100006561"
"A21: Baking","US20040253347"
"A21: Baking","WO2005058045"
"A23: Foods Or Foodstuffs","US20050233054"
"A47: Furniture","CA2389475"
"B32: Layered Products","US20080193784"
"A21: Baking","US20070054025"
"A23: Foods Or Foodstuffs","US20110097475"
"A21: Baking","WO2007022347"
"A23: Foods Or Foodstuffs","WO2012073104"
"A21: Baking","CA2551046"
"A21: Baking","US20070122536"
"A23: Foods Or Foodstuffs","WO2005006890"
"A23: Foods Or Foodstuffs","US20040258798"
"A21: Baking","WO2013037604"
"A63: Sports","US07887057"
"A23: Foods Or Foodstuffs","CA2576817"
"A21: Baking","ZA199406805"
"A21: Baking","US20120183653"
"A21: Baking","CA2305900"
"B65: Conveying","US6251451"
"A23: Foods Or Foodstuffs","WO2014084900"
"A23: Foods Or Foodstuffs","EP1623633"
"A21: Baking","US5409724"
"A21: Baking","US5405636"
"A21: Baking","WO2013037603"
"A21: Baking","WO1998005214"
"A21: Baking","WO2000019842"
"A61: Medical Or Veterinary Science","US20130058913"
"A23: Foods Or Foodstuffs","US20050196509"
"A47: Furniture","WO2004011539"
"A23: Foods Or Foodstuffs","US20100239713"
"A23: Foods Or Foodstuffs","US20120328737"
"B65: Conveying","WO2011007206"
"A23: Foods Or Foodstuffs","WO2003101223"
"A21: Baking","WO1995007627"
"A23: Foods Or Foodstuffs","WO2000054601"
"A23: Foods Or Foodstuffs","US20100151096"
"A23: Foods Or Foodstuffs","US20040170746"
"B65: Conveying","US20070012755"
"A61: Medical Or Veterinary Science","US20090306013"
"A23: Foods Or Foodstuffs","US20080279992"
"A23: Foods Or Foodstuffs","US20140308400"
"A23: Foods Or Foodstuffs","US20030147938"
"A21: Baking","US20030180420"
"A23: Foods Or Foodstuffs","US20070009643"
"A21: Baking","WO2005034977"
"A23: Foods Or Foodstuffs","CA2421524"
"A47: Furniture","WO2013020162"
"A21: Baking","US20050226974"
"A01: Agriculture","US20060108739"
"A23: Foods Or Foodstuffs","US20020132014"
"A61: Medical Or Veterinary Science","US20090318377"
"A61: Medical Or Veterinary Science","WO2007145663"
"A23: Foods Or Foodstuffs","US20060246199"
"A23: Foods Or Foodstuffs","WO2000072704"
"A21: Baking","US5538744"
"B26: Hand Cutting Tools","US20060174492"
"H04: Electric Communication Technique","US20110075565"
"A23: Foods Or Foodstuffs","CA2524225"
"A47: Furniture","US20150034065"
"A23: Foods Or Foodstuffs","CA2558292"
"A21: Baking","CA2723306"
"A21: Baking","CA2502829"
"A23: Foods Or Foodstuffs","US6399121"
"A21: Baking","WO1983004161"
"B65: Conveying","WO1993006022"
"A21: Baking","WO2003051128"
"G06: Computing","CA2420610"
"A21: Baking","CA2328137"
"A21: Baking","WO2006000065"
"A21: Baking","US20060233935"
"B65: Conveying","US3771713"
"A21: Baking","US3774487"
"C02: Treatment Of Water, Waste Water, Sewage, Or Sludge","US20070138110"
"A21: Baking","WO2013111067"
"A21: Baking","WO2013068139"
"G06: Computing","US20090150193"
"A47: Furniture","JP2006102488"
"A21: Baking","JP11056214"
"A23: Foods Or Foodstuffs","JP2008125385"
"A47: Furniture","JP2005052445"
"A21: Baking","JP2004201778"
"F24: Heating","CN1580651"
"A63: Sports","JP2010167256"
"A23: Foods Or Foodstuffs","US20140328976"
"A21: Baking","US20040086601"
"A21: Baking","US20060233930"
"A23: Foods Or Foodstuffs","US20120009307"
"A23: Foods Or Foodstuffs","WO2008015638"
"A23: Foods Or Foodstuffs","EP1644481"
"C09: Dyes","CA2776725"
"A21: Baking","EP1465495"
"B65: Conveying","EP2161204"
"B32: Layered Products","EP0689517"
"A21: Baking","EP1428435"
"F23: Combustion Apparatus","EP2035748"
"A21: Baking","EP2023740"
"A21: Baking","EP2028941"
"A21: Baking","EP1646286"
"B65: Conveying","EP0558476"
"B65: Conveying","EP0605611"
"A21: Baking","EP2249654"
"A21: Baking","EP2130441"
"A23: Foods Or Foodstuffs","EP1416967"
"A0J: Agriculture","EP1677631"
"A23: Foods Or Foodstuffs","CA2798113"
"A21: Baking","CA2835102"
"A23: Foods Or Foodstuffs","MXPAa2006004294"
"A21: Baking","MXPAa2006007222"
"A21: Baking","MXMXa2008013344"
"A21: Baking","MXMXa2010008180"
"A21: Baking","EA200601082"
"A23: Foods Or Foodstuffs","KR1020130094553"
"G06: Computing","KR1020090030389"
"B32: Layered Products","KR1020100056669"
"A23: Foods Or Foodstuffs","KR1020100090441"
"A47: Furniture","KR1020110065230"
"A23: Foods Or Foodstuffs","KR1020080040061"
"A23: Foods Or Foodstuffs","KR1020050111841"
"A23: Foods Or Foodstuffs","KR1020040026666"
"A23: Foods Or Foodstuffs","KR1020050013809"
"B42: Bookbinding","KR1020120136741"
"A61: Medical Or Veterinary Science","KR1020120111126"
"A61: Medical Or Veterinary Science","KR1020120044450"
"A61: Medical Or Veterinary Science","KR1020120049508"
"A61: Medical Or Veterinary Science","KR1020130009685"
"B65: Conveying","MXPAa1999007140"
"A21: Baking","RU02301525"
"B65: Conveying","PT1493674"
"B25: Hand Tools","EP2370234"
"B65: Conveying","PT1165401"
