weight,title_phrases
1.0,longitudinal Control Law Smooth Switching Method
1.0,Unmanned Aerial Vehicle
1.0,Farmland Crops
1.0,NA
1.0,edible Mask
1.0,NA
1.0,nursery Garden Client Intelligent Service System
1.0,tank Gun Phugoid Motion Target Drone
1.0,autonomous Flight Quadrotor Drone Road
1.0,Bridge Construction Patrol System
1.0,mobile Phone Shell
1.0,Compound Propolis Granule Preparation
1.0,Subsidiarily Regulating Blood Sugar
1.0,Insemination Device
1.0,wasp Artificial Insemination Operation Method
1.0,energy-saving Flexible Transparent Conducting Film
1.0,Preparation Method
1.0,drone Pupae Wine
1.0,Drone Pupas
1.0,Special Honeycomb Base
1.0,on-line Network Safety Competition Method
1.0,Food Supplement
1.0,Male Sex Drive libido
1.0,Male Sex Drive libido)
1.0,Lung Adenocarcinoma Metastasis
1.0,Quickly-going-backward Program Control Moving Target Drone
1.0,Airborne Soil Moisture Sensor
1.0,drone Drought Detection Method
1.0,Controlling Bursaphelenchus Xylophilus
1.0,Controlling Monochamus Alternatus
1.0,composite Enzymolysis Technology
1.0,Drone Pupae
1.0,Operating Method
1.0,solar Drone
1.0,solar Drone
1.0,multicore Parallel Photogrammetry Block Adjustment Method
1.0,multifunctional Combined-type Drone-imprisoning Queen-capturing Swarming Cage Queen-isolating Grate
1.0,amphibious Unmanned Plane
1.0,Artificial Breeding
1.0,Larch Sclerodermus Sp
1.0,Massicus Raddei
1.0,drone Control Method
1.0,Ground Control System
1.0,drone Pupae Sugar-free Crunchy Cracker Processing Method
1.0,NA
1.0,Drone Pupa Preparation
1.0,Production Technology
1.0,Processing Method
1.0,xiongfeng Wine
1.0,gecko-drone Wine
1.0,Annual Reproduction Technique
1.0,Bombus Spp
1.0,Production Process
1.0,Prostate Hyperplasia
1.0,excellent Efficient Herbicide
1.0,NA
1.0,Blood Fat
1.0,Reducing Cholesterin
1.0,Target Drone
1.0,Nucleic Acid Molecule
1.0,Influenzing Weather
1.0,Spreading Method
1.0,Great Stalling Angle
1.0,High Lift-drag Ratio
1.0,main Wing Plus
1.0,Wing Pneumatic Layout
1.0,Anti Hepatitis B Virus
1.0,new Target Drone
1.0,Laser Visual Dynamic
1.0,steel Rail
1.0,Drift Quantity
1.0,long-distance 2d
1.0,Photoelectric Autocollimation Device
1.0,Target Drone
1.0,New Yew Alcohol
1.0,secondary Action Target Drone
1.0,Yew Alcohol
1.0,ball Target Machine
1.0,Developing Broadspectrum Antibiotic
1.0,Medicament Target Drone
1.0,Sulfur Thiosulfuric Acid
1.0,Target Drone
1.0,drone Aurelia Collector
1.0,body Capacitance Electric Field Powered Device
1.0,High Voltage Lines
1.0,Dedicated Equipment Therefor
1.0,drone Nymph Production Method
1.0,Living Body Bee Dna
1.0,double-sensor Laser
1.0,drone Product
1.0,production Method
1.0,Single Camera Virtual Mouse System
1.0,cruise Target Projectile
1.0,Automatic Pilot
1.0,Horizontal Speed
1.0,Breeding Host
1.0,Light Yellow Encarsia Amicula
1.0,Taking Encarsia Formosa Gahan
1.0,Another Drone
1.0,Spurious Echos
1.0,Ultrasound Telemetry
1.0,electronic Shooting Method
1.0,Car Roof Channel Door
1.0,locking Control Method
1.0,electronic Navigation Card Holder
1.0,Rotor Drone
1.0,Stereoscopic Vision
1.0,Testing Brake Performances
1.0,CN 102929471 B
1.0,carrier Block
1.0,Rotary-wing Drone
1.0,Drone Pupae Polypeptide Extract
1.0,solving Camera Intrinsic Parameters
1.0,hederagenin Amide Derivative
1.0,Preparation Method
1.0,Light/mimu micro Inertial Measurement Unit)
1.0,shooting Attitude
1.0,CN 103518800 B
1.0,CN 103710237 B
1.0,CN 103710197 B
1.0,speaker Device
1.0,Movable Type Automatic Target Indicating Device
1.0,miniature Holographic Sight
1.0,Horizontal Shift
1.0,Target Drone
1.0,Type Movable Target Drone
1.0,multidirectional Conversion Automatic Target Drone
1.0,automatic Target Report Device
1.0,remote Control Overturning Target
1.0,five-site Room Intrusion Target Drone
1.0,rotating Target Drone
1.0,Shooting Windows
1.0,anti-terrorist Shooting-head Target Drone
1.0,cruise Target Missile
1.0,Air Conditioner
1.0,movable Memory Target
1.0,random Target Drone
1.0,three-wing Twin-airscrew Type Drone Uav Automatic Control System
1.0,High-power Led Stroboscopic Light Source
1.0,rotor Vertebral Body Imaging Tester
1.0,bioaerosol Transmittance Tester
1.0,Fourier Transformation
1.0,Infrared Spectrometer
1.0,task Equipment Installation Vehicle
1.0,gliding Drone Aircraft
1.0,rectangular-tube Bee Activity Frame Underbeam
1.0,Internal Circuit
1.0,Pcb Board
1.0,drone-based Fire Rescue Device
1.0,Drone Remote Control Circuit
1.0,drone Remote Controller
1.0,wireless Target Reading Remote Control Device
1.0,Drone Doors
1.0,pollen Removal Device
1.0,drone Ship Toy
1.0,push-pull Type
1.0,Target Drone
1.0,automatic Rotary
1.0,Target Drone
1.0,Target Drone
1.0,multi-head Rubber-coated Steel Plate Target Drone
1.0,NA
1.0,Reconnaissance Drone
1.0,Reconnaissance Drone
1.0,automatic Shot Result Reporting Device
1.0,Light Weapon Shooting
1.0,Flight Speed
1.0,test Target
1.0,shipboard Aircraft Catapult
1.0,indistinct Appearing Precision Target
1.0,moving Target Drone
1.0,hydrogen Peroxide Auxiliary Ignition Device
1.0,Turbojet Engine System
1.0,Queen Bumblebee Rearing
1.0,special Hive
1.0,aerial Releasing Type High-altitude Gliding Drone Aircraft
1.0,electromagnetic Induction Demonstrator
1.0,queen Bee One-way Channel Valve
1.0,drone Haze
1.0,anti-missile Attack Type Missile
1.0,bionic Comb Foundation
1.0,electric Control Separation Mechanism
1.0,Auxiliary Equipment
1.0,omnidirectional Motor Stability Augmentation Pan/tilt/zoom(ptz)
1.0,Variable-rate Pesticide Spraying
1.0,Reconnaissance Drone
1.0,rotor Wing Protection Cover
1.0,air Straight Flow Type Drone
1.0,air Filter
1.0,NA
1.0,novel Universal Obstacle
1.0,rotating Drone Aircraft
1.0,Industrial Control Device
1.0,plant Protection Drone
1.0,light Target Drone
1.0,Chinese Bees
1.0,Drone Catching Device
1.0,Hive Entrances
1.0,Italian Bees
1.0,multifunctional Queen
1.0,Robber Bee
1.0,combined Type Beehive Door
1.0,automatic Rotary Target Drone
1.0,Fixed Pipe
1.0,Hydroxyl Propane Sulfonic Acid Pyridine Drone Salt
1.0,emulation Training System
1.0,Target Drone
1.0,target Rotating Device
1.0,Target Car
1.0,Target Drone
1.0,target Practice Rifle Laser Aligning Gear
1.0,move Target Drone
1.0,novel Target Drone
1.0,automatic Horizontal Roll
1.0,Target Drone
1.0,Propane Sulfonic Acid Pyridine Drone Salt Production Usefulness
1.0,automatic Target Drone Sways
1.0,electronic Automatic Bee Venom Collector
1.0,electric Pistol Target
1.0,scale Plate-adjustable B-ultrasonic Searching Unit Puncture Gate Apparatus
1.0,multi-function Composite Queen Cages
1.0,multifunctional Queen Bee Honeycomb
1.0,sxl-01 Top
1.0,Type Dodgem
1.0,moving Target Drone
1.0,pose Control System
1.0,Unmanned Plane
1.0,radio Laser Shooting Machine
1.0,all-station Instrument
1.0,Dual-purpose Target
1.0,Photogrammetric Survey Deformation
1.0,Down Drone
1.0,detonator Target Drone
1.0,tumbler Rotation Target Drone
1.0,mobile Type
1.0,Target Drone
1.0,bullet Collector
1.0,multifunctional Navigation Earphone
1.0,shooting Target Set
1.0,Wall Supervising Guard
1.0,Failing Target
1.0,portable Slice Type Erecting
1.0,insect Sticking Plate
1.0,tbm Tunnel Clearance Displacement
1.0,shooting-train Target Drone
1.0,Self-restoring Force
1.0,target-record Drone
1.0,modularized Shooting Training Range
1.0,Nematicidal Activity
1.0,screen Mesh Device
1.0,take-off Vehicle
1.0,comprehensive Intelligent Target-scoring System
1.0,unmanned Drone
1.0,Physical Dimension
1.0,Corona Effect
1.0,Operating Electrostatic Powder Blower
1.0,Head Lamp Automatic Control Device
1.0,Motor Vehicle
1.0,oil Pressure
1.0,corona Blowing Head
1.0,Electrostatic Powder Blower
1.0,multi-function Honey-dividing Machine
1.0,electric Standing-lying Target
1.0,multi-function Illuminating Diabolo
1.0,dynamic Angular Instrument
1.0,Coal Bulk
1.0,NA
1.0,shooting Training Analyser
1.0,conveying Target
1.0,Disappearing Target Drone
1.0,horizontal Translation Exercise Target Drone
1.0,NA
1.0,automatic Target Indicating Apparatus
1.0,Shooting Exercise
1.0,Bull's Eye
1.0,Eccentrically Rotating
1.0,Target Drone
1.0,simulation Cruise Missile Target Drone
1.0,jetting Type Air Mixing Spray-nozzle
1.0,Rifle Basic Training
1.0,multifunction Programmable Boxing Training Device
1.0,short-distance Precision Dynamic Angle
1.0,drone Pupa Collector
1.0,heat Imaging Mutual Active Shoot Training System
1.0,portable Plastic Heat Preservation Beehive
1.0,printed Circuit Board Replacement Structure
1.0,ball Target Machine
1.0,laser Simulative Shoot Training System
1.0,printed Circuit Board Replacement Structure
1.0,atmosphere Visibility
1.0,Special-use Target Mark
1.0,Safety Bb Bullet Target Structure
1.0,universal Two-into-one Laser Sighting Device
1.0,Captive Unmanned Drone Models
1.0,flight Control Unit
1.0,Combustion-chamber Combustion Fluctuations
1.0,Compares Two Sets
1.0,Landing Runways
1.0,Large Difference
1.0,Outputs Warning
1.0,Remote Stereo Reconnaissance Sensor
1.0,Stereo Information
1.0,controlled Detonation Charge Ignition
1.0,Energy Via
1.0,Ignition Electronics
1.0,Ignition Position
1.0,Pyrotechnical Device
1.0,Rotor Pivotable
1.0,Underwater Drone
1.0,Front Cover
1.0,military Reconnaissance Drone Launcher Tube
1.0,Spring-powered Guide Rails
1.0,Drone Fins
1.0,Holding Clamps
1.0,launch Tube
1.0,Military Drone
1.0,NA
1.0,Control Signal
1.0,Different Oscillations
1.0,Electrical Signals
1.0,Processing Characteristic
1.0,vehicle Sensor
1.0,hearing Protecting Ear Cover
1.0,Inner Shell
1.0,Electrical Connection
1.0,Least Two Groups
1.0,multi-rotor Helicopter
1.0,Reconnaissance Drone
1.0,Support Frame
1.0,Urban Areas
1.0,Drive Shaft
1.0,drive System
1.0,Horizontal Flight
1.0,Opposing Directions
1.0,Rotor System
1.0,Rotor Systems
1.0,Vertical Starting
1.0,Collecting Gaseous Sample
1.0,Flying Apparatus I.e
1.0,gas Collecting Device
1.0,Gas Collecting Module
1.0,micro Drone
1.0,Power Supply
1.0,intrusion Vehicle
1.0,Military Area
1.0,Omni-directional Sensor Devices
1.0,Two Different Types Correlate
1.0,aircraft I.e
1.0,flight Drone
1.0,Movable Relative
1.0,Perpendicular Position
1.0,Position Regulation
1.0,Support Arm Structure
1.0,acoustic Weapon I.e
1.0,Actual Target Distance
1.0,helicopter Drone
1.0,Non-lethal Fighting
1.0,Preset Minimum Distance
1.0,Weapon Control Device
1.0,Anti-aircraft Guns
1.0,Anti-aircraft Missiles
1.0,Damaging Object
1.0,Plant Falling
1.0,Protecting Nuclear Power Plant
1.0,Low Energy Nuclear Reactor
1.0,Military Use
1.0,Ship Operating Energy
1.0,Underwater Drone
1.0,underwater Vehicle
1.0,Vast Propulsion
1.0,Bulk Dump
1.0,Bulk Quality
1.0,Bulk Quality Measurement Unit
1.0,Control Device
1.0,Control Modules
1.0,Electrical Interface
1.0,Flight Platform
1.0,flying Platform
1.0,Indirect Manner
1.0,Military Purposes
1.0,Strategic Drones
1.0,Aircraft drone
1.0,Command Transmitter
1.0,Simultaneous Reference Pulse Receiver
1.0,Special Signal-measuring-bridge
1.0,Steering Wire Interface
1.0,Control Unit
1.0,Data Processing
1.0,flight Control System
1.0,Navigation Sensors
1.0,Same Circuit Board
1.0,Air-borne Reconnaissance Drone
1.0,Accurate Gps Data
1.0,Drone Aircraft Uses Telecommunications Network
1.0,Emergency Responses
1.0,Flight Route Data
1.0,Transport System
1.0,pneumatic Relay Valve
1.0,Operating Vehicle
1.0,phase Control System
1.0,Uses Transponder Echo Beacon
1.0,Vehicle Position
1.0,Acrylic] Ester] Copolymer
1.0,hard Bitumen
1.0,Polymer Modified Bitumen
1.0,sprayable Compsn
1.0,ejectable Body
1.0,Reliable Parachute Release Device
1.0,axle Gearing
1.0,Gear Housing
1.0,Mass Set
1.0,Noise Damper
1.0,Underwater Drone
1.0,Catch Line
1.0,recovery System
1.0,system Mit Einer Lagervorrichtung Und Einer Aussetzvorrichtung FÃ¼r Unterwasserdrohnen
1.0,Underwater Drone
1.0,Electric Discharge Machine
1.0,energy Supply Control
1.0,zusammengesetzte Lautsprecheranordnung Und Verfahren Zu Deren Ansteuerung
1.0,Combat Helicopter
1.0,Combat Helicopters
1.0,Flying Combat Helicopters
1.0,Launching Reconnaissance Drones
1.0,Operational Area
1.0,reconnaissance Radius
1.0,Unmanned Reconnaissance Drones
1.0,Base Target Engagement
1.0,Pulling Back Air Route
1.0,Reconnaissance Drone
1.0,Target Region
1.0,cellular Shell
1.0,Helicopter Fuselage
1.0,drone Recovery Mechanism
1.0,Entering Hook Firing Device
1.0,Recovery Cable Active End
1.0,Suspended Drone
1.0,unbemanntes Fluggeraet Fuer Die Bekaempfung Von Bodenzielen
1.0,Fitting Drone Reed
1.0,Leaf Spring
1.0,cold Start Fuel System
1.0,Four-stroke Petrol Engine
1.0,Model Aero-engine
1.0,Contra-rotating Impeller Lift Jet Fans
1.0,Model Aircraft
1.0,radio-controlled Flying Machine
1.0,Aircraft Target Practice
1.0,Tape Behind Drone
1.0,Target Drone
1.0,Ceramic Material
1.0,forest Fire-fighting Blanket
1.0,unmanned Drone
1.0,sustainer Propulsion System
1.0,Unmanned Reusable Missiles
1.0,pyrotechnic Tracer
1.0,Bee Colonies
1.0,cooling Installation
1.0,High Temperatures
1.0,submersible Vehicle
1.0,antenna System
1.0,Curved Trajectories Around One
1.0,Several Points
1.0,Swarming Slave Aircrafts
1.0,drone Launching
1.0,Retrieval Device
1.0,stabilization System
1.0,Steering System
1.0,Controlling Unmanned Vehicle
1.0,electro-optical Control System
1.0,End Phase
1.0,Self-supporting Housing
1.0,unmanned Helicopter
1.0,Cartographic Representation
1.0,Military Unit
1.0,Operational Area
1.0,Ammunition Component
1.0,Flying Object
1.0,Attack System
1.0,Target Designator
1.0,Landing Miniature Drone
1.0,vertical Take-off
1.0,Critical Function
1.0,Automatic Landing System
1.0,Detachable Sub-assemblies
1.0,modular Drone
1.0,telesopic Masthead
1.0,Underwater Drone
1.0,Helping Navigation
1.0,Electric Motors
1.0,Remote Controlled Rotary-wing Drone
1.0,Synchronised Control
1.0,Remote Control
1.0,Video Stream
1.0,Wireless Network
1.0,acquisition Device
1.0,Collecting Samples
1.0,Taking Measurements
1.0,In-flight Assessment
1.0,Flight Management
1.0,Segregated Air Space
1.0,intuitive Piloting Method
1.0,Remote Control Device
1.0,Clearing Ordnance
1.0,Ordnance Clearing Combination
1.0,ordnance Clearing Device
1.0,Unmanned Submarine
1.0,Micro/nano Aicraft
1.0,Vertical Take
1.0,Diesel Engine
1.0,Film Performance
1.0,Unmanned Aerial Vehicle
1.0,aircraft Avoidance Method
1.0,Rechargeable Batteries
1.0,zinc Electrode
1.0,Flying Drone Apparatus
1.0,Guide Unit
1.0,military Vehicle
1.0,Balancing Bee Populations
1.0,Fighting Varroa Injection
1.0,automatic Trajectory Planner
1.0,Manned Airplane
1.0,rotor Swashplate
1.0,Automatic Hovering-flight Stabilisation
1.0,Rotary-wing Drone
1.0,Determining Position
1.0,Drone Systems
1.0,training Simulation System
1.0,Male Urogenital System
1.0,NA
1.0,NA
1.0,NA
1.0,dynamic Vibration Attenuator
1.0,Inertial Fluid
1.0,radar Augmentor Assembly
1.0,Airborne Target
1.0,Hit-indicating Device
1.0,dosage Form
1.0,Gas Formation
1.0,Governing Rate
1.0,tunable Electrorheological Fluid Mount
1.0,rotary Engine
1.0,Controlled Flying Platform
1.0,NA
1.0,rotor Arrangement
1.0,loudspeaker System
1.0,internal Combustion Engine Assembly
1.0,hormone Composition
1.0,multiple Object Viewing System
1.0,electroacoustic Driving Circuit
1.0,Electro-acoustic Transducer
1.0,musical Instrument
1.0,Musical Tone
1.0,target Range Sensing Apparatus
1.0,Anchor Cable Mines
1.0,mine-sweeping Means
1.0,Dual Handles
1.0,Four Point Control
1.0,kite-like Flying Device
1.0,vehicular Sound
1.0,hygienic Mattress
1.0,second Nearest-neighbor Communication Network
1.0,Synchronous Vector Processor Systems
1.0,skin Permeation Enhancer Compositions
1.0,Moving Missile
1.0,loudspeaker System
1.0,Multiple Subchambers
1.0,colour Picture Image Formation Devices
1.0,Active Catechol Derivatives
1.0,"thiazolidine-2,4-dione Derivative"
1.0,air-vehicle Launcher Apparatus
1.0,coach Bodywork
1.0,Digital Images
1.0,spatial Correction Method
1.0,NA
1.0,Antitumor Agents
1.0,Diaza-anthracenedione Derivatives
1.0,nitrogen Oxides
1.0,electrophotographic Material
1.0,Particular Phthalocyanines
1.0,Altering Worker Bee Behaviour
1.0,Brood Pheromones
1.0,wide-field High-resolution Camera Device
1.0,Observation System
1.0,Remote Controlled Aircraft
1.0,Clearing Sea Mines
1.0,Acoustic Signals
1.0,airborne Sensor
1.0,silver Halide Color Photographic Elements
1.0,naphthyl Compounds
1.0,"alkoxy-alkyl-substituted 1-h-3-aryl-pyrrolidine-2,4-diones"
1.0,tricyclic Dicarbonyl Derivatives
1.0,remote Control System
1.0,Wire Controlled Missile
1.0,pyrrolidinone-containing Compatibilisers
1.0,"14alpha,17alpha-c2-bridged 19-nor-progesterone Derivatives"
1.0,"2-cyano-1,3-dione Herbicides"
1.0,Antidotes Therefor
1.0,herbicidal Compositions
1.0,Antihypertensive Properties
1.0,Pharmaceutical Compositions
1.0,thiazolidinedione Derivatives
1.0,turbine Engine
1.0,Hexahydrobenz(e)isoindole Alpha-1- Adrenergic Antagonists
1.0,cyclic Amine Derivatives
1.0,Glutamate Receptor Antagonists
1.0,"Quinoxaline 2,3-diones"
1.0,NA
1.0,Herbicidal Dione Compounds
1.0,Metal Chelates
1.0,stable Herbicidal Compositions
1.0,Anti-inflammatory Drugs
1.0,novel Pharmaceutical Compositions
1.0,Steroid Nitrate Ester Derivatives
1.0,Hydroquinone Diester Derivatives
1.0,active Structural Control System
1.0,Active Vibration Absorbers avas)
1.0,NA
1.0,loudspeaker Drive Units
1.0,Fungicidal Quinazolinones
1.0,Useful Intermediates
1.0,Related Compounds
1.0,NA
1.0,Satellite Navigation
1.0,Anti-inflammatory Agents
1.0,piperazine Derivatives
1.0,Mycobacterial Disease
1.0,Oxindole Derivatives
1.0,beam Deflector
1.0,digital Hearing Device
1.0,Improved Process
1.0,"Thiazolidine-2,4-dione Derivatives"
1.0,Optical Recording Medium
1.0,squarylium Compound
1.0,active Control
1.0,Automotive Induction Noise
1.0,optronic Fuse
1.0,high-power Microwave Antenna
1.0,Dual Chamber Acoustical Enclosure
1.0,One Internal Vent
1.0,Two External Vents
1.0,enhanced Stall
1.0,Recovery Control System
1.0,optical Window Assembly
1.0,Supersonic Platform
1.0,Ethylene Copolymer
1.0,Gas Boiler
1.0,8-isoquinolinxanthine Derivatives
1.0,Pde 5 Inhibitors
1.0,microcurrent Therapy Device
1.0,high Temperature Circuit Structures
1.0,dual-chamber Loudspeaker
1.0,hydrophilic Curable Silicones
1.0,bee Hive
1.0,Bee Hives
1.0,Parasite Control
1.0,electronic Device
1.0,NA
1.0,Measurement System Model
1.0,Mobile Probes
1.0,Acute Noise
1.0,acoustic Passive Radiator
1.0,Rocking-mode Reduction
1.0,fixed Track
1.0,Rail Vehicles
1.0,Ablative Nozzle
1.0,unmanned Aerial Vehicle uav Deceleration System
1.0,Terrain Vehicle
1.0,passive Acoustic Radiating
1.0,Chemical nbc Probe
1.0,tree Pruning Apparatus
1.0,Thermal Management
1.0,Bi-directional Full-duplex Data Transmission
1.0,Optical Free Space
1.0,apparatus Method
1.0,N-gram Distribution
1.0,Normal Data
1.0,Payload Anomaly
1.0,speaker Device
1.0,Aircraft Engine
1.0,rotable Exhaust Nozzle
1.0,Remote Reading
1.0,sound Increase Apparatus
1.0,Speaker Enclosure
1.0,speaker System
1.0,Orientable Thrust
1.0,synthetic Aperture Radar System sar)
1.0,Ad-hoc Radio Network
1.0,aircraft Traffic Warning System
1.0,Electrical Field Sensors
1.0,NA
1.0,Average Wheel Speed
1.0,Brake Control System
1.0,differential Brake Control
1.0,Strength Member
1.0,sound Receiver
1.0,child Soothing Device
1.0,Low Frequency Sound Chamber
1.0,Manned Vehicle Systems
1.0,Low Altitude
1.0,Target Flying
1.0,NA
1.0,Gas Diffusion Electrodes
1.0,porous Clusters
1.0,Silver Powder
1.0,Zirconium Oxide
1.0,hermetic Covering System
1.0,Ad Hoc Wireless Networks
1.0,Providing Ip Mobility
1.0,audio System
1.0,Positive Impedance
1.0,Cooling Equipment
1.0,Ducted Fan Uav
1.0,Acoustic System
1.0,vibration Device
1.0,Wireless Network
1.0,Fuel-efficient Transportation
1.0,Imaging Instrument
1.0,Two Opto-electronic Sensors
1.0,NA
1.0,NA
1.0,ins Based Gps Carrier Phase Cycle Slip Detection
1.0,Flight Attitude
1.0,Haptic Feedback
1.0,Kinematic Linkage
1.0,Delayed Communication Link
1.0,Imaging Apparatus
1.0,Costic Acid
1.0,Dittrichia Viscosa
1.0,Varroa Destructor
1.0,Control System
1.0,unmanned Air Vehicle uav
1.0,Overview Image
1.0,Reference Plane
1.0,Accuracy Information
1.0,Overview Image
1.0,Submarine Vehicle
1.0,Controlling Post-recovery Motion
1.0,Unmanned Aircraft
1.0,Controlling Mites Parasitising Honeybees
1.0,Air Expandable Wing
1.0,autonomous Take-off Method
1.0,Parafoil Aircraft
1.0,bumblebee Nest Box
1.0,underwater Vehicle
1.0,countermeasure System
1.0,Control Means
1.0,Driving Electronic Devices
1.0,Tof Camera
1.0,tof Illuminating System
1.0,electrochemical Generator
1.0,Naval Craft
1.0,Related Electrical Generation Method
1.0,Transceiver Tag
1.0,Transceiver Tag
1.0,Angular Velocity
1.0,High Accuracy
1.0,motion Sensor Assembly
1.0,Moving Contrast
1.0,Formation Surrounding Tube-shaped Channel
1.0,sealing Device
1.0,Sealing Fractures
1.0,Confining Bumblebees
1.0,Laminate Material
1.0,Parenteral Use
1.0,pharmaceutical Formulations
1.0,vibration Attenuator
1.0,Bagpipe Drone
1.0,Intermediate Flying Device
1.0,Long-range Missile
1.0,wire-guided Assembly
1.0,captive Drone Aerial Observation System
1.0,compensated Electrodynamic Transducer
1.0,Fibre Guided Missile
1.0,optical Fibres Support Drum
1.0,Pilotless Drone Reconnaissance Aircraft
1.0,propulsion Unit
1.0,Scale Model
1.0,Information Processing Mobile Unit
1.0,military Land/sea/air Drones Mobile/stationary Unit Information Transfer
1.0,Perpendicular Axis Fiber Optic Drum Mobile Unit Placed Stationary Unit Communicating
1.0,Aerial Reconnaissance Drone
1.0,Mobile Telephone Connection
1.0,Remote Control
1.0,Elliptical Wire Mesh Giving Omni-directional Response
1.0,Gigahertz Ranges
1.0,wide Band Aerial
1.0,Board Memory
1.0,Compresses Camera Image Data
1.0,drone High Rate Data Acquisition
1.0,Storage System Packetises
1.0,Automated Control Coupling Mechanism
1.0,Multiple Contrarotating Rotors
