row no,publication number,kind code,title,priority document,priority country,earliest priority date,earliest priority year,application date,publication date,publication year,applicant,inventors,ipc classes,family members,family size,family size,wo in family,grant or application type families,granted patent
14,EP1166782,A3,ANTI-RETROVIRAL Pharmaceutical compositions,JP20000188524,Japan,2000-06-22T00:00:00Z,2000,2000-06-29T00:00:00Z,2002-01-09T00:00:00Z,2002,TSAI HSIU HSIEN | TSAI SHIOU REN | YANG CHI CHIANG,YANG CHI-CHIANG   TW,A61K031216 | A61P03114 | A61P03118,EP1166782A2 | JP2002020283A  | CA2312644A1 | BR200005954A ,4,4,No,Application,No
15,EP1207394,A2,Immunoassay for HIV protease inhibitors,US20000712525,United States,2000-11-14T00:00:00Z,2000,2001-11-10T00:00:00Z,2002-05-22T00:00:00Z,2002,F. HOFFMANN-LA ROCHE AG,SALAMONE SALVATORE J    US,G01N03353 | C12Q00128 | G01N03368 | G01N033569,US2007148684A1 | JP2002207039A  | JP2004294443A  | EP1207394B1 | JP2000151613A  | US6348874B1 | US2006127938A1 | US2006040257A9 | DE60140929D1 | EP1207394A3 | US2003124518A1,6,3,No,Grant,Yes
16,EP1281755,A2,Variants of the human cyp2d6 gene,US20010309111P,United States,2001-07-31T00:00:00Z,2001,2002-07-16T00:00:00Z,2003-02-05T00:00:00Z,2003,PFIZER,MILOS PATRICE M    US  | WEBB SUZIN M    US,C12N001509 | C07K001480 | C07K001618 | C12N000902 | C12N001553 | C12Q000168,CA2391621A1 | EP1281755A3 | JP2003111597A | US20030083485A1,4,4,No,Application,No
17,EP1382692,A2,Enzymatic assay of HIV protease inhibitors,US20020200096,United States,2002-07-18T00:00:00Z,2002,2003-07-15T00:00:00Z,2004-01-21T00:00:00Z,2004,F. HOFFMANN-LA ROCHE AG,ARABSHAHI LILI   US  | LI HAIJUAN   US,C12Q00137,CA2432925A1 | US2004014030A1 | EP1382692A3 | JP2004049239A ,4,4,No,Application,No
18,EP1418432,B1,"Method, assay, and kit for quantifying hiv protease inhibitors",US20020284040 ,United States,2002-10-29T00:00:00Z,2002,2003-10-23T00:00:00Z,2004-05-12T00:00:00Z,2004,F. HOFFMANN-LA ROCHE AG,VON DER ELTZ HERBERT  DE  | ARABSHAHI LILI  US  | LI HAIJUAN  US  | HUBER ERASMUS  DE,G01N003353 | G01N0033573 | C12N001102 | C12Q000137 | G01N002178 | G01N0033543 | G01N0033566 | G01N0033569,AT347105T | CA2447172A1 | DE60310012D1 | DE60310012T2 | EP1418432A1 | ES2277018T3 | JP2004147655A | US20040081957A1 | US6821744B2,7,7,No,Grant,Yes
19,EP1542012,B1,Antibodies for detecting efavirenz,US20030732767,United States,2003-12-10T00:00:00Z,2003,2004-12-07T00:00:00Z,2009-08-15T00:00:00Z,2009,F. HOFFMANN-LA ROCHE AG,GHOSHAL MITALI  US  | SIGLER GERALD  US  | OUYANG ANLONG  US  | ROOT RICHARD  US,G01N003353 | A61K0039385 | C07D026518 | C07K001644 | C12N000510 | C12P002108 | G01N0033531 | G01N0033577,AT439589T | CA2489266A1 | DE602004022504D1 | EP1542012A1 | EP1542012B8 | ES2330104T3 | JP2005225864A | US20050131216A1 | US20080227959A1 | US7420043B2,7,6,No,Grant,Yes
20,EP1820493,A2,Aerosols for sinunasal drug delivery,EP20060002735,European Patent Office,2006-02-10T00:00:00Z,2006,2007-02-09T00:00:00Z,2007-08-22T00:00:00Z,2007,PARI GMBH,SCHUSCHNIG UWE    DE,A61K000900,EP1820493A3 | US20070202051A1,2,2,No,Application,No
21,EP1894559,A1,Means to solubilise steroids for inhalation,EP20060018356,European Patent Office,2006-09-01T00:00:00Z,2006,2006-09-01T00:00:00Z,2008-03-05T00:00:00Z,2008,PARI GMBH,KELLER MANFRED    DE,A61K00910 | A61K03157 | A61K00912 | A61K03158 | A61K04748,None,1,1,No,Application,No
22,FR2773994,B1,"New human immunodeficiency virus protease inhibitor prodrugs for inhibiting viral proliferation in central nervous system - comprising protease inhibitor coupled to substance that improves bioavailability, targeting and/ or delivery to CNS",FR19980000728,France,1998-01-23T00:00:00Z,1998,1998-01-23T00:00:00Z,1999-07-30T00:00:00Z,1999,UNIVERSITE DE NICE SOPHIA ANTIPOLIS,VIERLING PIERRE    | GUEDJ ROGER    | FARESE DI GIORGIO ANDREY    | GREINER JACQUES    | ROUQUAYROL MARIELLE,A61K03855,FR2773994B1,1,1,No,Grant,Yes
23,IN00496MUM2008,A,NOVEL PROCESS FOR MANUFACTURE OF LOPINAVIR AND RITONAVIR TABLETS,,,2008-03-11T00:00:00Z,2008,2008-03-11T00:00:00Z,2009-10-16T00:00:00Z,2009,MACLEODS PHARMACEUTICALS LTD ;,AGARWAL RAJENDRA ;       BHIRUD SHEKHAR BHASKAR ;       S B LADE ;       ASHISH GOGIA ;       VIJENDER GUPTA ;       PUSHPALATHA RATHINASABAPATHY ;,A61K31/427 | A61K9/20 | A61K31/513 ,None,1,1,No,Application,No
24,IN01730CH2007,A,[EN]PHARMACEUTICAL FORMULATION CONTAINING RITONAVIR,,,2007-08-06T00:00:00Z,2007,2007-08-06T00:00:00Z,2009-09-11T00:00:00Z,2009,MATRIX LABORATORIES LTD ;,VERMA SANJAY DESHRAJ ;       VELAVENI KIRAN KUMAR NARSAIAH ;       DIXIT AKHILESH ;       DESHMUKH ABHIJIT MUKUND ;,C12N15/09 | A61K35/76 ,None,1,1,No,Application,No
25,IT1313575,B1,SOLID DRUGGIST PREPARATIONS OF RITONAVIR FOR ORAL USE,IT1999MI01661,Italy,1999-07-27T00:00:00Z,1999,1999-07-27T00:00:00Z,2001-01-29T00:00:00Z,2001,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A,RONCHI MASSIMO    | SANTUS GIANCARLO,A61K000,IT1313575B1 | ITMI991661D0,1,1,No,Grant,Yes
26,US20010041706,A1,Blockade of taxane metabolism,US20000191828P,United States,2000-03-24T00:00:00Z,2000,2001-03-22T00:00:00Z,2001-11-15T00:00:00Z,2001,CITY OF HOPE,DOROSHOW JAMES H  US  | SYNOLD TIMOTHY W  US,A61K03578 | A61K0317048 | A61K031496 | A61K031337,None,1,1,No,Application,No
27,US20020192273,A1,Therapeutic patch useful for the treatment of hemorrhoids,US20010298718P,United States,2001-06-15T00:00:00Z,2001,2002-04-10T00:00:00Z,2002-12-19T00:00:00Z,2002,LEC TEC CORPORATION,BUSEMAN TERI  US  | ROLF DAVID  US,A61K031137 | A61K00970,None,1,1,No,Application,No
28,US20030082594,A1,System and method for analyzing resistance of a pathogen to one or more treatments,US20010311068P,United States,2001-08-08T00:00:00Z,2001,2002-08-07T00:00:00Z,2003-05-01T00:00:00Z,2003,BAYER AG,GABE CHRISTOPHER J    CA  | LLOYD ROBERT M    US  | DYER KELLY N    CA,G01N03350 | G01N03348 | C12Q00168 | G06F01900,None,1,1,No,Application,No
29,US20030138483,A1,Soft elastic capsules and compositions thereof,US20010293623P,United States,2001-05-25T00:00:00Z,2001,2002-05-17T00:00:00Z,2003-07-24T00:00:00Z,2003,ABBOTT LAB,PETRICONI SERGIO  IT  | BARBATO ALESSANDRO  IT  | SCUPPA ROBERTA  IT  | SALEKI-GERHARDT AZITA  US  | URCH MARTIN  US,A61K00964,None,1,1,No,Application,No
30,US20040019027,A1,Method of treating cerebrotendinous xanthomatosis,US20020371701P,United States,2002-04-12T00:00:00Z,2002,2003-04-11T00:00:00Z,2004-01-29T00:00:00Z,2004,CITY OF HOPE,DUSSAULT ISABELLE  US  | FORMAN BARRY  US,A61K031573,None,1,1,No,Application,No
31,US20040073259,A1,Treatment of patients infected by disease causing organisms or biological warfare agents using hyperthermia,US20020406478P,United States,2002-08-28T00:00:00Z,2002,2003-08-26T00:00:00Z,2004-04-15T00:00:00Z,2004,CYGENE INC.,MUNZER MARTIN  US,A61N00100,None,1,1,No,Application,No
32,US20040197321,A1,Composition and method to prevent or reduce diarrhea and steatorrhea in HIV patients,US20020100716,United States,2002-03-19T00:00:00Z,2002,2004-04-08T00:00:00Z,2004-10-07T00:00:00Z,2004,DIGESTIE CARE INC.,SIPOS TIBOR  US  | DAS SIMANTINI  US  | WIGNOT TERESE MARIE  US,A61K03854 | A61K031695 | A61K0317076 | A61K0317072 | A61K031522,CA2503754A1 | US2003180279A1,3,2,No,Application,No
33,US20050020580,A1,Materials and methods for the prevention or treatment of apoptosis and apoptosis-related diseases and conditions,US20020436114P,United States,2002-12-23T00:00:00Z,2002,2003-12-19T00:00:00Z,2005-01-27T00:00:00Z,2005,MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH,BADLEY ANDREW D  US  | LYNCH DAVID H  US,A61K031551 | A61K031522,None,1,1,No,Application,No
34,US20050026902,A1,Methods and compositions for the treatment or prevention of human immunodeficiency virus and related conditions using cyclooxygenase-2 selective inhibitors and antiviral agents,US20030443910P,United States,2003-01-31T00:00:00Z,2003,2004-01-30T00:00:00Z,2005-02-03T00:00:00Z,2005,PHARMACIA CORPORATION,MAZIASZ TIMOTHY  US,A61K03155 | A61K03154,None,1,1,No,Application,No
35,US20050031713,A1,Methods for administering active agents to CYP3A4 sensitive patients,US20030635234,United States,2003-08-06T00:00:00Z,2003,2003-08-06T00:00:00Z,2005-02-10T00:00:00Z,2005,ALKERMES CONTROLLED THERAPEUTICS,EHRICH ELLIOT  US  | MUNDEL TREVOR  US,A61K03578 | A61K031554 | A61K031704 | A61K0317048,US2009022823A1,2,1,No,Application,No
36,US20050182105,A1,Method of using 3-cyano-4-arylpyridine derivatives as modulators of androgen receptor function,US20040541780P,United States,2004-02-04T00:00:00Z,2004,2005-02-01T00:00:00Z,2005-08-18T00:00:00Z,2005,BRISTOL MYERS SQUIBB PHARMA CO,NIRSCHL ALEXANDRA A    US  | HAMANN LAWRENCE G    US,A61K04506 | A61K0314439 | A61K03144,None,1,1,No,Application,No
37,US20060172945,A1,Human neutrophil alpha-defensin 4 inhibition of HIV-1,US20050649873P,United States,2005-02-03T00:00:00Z,2005,2006-02-03T00:00:00Z,2006-08-03T00:00:00Z,2006,UNIVERSITY OF MARLYAND BIOTECHNOLOGY INSTITUTE,LU WUYUAN    US  | COCCHI FIORENZA    US  | WU ZHIBIN    US,A61K03816 | A61K031551 | A61K031522 | A61K031513 | A61K0317076,None,1,1,No,Application,No
38,US20070098802,A1,Organic nanoparticles and associated methods,US20050263725,United States,2005-10-31T00:00:00Z,2005,2005-10-31T00:00:00Z,2007-05-03T00:00:00Z,2007,HEWLETT-PACKARD COMPANY,FARR ISAAC    US  | CARTAGENA JULIO    US,A61K00914 | A61K0317048 | A61K031401 | A61K031337 | A61K0317034 | A61K03143 | A61K03813 | A61K03156 | A61K031573,None,1,1,No,Application,No
39,US20080026040,A1,Active agent-releasing dosage forms,US20060496770,United States,2006-07-31T00:00:00Z,2006,2006-07-31T00:00:00Z,2008-01-31T00:00:00Z,2008,HEWLETT-PACKARD COMPANY,FARR ISAAC    US  | RIVERA GUZMAN LESLIE    US  | DIAZ-FELIPE RICARDO G    US  | VALENTIN-SIVICO JAVIER    US  | TIRADO SAUL    US  | FIGUEROA IDDYS D    US  | KANE KEVIN MICHAEL    US  | APONTE MIRAYDA    US,A61K00970 | A61P04300 | A61K03118,None,1,1,No,Application,No
40,US20080026062,A1,Pharmaceutical compositions including nano-sized active agent,US20060496873,United States,2006-07-31T00:00:00Z,2006,2006-07-31T00:00:00Z,2008-01-31T00:00:00Z,2008,HEWLETT-PACKARD COMPANY,FARR ISAAC    US  | RIVERA LESLIE    US  | DIAZ-FELIPE RICARDO G    US  | VALENTIN-SIVICO JAVIER    US  | TIRADO SAUL    US  | FIGUEROA IDDYS D    US  | KANE KEVIN MICHAEL    US  | APONTE MIRAYDA    US,A61K00914,None,1,1,No,Application,No
41,US20080039428,A1,Antiretroviral combination therapy,US20060817067P,United States,2006-06-29T00:00:00Z,2006,2007-06-29T00:00:00Z,2008-02-14T00:00:00Z,2008,"MYRIAD PHARMACEUTICALS, INC",ALLAWAY GRAHAM    US  | KILGORE NICOLE    US  | WILD CARL T    US,A61K031661 | A61K03144 | A61K03134 | A61K031145 | A61K03152 | A61K03147 | A61P03112 | A61K031505 | A61K031519,None,1,1,No,Application,No
42,US20080045495,A1,Treatment of Patients with Cystic Disease by Alteration of Fibrocystin Proteolysis,US20060820573P,United States,2006-07-27T00:00:00Z,2006,2007-07-27T00:00:00Z,2008-02-21T00:00:00Z,2008,"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM",HIESBERGER THOMAS R    US  | IGARASHI PETER    US,A61K031415 | A61K031437 | A61K031335 | A61K03127 | A61K031195 | A61K031343 | A61P01312 | A61K031397 | A61K031403,None,1,1,No,Application,No
43,US20080124407,A1,INHIBITING CYP3A4 INDUCTION,US20060828893P,United States,2006-10-10T00:00:00Z,2006,2007-10-04T00:00:00Z,2008-05-29T00:00:00Z,2008,THE UNIVERSITY OF WASHINGTON,EATON DAVID L    US  | THUMMEL KENNETH    US  | ZHOU CHANGCHENG    US  | BAMMLER THEO    US,A61K03638 | A61K0315517 | A61K031497 | A61K03126 | A61P00912,None,1,1,No,Application,No
44,US20080260837,A1,Physically stable aqueous suspensions of active pharmaceuticals,US20070788466,United States,2007-04-20T00:00:00Z,2007,2007-04-20T00:00:00Z,2008-10-23T00:00:00Z,2008,"TRIAD GROUP, INC",NAMBURI RANGA R    US  | VATTIKUTI BALA MURALI K    US  | MULAMALLA RATNA PRABHA    US  | PALKHIWALA BURGISE F    US,A61K00914 | A61K03155 | A61K031225 | A61K031135 | A61K031522 | A61K031473 | A61K0317056 | A61K03156 | A61K031496 | A61K031519,None,1,1,No,Application,No
45,US20080286343,A1,Solid form,US20070803996,United States,2007-05-16T00:00:00Z,2007,2007-05-16T00:00:00Z,2008-11-20T00:00:00Z,2008,FMC CORP,CENGIC DZENANA    BE  | DARMUZEY OLIVIA    BE  | MACLEOD GRAEME    BE,A61K00970 | A61P02900 | A61P00100 | A61K00914 | A61P02500 | A61P00300 | A61P03306 | A61P03100 | A61P00900 | A61P01100,None,1,1,No,Application,No
46,US20080286344,A1,Solid form,US20070804005,United States,2007-05-16T00:00:00Z,2007,2007-05-16T00:00:00Z,2008-11-20T00:00:00Z,2008,FMC CORP,DARMUZEY OLIVIA    BE  | MACLEOD GRAEME    BE  | CENGIC DZENANA    BE  | STOKES KEVIN M    US,A61K00970 | A61P01100 | A61P03100 | A61P03300 | A61K00924 | A61K00922 | A61K00914 | A61P00900 | A61P02900 | A61P02500 | A61P00100 | A61P00300,None,1,1,No,Application,No
47,US20080311162,A1,Solid form,US20070803825,United States,2007-05-16T00:00:00Z,2007,2007-05-16T00:00:00Z,2008-12-18T00:00:00Z,2008,FMC CORP,DARMUZEY OLIVIA    BE  | MACLEOD GRAEME    BE  | CENGIC DZENANA    BE,A61K00802 | A61K031522 | A61K00914 | C11D01706,None,1,1,No,Application,No
48,US20090105791,A1,"LIGHT EMITTING MEDICAL GARMENT DEVICE, KIT AND METHOD OF USING",US20070876921,United States,2007-10-23T00:00:00Z,2007,2007-10-23T00:00:00Z,2009-04-23T00:00:00Z,2009,NEUROPHYSIOLOGICAL CONCEPTS LLC,MCGINNIS WILLIAM J    US  | METRICK SCOTT A    US,A61B01818,None,1,1,No,Application,No
49,US20090123425,A1,"MACROCYCLIC, PYRIDAZINONE-CONTAINING HEPATITIS C SERINE PROTEASE INHIBITORS",US20070982924P,United States,2007-10-26T00:00:00Z,2007,2008-10-24T00:00:00Z,2009-05-14T00:00:00Z,2009,ENANTA PHARM INC,MOORE JOEL D    US  | OR YAT SUN    US  | WANG ZHE    US,A61K0315025 | A61P03114 | A61K03821 | C07D49816,None,1,1,No,Application,No
50,US20090149491,A1,CARBOCYCLIC OXIME HEPATITIS C VIRUS SERINE PROTEASE INHIBITORS,US20070987627P,United States,2007-11-13T00:00:00Z,2007,2008-11-13T00:00:00Z,2009-06-11T00:00:00Z,2009,ENANTA PHARM INC,LIU DONG    US  | OR YAT SUN    US  | WANG ZHE    US,A61K0314709 | C07D21500 | A61K0314375 | C07D24502 | C07D47112,None,1,1,No,Application,No
51,US20090318519,A2,PROCESS FOR RELEASE OF BIOLOGICALLY ACTIVE SPECIES,US20080024324P,United States,2008-01-29T00:00:00Z,2008,2009-01-28T00:00:00Z,2009-12-24T00:00:00Z,2009,KATHOLIEKE UNIVERSITEIT LEUVEN,AUGUSTIJNS PATRICK    BE  | MARTENS JOHAN ADRIAAN    BE  | MELLAERTS RANDY    BE  | VAN DEN MOOTER GUY    BE,A61K0314196 | A61K04702 | A61K03141,US2009192205A1 | US2011060020A9,1,1,No,Application,No
52,US20100021427,A1,Use of Antiviral Peptides For Treatment of Infections Caused by Drug-Resistant HIV,US20080057102P,United States,2008-05-29T00:00:00Z,2008,2009-05-29T00:00:00Z,2010-01-28T00:00:00Z,2010,"TIANJIN FUSOGEN PHARMACEUTICALS, INC",CHEN XIN    CN  | ZHANG LINQI    US  | JIANG SHIBO    US,A61K03816 | A61P03118 | A61K03821,None,1,1,No,Application,No
53,US20100041014,A1,Biological targeting compositions and methods of using the same,US20080228892,United States,2008-08-13T00:00:00Z,2008,2008-08-13T00:00:00Z,2010-02-18T00:00:00Z,2010,SEARETE LLC,HYDE RODERICK A    US  | ISHIKAWA MURIEL Y    US  | JUNG EDWARD K Y    US  | GATES WILLIAM    US  | LANGER ALOIS A    US  | LEUTHARDT ERIC C    US  | LEVIEN ROYCE A    US  | TEGREENE CLARENCE T    US  | WEAVER THOMAS A    US  | WHITMER CHARLES    US  | WOOD JR LOWELL L    US  | WOOD VICTORIA Y H    US,C12Q00170 | G01N03353 | C12Q00168,US2011070154A1 | US2010040546A1 | US2010041133A1 | US2011070153A1 | US2010042072A1,7,1,No,Application,No
54,US20100056622,A1,Methods of Using Ramelteon to Treat Patients Suffering from a Variety of Neurodegenerative Diseases,US20080092129P,United States,2008-08-27T00:00:00Z,2008,2009-08-27T00:00:00Z,2010-03-04T00:00:00Z,2010,LAUTERBACH EDWARD C,LAUTERBACH EDWARD C    US,A61K031343 | A61P02500,None,1,1,No,Application,No
55,US20100068786,A1,METHODS AND COMPOSITIONS FOR REVERSING P-GLYCOPROTEIN MEDICATED DRUG RESISTANCE,US20080097308P,United States,2008-09-16T00:00:00Z,2008,2009-09-16T00:00:00Z,2010-03-18T00:00:00Z,2010,PURDUE RESEARCH FOUNDATION,CHMIELEWSKI JEAN A    US  | HRYCYNA CHRISTINE A    US  | PIRES MARCOS M    US,C12N00916 | C07D23302 | C07D22128 | C07D21542 | C07H01906,None,1,1,No,Application,No
56,US20100135960,A1,ANTIVIRAL ACYLSULFONAMIDE DERIVATIVES,US20080115749P,United States,2008-11-18T00:00:00Z,2008,2009-11-17T00:00:00Z,2010-06-03T00:00:00Z,2010,ENANTA PHARM INC,OR YAT SUN    US  | YING LU    US  | WANG CE    US  | PENG XIAOWEN    US  | QIU YAO-LING    US,A61K03821 | C07D40102 | A61K0314439 | A61K031427 | A61K031422 | A61P03114 | A61K03819 | C07D41702 | C07D41302 | A61K03900,None,1,1,No,Application,No
57,US20100160262,A1,COMPOSITIONS AND METHODS FOR MODULATING SIRTUIN ACTIVITY,US20080343177,United States,2008-12-23T00:00:00Z,2008,2008-12-23T00:00:00Z,2010-06-24T00:00:00Z,2010,THE J. DAVID GLADSTONE INSTITUTES,OTT MELANIE    US  | VERDIN ERIC M    US  | JUNG MANFRED    DE,A61K031655 | G01N033573 | A61K031506 | A61K031497 | A61K0314725 | A61K03152 | A61K031538 | A61K031551,None,1,1,No,Application,No
58,US20100261731,A1,"Method for Treating a Disease, Disorder or Adverse Effect Caused by an Elevated Serum Concentration of an UGT1A1 Substrate",US20090422434,United States,2009-04-13T00:00:00Z,2009,2009-04-13T00:00:00Z,2010-10-14T00:00:00Z,2010,ABBOTT LAB,KEMPF DALE J    US  | BERTZ RICHARD J    US  | WARING JEFFREY F    US,A61K031496 | A61K0314402 | A61P03118 | A61K031426,None,1,1,No,Application,No
59,US20100273733,A1,HIV Treatment,US20090173302P,United States,2009-04-28T00:00:00Z,2009,2010-04-07T00:00:00Z,2010-10-28T00:00:00Z,2010,FABUNAN RUBEN G,FABUNAN RUBEN G    US,A61K0317072 | A61P03118 | A61K031573,None,1,1,No,Application,No
