applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"AVENTIS PHARMA INC","AVENTIS PHARMA INC","0","C07D213/77; C07D263/14; C07D401/12; C07D401/14","","26","FINK DAVID M; FREED BRIAN S; KURYS BARBARA E; MERRIMAN GREGORY H","A61K31/4439; A61K31/4725; A61K31/55; A61K31/695; A61P25/24; A61P25/28; C07D213/74; C07D213/77; C07D263/14; C07D401/12; C07D401/14","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","US","United States of America","US 77430896 A; US 95978997 A","1996; 1997","AT","Austria","2002-10-15","AT 224387 T","2002","N-(pyridinylamino)isoindoline Und Verwandte Verbindungen","n-(pyridinylamino)isoindoline Und Verwandte Verbindungen","https://lens.org/047-955-184-888-072"
"WARNER LAMBERT CO","WARNER LAMBERT CO","0","C07D241/44","","20","KORNBERG BRIAN EDWARD; NIKAM SHAM; RAFFERTY MICHAEL FRANCIS; YUEN PO-WAI","A61K31/495; A61K31/535; A61K31/55; A61P25/00; A61P25/08; A61P25/28; A61P3/08; A61P43/00; A61P9/00; A61P9/08; A61P9/10; C07D241/44; C07D401/06; C07D403/06; C07D491/113","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","US","United States of America","US 47487795 A","1995","AT","Austria","2002-9-15","AT 223387 T","2002","Zyklische Amin Derivate Von Substituierten Chinoxalin 2.3-dione Als Glutamat-rezeptor- Antagonisten","zyklische Amin Derivate Von Substituierten Chinoxalin 2.3-dione Als Glutamat-rezeptor- Antagonisten","https://lens.org/011-193-254-523-171"
"","DESCLAUX MICHEL; PIGOT XAVIER","0","F01B31/24; F02B73/00; F02B75/225","","18","DESCLAUX MICHEL","F01B31/24; F02B73/00; F02B75/22","Engines; Combustion Engines","F01B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Machines Or Engines In General; Engine Plants In General; Steam Engines -> Machines Or Engines, In General Or Of Positive-Displacement Type, E.G. Steam Engines; F02B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Combustion Engines; Hot-Gas Or Combustion-Product Engine Plants -> Internal-Combustion Piston Engines; Combustion Engines In General","","FR","France","FR 9614109 A","1996","AT","Austria","2003-8-15","AT 247224 T","2003","Brennkraftmaschine","","https://lens.org/165-103-736-590-476"
"ASTRAZENECA AB","ASTRAZENECA AB","0","A61K31/40","","20","RAMACHANDRAN JANAKIRAMAN; ROAD","A61K31/40; A61K31/403; A61K31/404; A61K31/4427; A61K31/454; A61K31/496; A61P31/06; C07D209/34; C07D209/38; C07D401/06","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","IN; SE","India; Sweden","IN 464MA1998 A; SE 9801370 A","1998","AT","Austria","2003-10-15","AT 249828 T","2003","Verwendung Von Isatin- Und Oxindolderivaten Zur Herstellung Von Arzeneimittel FÃ¼r Die Behandlung Von Mykobakteriellen Erkrankungen","verwendung Von Isatin- Und Oxindolderivaten Zur Herstellung Von Arzeneimittel FÃ¼r Die Behandlung Von Mykobakteriellen Erkrankungen","https://lens.org/157-410-601-254-993"
"REDDYS LAB LTD DR","REDDYS LAB LTD DR","0","C07C211/27; C07C215/08; C07C217/22; C07C323/62; C07D213/38; C07D263/32; C07D277/34; C07D307/81; C07D311/72; C07D417/12","","5","ALLA SEKHAR REDDY; CASTURI SESHAGIRI RAO; KALLAM ANJI REDDY; LOHRAY VIDYA BHUSHAN; PINGALI HARIKISHORE; RAMANUJAM RAJAGOPALAN","C07C211/27; C07C215/08; C07C217/22; C07C323/62; C07D213/38; C07D263/32; C07D277/34; C07D307/81; C07D311/72; C07D417/12","Organic Chemistry","C07C: Chemistry; Metallurgy -> Organic Chemistry -> Acyclic Or Carbocyclic Compounds; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","EP","European Patent Office","EP 96105590 A","1996","AT","Austria","2003-2-15","AT 231136 T","2003","Thiazolidinedionderivate Mit Antidiabetischen, HypolipidÃ¤mischen Und Antihypertensiven Eigenschaften, Verfahren Zu Deren Herstellung Und Pharmazeutischen Zusammenstellungen, Die Sie Enthalten","Die Sie Enthalten; HypolipidÃ¤mischen Und Antihypertensiven Eigenschaften; thiazolidinedionderivate Mit Antidiabetischen; Verfahren Zu Deren Herstellung Und Pharmazeutischen Zusammenstellungen","https://lens.org/012-752-940-920-569"
"SEARLE & CO","SEARLE & CO","0","A61K31/573","","13","CURRIE MARK G; TJOENG FOE S; ZUPEC MARK E","A01N45/00; A61K31/00; A61K31/56; A61K31/57; A61K31/58; A61K31/695; A61P29/00; A61P5/24; C07J13/00; H01L29/51","Agriculture; Medical; Organic Chemistry; Electrical Elements","A01N: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Preservation Of Bodies Of Humans Or Animals Or Plants Or Parts Thereof; Biocides, E.G. As Disinfectants, As Pesticides Or As Herbicides; Pest Repellants Or Attractants; Plant Growth Regulators; A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07J: Chemistry; Metallurgy -> Organic Chemistry -> Steroids; H01L: Electricity -> Basic Electric Elements -> Semiconductor Devices; Electric Solid State Devices Not Otherwise Provided For","","US","United States of America","US 64212896 A","1996","AT","Austria","2003-5-15","AT 237334 T","2003","Neue Pharmazeutische Zusammensetzungen Von Steroid-nitratester Zur Verwendung Als EnzÃ¼ndungshemmer","neue Pharmazeutische Zusammensetzungen Von Steroid-nitratester Zur Verwendung Als EnzÃ¼ndungshemmer","https://lens.org/180-226-641-408-487"
"AEROSPATIALE","AEROSPATIALE","0","F42B10/60; G05D1/0816","","10","DEBOURLE FRANCOIS","F42B10/60; G05D1/08","Weapons; Control Systems","F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","FR","France","FR 0009388 A","2000","AT","Austria","2004-11-15","AT 280383 T","2004","Stabilisierungsvorrichtung Und Diese Nutzendes Steuerungssystem FÃ¼r Eine Drohne","stabilisierungsvorrichtung Und Diese Nutzendes Steuerungssystem FÃ¼r Eine Drohne","https://lens.org/182-654-811-790-660"
"EADS (various locations)","EADS (various locations)","0","F41J2/02; F41J9/08","","13","HELLER MARKUS; OBKIRCHER BERNT; STEINWANDEL JUERGEN; WILLNEFF RAINER","F41J2/02; F41J9/08","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","DE","Germany","DE 10210433 A","2002","AT","Austria","2007-9-15","AT 371847 T","2007","FluggerÃ¤t Zur Flugzieldarstellung","fluggerÃ¤t Zur Flugzieldarstellung","https://lens.org/093-168-141-085-902"
"EXAGRID SYSTEMS INC","EXAGRID SYSTEMS INC","0","G06F11/1448; G06F11/1458; G06F11/1461; G06F11/1464; G06F11/1469; G06F11/1662; G06F11/2038; G06F11/2048; G06F11/2094; G06F2201/84; Y10S707/99943; Y10S707/99953","","46","EVILIA STEVEN; GILHOOLY SEAN; HANSEN THOMAS; KENNA HERMAN; POWNELL JAMES; THERRIEN DAVID; VANDERSPEK ADRIAN","G06F; G06F1/00; G06F11/00; G06F11/20; G06F12/00; G06F13/10; G06F15/16; G06F17/00; G06F17/30; G06F3/06; G06F7/00; G11C29/00","Computing; Information Storage","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G11C: Physics -> Information Storage -> Static Stores","","US","United States of America","US 40968402 P","2002","AT","Austria","2008-7-15","AT 400027 T","2008","Verfahren Und Vorrichtung Zur Dateisicherung","verfahren Und Vorrichtung Zur Dateisicherung","https://lens.org/104-346-391-673-092"
"LOGITECH EUROP SA","LOGITECH EUROP SA","0","H04R1/2834; H04R1/2849","","8","ANDERSON JEFFREY; LINSE JASON; WEIKEL RAYMOND","H04R1/02; H04R1/28; H04R25/00; H05K5/00","Loudspeakers/Microphones; Printed Circuits","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems; H05K: Electricity -> Electric Techniques Not Otherwise Provided For -> Printed Circuits; Casings Or Constructional Details Of Electric Apparatus; Manufacture Of Assemblages Of Electrical Components","","US","United States of America","US 68402400 A","2000","AT","Austria","2008-6-15","AT 397839 T","2008","Lautsprecher Mit Zwei Kammern","lautsprecher Mit Zwei Kammern","https://lens.org/000-801-922-720-611"
"DCN","DCN","0","B63G7/02","","13","FOURNIER JEAN-CLAUDE","B63G7/02","Waterborne Vessels/Ships","B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers","","FR","France","FR 0501735 A","2005","AT","Austria","2008-8-15","AT 403596 T","2008","Verfahren Und Vorrichtung Zur Identifikation Und Neutralisierung Von Unterwasserminen","verfahren Und Vorrichtung Zur Identifikation Und Neutralisierung Von Unterwasserminen","https://lens.org/175-484-874-564-270"
"NEXTER MUNITIONS","NEXTER MUNITIONS","0","B64C2201/121; B64C2201/127; B64C2201/165; B64C39/024; C06B23/001; C06B23/003; C06B45/00; F41J9/08; F42B10/04; F42B12/36; F42B12/365; F42B12/76; F42B3/28; F42B5/18; F42B5/192; F42C19/0803; F42C19/0842","","14","BRUNET LUC; REGIS MURIEL","B64C3/00; B64C39/02; C06B25/12; C06C15/00; C06D3/00; F41J9/08; F42B12/36; F42C19/08","Aircraft; Explosives; Weapons","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; C06B: Chemistry; Metallurgy -> Explosives; Matches -> Explosive Or Thermic Compositions; Manufacture Thereof; Use Of Single Substances As Explosives; C06C: Chemistry; Metallurgy -> Explosives; Matches -> Detonating Or Priming Devices; Fuses; Chemical Lighters; Pyrophoric Compositions; C06D: Chemistry; Metallurgy -> Explosives; Matches -> Means For Generating Smoke Or Mist; Gas-Attack Compositions; Generation Of Gas For Blasting Or Propulsion (Chemical Part); F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers; F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition; F42C: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Ammunition Fuzes; Arming Or Safety Means Therefor","","FR","France","FR 0412401 A","2004","AT","Austria","2008-7-15","AT 399975 T","2008","Munition Oder Munitionsteil Das Die Form Eines FlugkÃ¶rpers Wie Einer Drohne Hat","munition Oder Munitionsteil Das Die Form Eines FlugkÃ¶rpers Wie Einer Drohne Hat","https://lens.org/063-626-215-417-664"
"DEUTSCH ZENTR LUFT & RAUMFAHRT","DEUTSCH ZENTR LUFT & RAUMFAHRT","0","G01S13/9023","","7","EINEDER MICHAEL; RUNGE HARTMUT","G01S13/90","Direction Finding","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves","","DE","Germany","DE 102005035122 A","2005","AT","Austria","2008-9-15","AT 407368 T","2008","Synthetik-apertur-radar(sar)-system","","https://lens.org/089-187-647-795-265"
"NEXTER SYSTEMS","NEXTER SYSTEMS","0","G01C21/00","","5","LEVEQUE STEPHANE; PAPE OLIVIER; URVOY EMILE","G01S5/14; G06F3/00","Direction Finding; Computing","G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing","","EP","European Patent Office","EP 04292360 A","2004","AT","Austria","2009-1-15","AT 419543 T","2009","Vorrichtung Zur Steuerungshilfe Eines GelÃ¤ndefahrzeugs","vorrichtung Zur Steuerungshilfe Eines GelÃ¤ndefahrzeugs","https://lens.org/101-541-609-357-979"
"NEWMARK INC","NEWMARK INC","0","A61N1/0408; A61N1/0456; A61N1/0492; A61N1/18; A61N1/20; A61N1/205; H05K3/325","","19","POWELL FRANCIS","A61N1/04; A61N1/18; A61N1/20; A61N1/34; H05K3/32","Medical; Printed Circuits","A61N: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Electrotherapy; Magnetotherapy; Radiation Therapy; Ultrasound Therapy; H05K: Electricity -> Electric Techniques Not Otherwise Provided For -> Printed Circuits; Casings Or Constructional Details Of Electric Apparatus; Manufacture Of Assemblages Of Electrical Components","","US","United States of America","US 23101800 P; US 59514600 A","2000","AT","Austria","2009-9-15","AT 441454 T","2009","MikrostromtherapiegerÃ¤t","","https://lens.org/103-122-697-747-69X"
"AUST PACIFIC FOREST MAN PTY LT","AUST PACIFIC FOREST MAN PTY LT","0","A01G23/0955","","13","UEBERGANG COLIN","A01G23/095; A01G3/08","Agriculture","A01G: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Horticulture; Cultivation Of Vegetables, Flowers, Rice, Fruit, Vines, Hops, Or Seaweed; Forestry; Watering","","AU","Australia","AU 2003 904810 A","2003","AT","Austria","2010-1-15","AT 454813 T","2010","Baumbeschneidungsvorrichtung","","https://lens.org/164-798-356-738-579"
"RHEINMETALL GMBH","RHEINMETALL GMBH","0","G01T7/00","","7","KNESE GERD CHRISTIAN","G01T7/00","Measuring","G01T: Physics -> Measuring; Testing -> Measurement Of Nuclear Or X-Radiation","","DE","Germany","DE 102004044633 A","2004","AT","Austria","2010-5-15","AT 466300 T","2010","Autonome Abc-sonde","autonome Abc-sonde","https://lens.org/174-661-521-869-368"
"CETIM CERMAT ASS","CETIM CERMAT ASS","0","B63B1/24; B63B1/285; B64C11/20; B64C3/48; F01D17/16; F01D5/148; F01D7/00; F03D1/0675; F05B2240/311; Y02E10/721; Y02T50/672; Y02T50/673","","15","DROBEZ HERVE; DURAND BERNARD; L HOSTIS GILDAS; LAURENT FABRICE; MAUPOINT CEDRIC; MEYER GEORGES","B64C3/48","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","FR","France","FR 0651048 A","2006","AT","Austria","2010-7-15","AT 472471 T","2010","Aerodynamisches Oder Hydrodynamisches Profil, Das Kontinuierlich Und Kontrolliert Verformt Werden Kann","aerodynamisches Oder Hydrodynamisches Profil; Das Kontinuierlich Und Kontrolliert Verformt Werden Kann","https://lens.org/193-820-018-762-947"
"LS BERATUNGSBUERO LUBLOW GMBH","HAIN SILKE; HAIN UWE; LS BERATUNGSBUERO LUBLOW GMBH; MARKUS WOLFGANG","0","E01B1/002; E01B1/008; E01B3/38","","19","MARKUS WOLFGANG","E01B1/00; E01B3/38","Road Construction","E01B: Fixed Constructions -> Construction Of Roads, Railways, Or Bridges -> Permanent Way; Permanent-Way Tools; Machines For Making Railways Of All Kinds","","DE","Germany","DE 20215204 U","2002","AT","Austria","2010-7-15","AT 474090 T","2010","Feste Fahrbahn FÃ¼r Den Schienenverkehr Und Verfahren Zu Ihrer Herstellung","feste Fahrbahn FÃ¼r Den Schienenverkehr Und Verfahren Zu Ihrer Herstellung","https://lens.org/109-000-073-915-424"
"ELBIT SYSTEMS LTD","ELBIT SYSTEMS LTD","0","F41H11/00; H04B7/18504","","13","ZAHAVI DOV","F41H11/00; H04B7/185","Weapons; Electric Communication/Television","F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General; H04B: Electricity -> Electric Communication Technique -> Transmission","","IL","Israel","IL 17794806 A","2006","AT","Austria","2010-10-15","AT 481779 T","2010","Verfahren Und System Zum Erweitern Des Elektronischen Betriebsbereichs Eines Fahrzeugs","verfahren Und System Zum Erweitern Des Elektronischen Betriebsbereichs Eines Fahrzeugs","https://lens.org/071-578-785-771-768"
"PROCTER & GAMBLE","PROCTER & GAMBLE","0","A61K2800/94; A61K8/898; A61Q19/00; A61Q5/004; A61Q5/02; A61Q5/06; A61Q5/12; C08G77/26; C08G77/388; C08L83/08; C11D3/3738; C11D3/3742; D06M15/6436; D06M15/647; D06M2200/00; D06M2200/20; D06M2200/50; Y10T428/31663; Y10T442/2279; Y10T442/2352; Y10T442/2385; Y10T442/2434; Y10T442/2492","","9","GARDNER ROBB; GOSSELINK EUGENE; TRINH TOAN","A61K8/00; A61K8/72; A61K8/89; A61K8/895; A61K8/897; A61K8/898; A61K8/90; A61Q19/00; A61Q5/00; A61Q5/06; A61Q5/12; C08G77/04; C08G77/26; C08G77/388; C08G77/48; C08L83/08; C11D3/37; D06M15/643; D06M15/647","Medical; Macromolecular Compounds; Animal/vegetable Oils; Textiles","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61Q: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Use Of Cosmetics Or Similar Toilet Preparations; C08G: Chemistry; Metallurgy -> Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up; Compositions Based Thereon -> Macromolecular Compounds Obtained Otherwise Than By Reactions Only Involving Carbon-To-Carbon Unsaturated Bonds; C08L: Chemistry; Metallurgy -> Organic Macromolecular Compounds; Their Preparation Or Chemical Working-Up; Compositions Based Thereon -> Compositions Of Macromolecular Compounds; C11D: Chemistry; Metallurgy -> Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes; Fatty Acids Therefrom; Detergents; Candles -> Detergent Compositions; Use Of Single Substances As Detergents; Soap Or Soap-Making; Resin Soaps; Recovery Of Glycerol; D06M: Textiles; Paper -> Treatment Of Textiles Or The Like; Laundering; Flexible Materials Not Otherwise Provided For -> Treatment, Not Provided For Elsewhere In Class D06, Of Fibres, Threads, Yarns, Fabrics, Feathers Or Fibrous Goods Made From Such Materials","","US","United States of America","US 24923400 P","2000","AT","Austria","2010-5-15","AT 466131 T","2010","Hydrophile Vernetzbare Silikone","hydrophile Vernetzbare Silikone","https://lens.org/102-381-444-167-136"
