applicants_organisations_only,n
DISNEY ENTPR INC,1.0
DONG WHA PHARM CO LTD,1.0
DYNAMIT NOBEL AG,1.0
E WIN CORP,1.0
EBAY INC,1.0
ECOLE NATIONALE DES PONTS ET CHAUSSEES,1.0
ELECTRONIC ENGINEERING INST,1.0
ELEMENT INC,1.0
ELIX WIRELESS CHARGING SYSTEMS INC,1.0
ELTOPIA COMMUNICATIONS LLC,1.0
EMT INGENIEURBUERO FUER ELEKTR,1.0
ENDRESS & HAUSER PROCESS SOLUT,1.0
ENERTROLS INC,1.0
ERICSSON TELEFON AB L M,1.0
EUROSIMTEC GMBH,1.0
EXAGRID SYSTEMS INC,1.0
EXPLICIT I S,1.0
FAIRCHILD INDUSTRIES,1.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA BALTI,1.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA JUZHN,1.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA KZ G,1.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA MO GT,1.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA ORENB,1.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA PENZE,1.0
FEDERAL NOE G BJUDZHETNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA UFIM,1.0
FEDERAL NOE G BJUDZHETNOE UCHREZHDENIE FEDERAL NYJ TS TOKSIKOLOGICHESKOJ RADIATSIONNOJ I BIOLOG BEZO,1.0
FEDERAL NOE G KAZENNOE UCHREZHDENIE 12 TSENTRAL NYJ NII MIN OBORONY RF,1.0
FEDERAL NOE G KAZENNOE VOENNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA,1.0
FEDERAL NOE G OBRAZOVATEL NOE,1.0
FEDERAL NOE G OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA KUBAN G AGRARNYJ,1.0
FEDERAL NOE G VOENNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA VOENNAJA,1.0
FEDERAL NOE G VOENNOE OBRAZOVATEL NOE UCHREZHDENIE VYSSHEGO PROFESSIONAL NOGO OBRAZOVANIJA VOENNO KO,1.0
FEDERAL NOE GUP NPP DEL TA,1.0
FEDERALNOE GUP,1.0
FGUP ROSMORPORT,1.0
FLYING ROBOTS,1.0
FORD WERKE AG,1.0
FR LURSSEN WERFT GMBH & CO,1.0
FU HWA MACHINE CO LTD,1.0
FUJITSU TEN LTD,1.0
G MASHINOSTROITEL NOE KB VYMPEL IM I I TOROPOVA AOOT,1.0
G NAUCHNOE UCHREZHDENIE ROSSEL,1.0
G NAUCHNOE UCHREZHDENIE SEV KA,1.0
G NAUCHNOE UCHREZHDENIE SIB NII PERERABOTKI SEL SKOKHOZJAJSTVENNOJ PRODUKTSII,1.0
GABLER GMBH MASCHBAU,1.0
GL UPRAVLENIE NPOB STROJTEKHAV,1.0
GLOBAL AERIAL PLATFORMS LTD,1.0
GLYCOFI INC,1.0
GOLD STAR CO,1.0
GOOGLE INC,1.0
GREEN BADGE LLC,1.0
GSF FORSCHUNGSZENTRUM UMWELT,1.0
GUANGZHOU FAST COMP SCIENCE AND TECHNOLOGY CO LTD,1.0
GUANGZHOU HUAFENG BIOLOG TECHN,1.0
GUP TSENTRAL NY,1.0
GYROPTER,1.0
HALLIBURTON ENERGY SERVICES INC,1.0
HANGZHOU TIANDI HEALTH PRODUCT,1.0
HARBIN JIANCHENG TASK TECHNOLOGY CO LTD,1.0
HARTFORD FIRE INSURANCE COMP,1.0
HCL TECHNOLOGIES LTD,1.0
HEBEI HUANHANG TECHNOLOGY CO LTD,1.0
HEBEI JIUXIN DISASTER REDUCTION EQUIPMENT RES INST,1.0
HEHAI UNIVERSITY CHANGZHOU,1.0
HEILONGJIANG RAOFENG NATIVE PRODUCE PROC CO LTD,1.0
HILEBEN CO LTD,1.0
HIPOCRATE 2002 SERV S R L,1.0
HOFIGAL EXP IMP S A,1.0
HONEYWELL ELAC NAUTIK GMBH,1.0
HORST ZIEGLER UND PARTNER GBR,1.0
HOWALDTSWERKE DEUTSCHE WERFT,1.0
HRJEJU,1.0
HTI IP L L C,1.0
HUNAN HEETIAN INFORMATION TECHNOLOGY CO LTD,1.0
HUNAN ZHONGYI AMUSEMENT EQUIPMENT CO LTD,1.0
HYDROACOUSTICS BRANCH OF MARITIME HYDROPHYSICAL INST OF THE NAT ACADEMY OF SCIENCES OF UKRAINE,1.0
HZHYTSKYI LVIV NAT UNIVERSITY OF VETERINARY MEDICINE AND BIOTECHNOLOGIES,1.0
IAC IN NAT UNIV CHUNGNAM,1.0
IFREMER,1.0
IMMERSION CORP,1.0
IMP INNOVATIONS LTD,1.0
INALFA ROOF SYS GROUP BV,1.0
INFRARED CAMERAS INC,1.0
INNURVATION INC,1.0
INRIX INC,1.0
INST AUTOMATION HEILONGJIANG ACADEMY OF SCIENCES,1.0
INST FRANCAIS DES SCIENCES ET TECHNOLOGIES DES TRANSPORTS DE LAMENAGEMENT ET DES RESEAUX,1.0
INST OF SYSTEMS SCIENCE NATION,1.0
INST PHYSIQUE DU GLOBE DE PARIS ETABLISSEMENT PUBLIC A CARACTERE SCIENT ET TECHNOLOGIQUE,1.0
INST RADIATION MED AMMS PLA,1.0
IP SERVICE KK,1.0
ISI LIFE SCIENCES INC,1.0
ISRAEL STATE,1.0
J NII GRANIT,1.0
JACKSON SIMON E AND CREWBOTICS,1.0
JADI INC,1.0
JIANGSU EVATE SOFT CO LTD,1.0
JINAN HANGYINA SCIENCE AND TECHNOLOGY CO LTD,1.0
JINLING INST TECHNOLOGY,1.0
JMDTHEQUE,1.0
JUNILAB INC,1.0
KAWADA KOGYO KK,1.0
KENWOOD CORP,1.0
KIA MOTORS CORP,1.0
KOLOR,1.0
KONINKL PHILIPS ELECTRONICS NV,1.0
KOREA ELECTRONICS TELECOMM,1.0
KOREN RON SYSTEMS COMM LTD,1.0
KOVINOPLASTIKA KOGELNIK D O O,1.0
KUNSHAN HWAYUNG ELECTRONICS CO LTD,1.0
KYUNG AN WIRE & CABLE CO LTD,1.0
LACROIX SOC E,1.0
LAVASTORM TECHNOLOGIES INC,1.0
LBE TECHNOLOGIES INC,1.0
LEICA GEOSYSTEMS AG,1.0
LEMELSON,1.0
LEMELSON MEDICAL EDUCATION & R,1.0
LG ELECTRONICS INC,1.0
LIG NEX1 CO LTD,1.0
LILY ROBOTICS INC,1.0
LIVESTOCK TECHNOLOGY POPULARIZ,1.0
LOGITECH EUROP SA,1.0
LOGO TEAM UG HAFTUNGSBESCHRAENKT,1.0
LS BERATUNGSBUERO LUBLOW GMBH,1.0
MA ANSHAN SAIDI INTELLIGENT TECHNOLOGY CO LTD,1.0
MÃ†RSK OLIE OG GAS AS,1.0
MAANSHAN AHUT IND TECHNOLOGY RES INST CO LTD,1.0
MAINTENANCE CO STATE GRID SHANDONG ELECTRIC POWER CO,1.0
MALLOY AERONAUTICS LTD,1.0
MARKOWETZ FRANZ,1.0
MBFARR LLC,1.0
MC CLIC,1.0
MEADOW HILLS LLC,1.0
MECHANICAL EQUIPMENT PLANT DEN,1.0
MEDICAL RES COUNCIL,1.0
MEDICATION APS E,1.0
MICRODRONES GMBH,1.0
MINGGUANG HAOHAO BEES CO LTD,1.0
MINISTRY OF NAT DEFENSE,1.0
MITSUBISHI HEAVY IND LTD,1.0
MO NI RADIOTEKHNICHESKIJ INST OAO MNIRTI AOOT,1.0
MO VERTOLETNYJ ZD IM M L MILJA AOOT,1.0
MOER POWER BEIJING TECHNOLOGY CO LTD,1.0
MONFORD AG SYSTEMS LTD,1.0
MOTOROLA INC,1.0
"MSG MARINE- UND SONDERTECHNIK GMBH, 2800 BREMEN, DE",1.0
MTN SATELLITE COMM,1.0
MUTUALINK INC,1.0
MY RES UAB,1.0
N METODICHESKIJ TS NORMA ZAO NMTS NORMA AOZT,1.0
NANHUA MIYILU NATURAL FOOD DEV CO LTD,1.0
NANJING AGRICULTURAL MECHANIZA,1.0
NANJING FOREST PUBLIC SECURITY,1.0
NANJING HJ JINYUAN OPTOELECTRONIC MATERIAL CO LTD,1.0
NANJING YOURUICHUANG INTELLIGENT TECHNOLOGY CO LTD,1.0
NES & TEC CO LTD,1.0
NEWMARK INC,1.0
NII KULON AOOT,1.0
NNYJ NP TS ZVEZDA STRELA,1.0
NO 60 RES INST OF GENERAL STAF,1.0
NOKIA CORP,1.0
NORTHROP CORP,1.0
NP TS AKVAMARIN AOZT,1.0
NPP RUBIN OAO NPP RUBIN AOOT,1.0
OAO NPR KORPORATSIJA IRKUT,1.0
OB EDINENNAJA AVIASTROITEL NAJA KORPORATSIJA AOOT,1.0
OBSERVATORY OF BUILDING CITY M,1.0
OIL CROPS RES INST CAAS,1.0
ONERA (OFF NAT AEROSPATIALE,1.0
ONKYO SOUND & VISION CORP,1.0
OOO BAMBLBI KOMPANI,1.0
OOO FAN FLAJT,1.0
OOO INTEGRAL NYE DIAGNOSTICHESKIE SISTEMY I T,1.0
OOO NPP API LUS,1.0
OOO OKEAN INVEST SPB,1.0
OOO SP NYJ T TS,1.0
OOO T LAB,1.0
OOO TSENTRAL NYJ NII AVIAT RAKETNYKH KOMPLEKSOV I SISTEM,1.0
OPTOSENSE TECHNOLOGIES INC,1.0
OSTERHOUT GROUP INC,1.0
OTKRYTOE AKTSIONERNOE OBSCHESTVO N PROIZV KORPORATSIYA IRKUT,1.0
PCTEL INC,1.0
PEACH STATE LABS INC,1.0
PEGASUS AVIAT TECHNOLOGY CO LTD,1.0
PHINERGY LTD,1.0
PLA AIR FORCE AVIAT UNIVERSITY,1.0
PRAD RES & DEV LTD,1.0
PRECISION COMBUSTION INC,1.0
PROCTER & GAMBLE,1.0
PROJET SOL R,1.0
QINGDAO TIANJIAO UNMANNED AERI,1.0
QINGHAI JITIAN TECHNOLOGY DEV,1.0
QUALCOMM INC,1.0
QUANTA ASSOCIATES LP,1.0
RADIATION MEDICAL INST ACADEMY,1.0
RADIOTEKHNICHESKIE I INF SISTEMY VOZDUSHNO KOSM OBORONY ZAO RTIS VKO AOZT,1.0
RAYTHEON UTD INC,1.0
REAL ENTPR SOLUTIONS DEV BV,1.0
REAL ENTPR SOLUTIONS NEDERLAND B V,1.0
RENAULT SAS,1.0
RENJI HOSPITAL AFFILIATED TO SHANGHAI JIAOTONG UNIV SCHOOL MEDICINE,1.0
RHEINMETALL DEFENCE ELECT GMBH,1.0
RHONE POULENC CHIMIE,1.0
RIDENGINEERING,1.0
ROSS BAGPIPE REEDS PTY LTD,1.0
ROSSIJSKAJA SAMOLETOSTROITEL NAJA KORPORATSIJA MIG OAO RSK MIG AOOT,1.0
SAMSUNG ELECTRO MECH,1.0
SAMSUNG TECHWIN CO LTD,1.0
SANKYO CO,1.0
SANYO ELECTRIC CO,1.0
SCHIEBEL GES M B H,1.0
SCHLUMBERGER CA LTD,1.0
SCHLUMBERGER HOLDINGS,1.0
SCHLUMBERGER SERVICES PETROL,1.0
SCHLUMBERGER TECHNOLOGY BV,1.0
SCHUBERTH WERK GMBH,1.0
SD SCIENCE & DEV SA,1.0
SEARLE & CO,1.0
SENSEFLY LTD,1.0
SHANDONG APICULTURAL ASS,1.0
SHANGHAI INST BIOL SCIENCES,1.0
SHANGHAI PUBLIC SECURITY JUNIOR COLLEGE,1.0
SHANGHAI YIWANTE TRAINING EQUIPMENT TECHNOLOGY CO LTD,1.0
SHANSHUI NATURAL BIOLOG HEALTH,1.0
SHARE TECH SOFTWARE PTY LTD,1.0
SHARPER SHAPE LTD,1.0
SHENZHEN HUALIN CIRCUIT TECHNOLOGY CO LTD,1.0
SHENZHEN SHENGJIE BIOLOGY TECH,1.0
SICHUAN REMOTE SENSING AND MAPPING INST,1.0
SIEMENS INDUSTRY INC,1.0
SK CHEMICALS CO LTD,1.0
SKYPERSONIC,1.0
SMITHS AEROSPACE INC,1.0
SNECMA MOTEURS,1.0
SNECMA PROPULSION SOLIDE FRENC,1.0
SOLAR SAILOR PTY LTD,1.0
SOUTH CHINA AIRCRAFT INDUSTRY CO LTD OF CHINA AVIAT INDUSTRY GENERAL AIRCRAFT CO LTD,1.0
SOUTHWEST RES INST OF CREC,1.0
SSHL INC,1.0
STATE GRID CORP CHINA,1.0
STERILIZ LLC,1.0
STRUCTURAL INTEGRITY MONITORIN,1.0
SUZHOU IND PARK INST VOCATIONAL TECHNOLOGY,1.0
SYNPOWER CO LTD SYNPOWER CO LT,1.0
SYSNAU,1.0
SZ DJI TECHNOLOGY CO LTD,1.0
TADSEC ADVANCED HOMELAND SECUR,1.0
TELEJET KOMMUNIKATIONS GMBH,1.0
TENNOR THERAPEUTICS LTD,1.0
TERABEE SAS,1.0
TERAHOP NETWORKS INC,1.0
TIANJIN JIANSHANG SCIENCE & TECHNOLOGY CO LTD,1.0
TIANJIN ZHONGYING NANO SCIENCE,1.0
TIELING CHANGMAOYUAN SCIENCE A,1.0
TOA CORP,1.0
TOAGOSEI CO LTD,1.0
TORQUING GROUP LTD,1.0
TOVARISHCHESTVO S OGRANICHENNO,1.0
TOYOTA AUTOCAR LTD,1.0
TOYOTA ENG & MFG NORTH AMERICA,1.0
TROOP LOGISTICS NO 66267 OF PLA,1.0
UKRAINIAN SCIENT RES I OF ALCO,1.0
UNITED DYNAMICS ADVANCED TECHNOLOGIES CORP,1.0
UNIV BEIJING,1.0
UNIV BEIJING AERONAUTIC & AEROSPACE,1.0
UNIV BEIJING CIVIL ENGINEERING & ARCHITECTURE,1.0
UNIV CHANGCHUN SCIENCE & TECH,1.0
UNIV CHONGQING JIAOTONG,1.0
UNIV COMPIEGNE TECH,1.0
UNIV FLORIDA,1.0
UNIV FRASER SIMON,1.0
UNIV HARBIN POLYTECHNIC,1.0
UNIV HUAZHONG SCIENCE TECH,1.0
UNIV HUELVA,1.0
UNIV JILIANG CHINA,1.0
UNIV JILIN,1.0
UNIV JILIN AGRICULTURAL,1.0
UNIV KANSAS STATE,1.0
UNIV KOREA RES & BUS FOUND,1.0
UNIV MICHIGAN STATE,1.0
UNIV NANJING AERONAUTICS,1.0
UNIV NAT AVIATION,1.0
UNIV NAT PHARMACEUTICAL,1.0
UNIV NEW YORK,1.0
UNIV NORTHWEST A&F,1.0
UNIV ODESA STATE MEDICAL,1.0
UNIV OR MARYLAND BALTIMORE COUNTY,1.0
UNIV RAMOT,1.0
UNIV SHANGHAI ENG SCIENCE,1.0
UNIV SHANGHAI FISHERIES,1.0
UNIV SHANGHAI JIAOTONG,1.0
UNIV SOUTH CHINA TECH,1.0
UNIV SUN YAT SEN,1.0
UNIV TUFTS,1.0
UNIV WUHAN,1.0
UNIV XIAMEN,1.0
UNIV XIHUA,1.0
UNIV YUNNAN AGRICULTURAL,1.0
UT BATTELLE LLC,1.0
VAW VER ALUMINIUM WERKE AG,1.0
VÃZKUMNÃ ÃšSTAV MELIORACÃ A OCHRANY PÅ®DY,1.0
VIVOMETRICS INC,1.0
WARNER LAMBERT CO,1.0
WELLAWARE HOLDINGS INC,1.0
WMD TECH,1.0
WUXI BEIDOUXINGTONG INF TECHNOLOGY CO LTD,1.0
XI CHUAN BIGIT INC,1.0
XIAN HUANIC OPTOELECTRONIC CORP,1.0
XIANHENG INTERNAT HANGZHOU AVIAT AUTOMATION CO LTD,1.0
XINJIANG INST OF TECHNOLOGY C,1.0
XISOM CO LTD,1.0
YAHOO INC,1.0
YAMAHA LIVING TEC,1.0
YAMAHA MOTOR CO LTD,1.0
YANCHENG HUAIYUAN BEE TECHNOLOGY DEV CO LTD,1.0
YEONGJU SHI AGRICULTURE TECHNOLOGY CT,1.0
YIHANG INFORMATION SCIENCE TEC,1.0
YORK IND INC,1.0
YOUYANG COUNTY YUANLI ECOLOGICAL BREEDING CO LTD,1.0
YUXIN TECHNOLOGY SUZHOU CO LTD,1.0
ZAHNRADFABRIK FRIEDRICHSHAFEN,1.0
ZENECA LTD,1.0
ZHEJIANG ACADEMY OF TRADITIONAL CHINESE MEDICINE,1.0
ZHEJIANG KONGXING AIRCRAFT TECHNOLOGY CO LTD,1.0
ZHEJIANG ZHONGHANG ELECTRONIC CO LTD,1.0
ZHENGZHOU HIGHWAY ENGINEERING COMPANY,1.0
ZHIJIANG COLLEGE OF ZHEJIANG UNIV TECHNOLOGY,1.0
ZHUHAI GREE ENERGY SAVING & REFRIGERATING TECHNOLOGY RESARCH CT CO LTD,1.0
ZHUZHOU CSR TIMES ELEC CO LTD,1.0
