title_phrases,n
printed Circuit Board Replacement Structure,2.0
procede De Pilotage D'un,2.0
production Method,2.0
Production Technology,2.0
remote Marine Craft System,2.0
robotic System,2.0
room Sterilization Method,2.0
solar Drone,2.0
Structural Partitions,2.0
Submersible Craft,2.0
Submersion People,2.0
Sunroof Deflector,2.0
supply Packs,2.0
Target Designator,2.0
transaction Card System,2.0
Unauthorized Usage,2.0
unmanned Aerial Plane Launching System,2.0
unmanned Aerial Vehicles,2.0
Unmanned Plane,2.0
Unmanned Vehicle,2.0
Vertical Take,2.0
Via Virtual Touch Screen Gesture Control,2.0
wearable Augmented Reality Eyeglass Communication Device,2.0
1# Frame,1.0
"14alpha,17alpha-c2-Ã¼berbrÃ¼ckte 19-nor- Progesteronderivate",1.0
180 Degree,1.0
"3-acyloxy-2,3-unsaturated Ketones",1.0
"3-halogeno-2,3-unsaturated Ketone",1.0
3d Model,1.0
3d Motion,1.0
Absorption Unit,1.0
Accelerated Consolidation,1.0
accelerated Learning,1.0
acceleration Corrected Attitude Estimation Systems,1.0
Access Management,1.0
Accident Prevention Supporting Structure,1.0
Accurate Gps Data,1.0
Acoustic Information Exchange,1.0
Acoustic System,1.0
acoustic Weapon I.e,1.0
Acquiring Three-dimensional Geometry,1.0
acquisition Device,1.0
Acquisition Unit,1.0
Acrylic] Ester] Copolymer,1.0
Activating Function,1.0
Activation Means,1.0
Active Anti-aircraft Fire Zone,1.0
active Attack Detection System,1.0
active Bee Product,1.0
Active Dietary Supplement,1.0
active Dipole Inlet,1.0
Active Food Supplement,1.0
active Geometric Exoskeleton,1.0
Active Ingredient,1.0
Active Metabolites,1.0
Active Phase-aerial,1.0
Active Pollution Filter Drone,1.0
Active Position,1.0
Active Preparation,1.0
Active Structures,1.0
Active Target Kill Zones versions),1.0
Actoprotective Effect,1.0
Actoprotector Actions,1.0
Actual Target Distance,1.0
actuator Fault Diagnosis,1.0
Adapted Pest Control,1.0
Adaptive Control,1.0
adaptive Control Method,1.0
Adaptive Unknown Input Observers,1.0
Additive Manufacturing,1.0
adjustable Mechanical System,1.0
Adsorbed Drone Brood Homogenate,1.0
aerial Composite Solar Power Plant,1.0
aerial Inspection System(s),1.0
Aerial Reconnaissance Drone,1.0
aerial Releasing Type High-altitude Gliding Drone Aircraft,1.0
Aerial Vehicle's aka,1.0
Aerodynamic Drag,1.0
aerodynamic Layout,1.0
aerodynamic Surface,1.0
Aerodynamic Thrust,1.0
aerodynamischer Multikopter,1.0
aerodynamisches Oder Hydrodynamisches Profil,1.0
Aeronef Associe,1.0
Aeronef Commande,1.0
aerostat Assembly,1.0
Air Current,1.0
air Filter,1.0
Air Guide Part,1.0
air Straight Flow Type Drone,1.0
Air-borne Reconnaissance Drone,1.0
airborne Biota,1.0
airborne Data Collection,1.0
airborne Drone Formation Control System,1.0
airborne Equipment,1.0
Airborne Soil Moisture Sensor,1.0
Airborne Target Device,1.0
Airborne Visualization,1.0
Airborne Weapons Module,1.0
Aircraft Altitude Measurement System,1.0
Aircraft Angular Flight,1.0
aircraft Avoidance Method,1.0
Aircraft drone,1.0
aircraft Dynamic Controlling Device,1.0
aircraft Launching Catapult,1.0
Aircraft Target Practice,1.0
Aircrft Catapult System,1.0
Alarm Signals,1.0
alarm System,1.0
Alcoholic Beverages,1.0
Alive Pure Drone Pupa,1.0
"alkoxy-alkyl-substituted 1-h-3-aryl-pyrrolidine-2,4-diones",1.0
all-station Instrument,1.0
Almond Oil,1.0
Alternative Fuel Source,1.0
altitude Estimator,1.0
Altitude Signals,1.0
amphibious Gyropendular Drone,1.0
amphibious Unmanned Plane,1.0
Anaerobic Deflagration Internal Piston Engine,1.0
Anaerobic Fuel,1.0
Analog/digital Control Systems,1.0
Analysis Unit,1.0
Andrological Diseases,1.0
Angular Velocity,1.0
Animal Organism,1.0
Animal Organism Defensors Functioning,1.0
Annual Reproduction Technique,1.0
Another Drone,1.0
Another Hole,1.0
Antennas Co-located,1.0
Anti Hepatitis B Virus,1.0
Anti-aircraft Guns,1.0
Anti-aircraft Missiles,1.0
Anti-inflammatory Amd Wound-healing Effect,1.0
anti-interference Drone Path Tracking Control Method,1.0
anti-missile Attack Type Missile,1.0
anti-obesity Agent,1.0
anti-terrorist Shooting-head Target Drone,1.0
Anti-varroosis Protection,1.0
antineoplastic Drug Evaluation,1.0
antisense Oligonucleotide,1.0
antitank Rocket Complex,1.0
Antituberculous Remedy,1.0
Antitumor Medicine Screening,1.0
aparelho De Lancamento De Veiculos Aereos,1.0
Apiphytotherapy Compounds,1.0
apis Mellifera-derived Antimicrobial Peptide,1.0
Apoptosis Gene Caspase-4,1.0
Application Performance,1.0
Appraisal System,1.0
Approach Phase,1.0
Approach Zone,1.0
aquatic Animal Shaped Unmanned Drone Vessel,1.0
Aquatic Exploration,1.0
Aquatic Medium,1.0
aquatic Sports Target Drone,1.0
Aqueous Solutions,1.0
ar Glasses,1.0
Arctic Conditions,1.0
Armoured Vehicles,1.0
Array Controllers,1.0
Arresting Gear,1.0
artificial Beehive,1.0
Artificial Breeding,1.0
artificial Comb,1.0
Artificial Insemination,1.0
Artificial Satellite,1.0
Aspiration Unit,1.0
Associated Methods,1.0
Associated Processing Methods,1.0
Associated Risks,1.0
Associated Unmanned Ship,1.0
Assuring Floatability,1.0
atmosphere Visibility,1.0
Attack Module,1.0
Attack System,1.0
Attacking Target,1.0
attitude Control Method,1.0
Atypical Osteoporosis,1.0
audio System,1.0
Augmented Reality Comprising Combined,1.0
ausbildungssimulationssystem FÃ¼r Ein Drohnensystem,1.0
auto Attack Drones,1.0
Automated Collective Mobile Robotic Vehicles,1.0
Automated Control Coupling Mechanism,1.0
Automated Data Processing,1.0
automated Defence System,1.0
automated Drone Package Receiver Module,1.0
Automated Glass Cleaning Flying Drone System,1.0
Automated Identification,1.0
Automated Package Delivery,1.0
Automated System,1.0
Automatic Alignment,1.0
automatic Compass Calibration System,1.0
automatic Constant-temperature Chinese Drone Beehive,1.0
Automatic Delivery,1.0
Automatic Drone Landing,1.0
Automatic Gearbox,1.0
Automatic Guiding,1.0
automatic Horizontal Roll,1.0
Automatic Hovering-flight Stabilisation,1.0
automatic Image,1.0
Automatic Landing/take-off,1.0
Automatic Pilot,1.0
automatic Pilotless Diagnostics Complex,1.0
automatic Rotary,1.0
automatic Rotary Target Drone,1.0
automatic Shot Result Reporting Device,1.0
automatic Takeoff Method,1.0
automatic Target Control Device,1.0
automatic Target Drone Sways,1.0
automatic Target Indicating Apparatus,1.0
automatic Target Report Device,1.0
automatic Trajectory Planner,1.0
Automation Block,1.0
Automobile Assembly,1.0
autonome Abc-sonde,1.0
autonomes Und Automatisches Landesystem FÃ¼r Drohnen,1.0
autonomous Conveyor Interfacing Aerial Delivery,1.0
autonomous Flight Quadrotor Drone Road,1.0
autonomous Ground Station Interfacing Aerial Delivery,1.0
autonomous Unmanned Tower Military Mobile Intermodal Container,1.0
avigation Close Range Photography Displacement Measurement System,1.0
axle Gearing,1.0
Bag Pipes,1.0
Bagpipe Drone,1.0
bagpipe Drone Reed,1.0
bagpipe Drones,1.0
bagpipe Joints,1.0
bagpipe Reed,1.0
bagpipe Reed System,1.0
Bajas Frecuencias,1.0
balise De Jalonnement,1.0
barnes Hain Bridal Cane Drone Reed,1.0
Barrel Stave-type Transducer Array,1.0
Barrier System,1.0
Base Target Engagement,1.0
Based Powder,1.0
Bayonet Joint,1.0
Bee -keeping Usefulness Separates King's Bars,1.0
Bee Bread,1.0
Bee Breed Preserved Homogenate drone Breed,1.0
bee Breeding Method,1.0
Bee Brood,1.0
bee Honey Product Formula,1.0
bee Pollination Technology,1.0
bee Pupa Beverage,1.0
beehive Frame,1.0
beehive Stand,1.0
beekeeping Composition,1.0
Behandling Og Forebyggelse Af Sygdomme,1.0
Bellow-type Bagpipes,1.0
bemanntes Oder Unbemanntes FluggerÃ¤t,1.0
"benzo [e] Isoindazole-1,3 Diketone Compound",1.0
Bidirectional Transmission,1.0
bioaerosol Transmittance Tester,1.0
biological Health-care Product,1.0
bionic Comb Foundation,1.0
bird Repellent System,1.0
Bis-haloalkylene Sulfides,1.0
Blast Air,1.0
Blood Fat,1.0
board Game,1.0
Board Memory,1.0
body Capacitance Electric Body Capacitance Electric Field Powered Device,1.0
body Molding Pipe Bag Cover,1.0
boitier Electronique,1.0
bollet Nose,1.0
Bombus Spp,1.0
Bone Health,1.0
Bord Einer Drohne,1.0
bracket Sprayer,1.0
breathing Biofeedback Device,1.0
Breeding Encarsia Sophia Drones,1.0
Breeding High-quality Anti-mite Bee Variety,1.0
Breeding High-quality Mite-resistant Bee Species,1.0
Breeding Host,1.0
Breeding Sclerodermus Pupariae Yang,1.0
breeding Technique,1.0
Bridge Construction Patrol System,1.0
Bridge Steel Structure,1.0
broadband Access,1.0
Broadband Access System,1.0
Building Maintenance Method,1.0
building Maintenance System,1.0
Bulk Dump,1.0
Bulk Quality,1.0
Bulk Quality Measurement Unit,1.0
Bull's Eye,1.0
bullet Collector,1.0
Calculation Unit,1.0
Camera Calibration Target,1.0
Camera Marking Method,1.0
Camera-dart System,1.0
Camv 35s Promoters,1.0
Capsaicine Compound,1.0
captive Drone Aerial Observation System,1.0
Captive Unmanned Drone Models,1.0
Car Combination,1.0
Car Roof Channel Door,1.0
cargo Aircraft,1.0
Carpathian Bees,1.0
carrier Block,1.0
carrier-based Modular Optronic System,1.0
Cartographic Representation,1.0
Catapult Launcher versions),1.0
Catch Line,1.0
Cell Microscopic Image Information,1.0
cellular Shell,1.0
Central Space Protecting Energy Generator,1.0
Ceramic Material,1.0
Change Angle Blades Rigid Rotors,1.0
Check-and-adjust Hardware,1.0
Chemical Detection,1.0
Chinese Bees,1.0
Circular Inside,1.0
Circular Landing Grid,1.0
citronnellyl- Und/oder Dihydrocitronellyllactate,1.0
close-range Photogrammetry Drone,1.0
Cloud Formation,1.0
Cloud Precipitation,1.0
Cloud Technology,1.0
CN 102257989,1.0
CN 102929471 B,1.0
CN 103217249 B,1.0
CN 103518800 B,1.0
CN 103710197 B,1.0
CN 103710237 B,1.0
Coal Bulk,1.0
coffee Drink,1.0
Cognitive Therapy,1.0
cold Start Fuel System,1.0
collecting Container,1.0
Collecting Gaseous Sample,1.0
Collecting Honey,1.0
Collecting Image Datas,1.0
Collecting Images,1.0
Collecting Optical Signals,1.0
Collecting Samples,1.0
Collecting Video Information,1.0
Collecting Zones Rotating Blade,1.0
Comb Foundation,1.0
Combat Helicopter,1.0
Combat Helicopters,1.0
Combat Unmanned Aerial Vehicle Guided Arm,1.0
Combat Unmanned Aerial Vehicles,1.0
Combat Zone,1.0
combined Drone Aircraft,1.0
combined N-type Queen-isolating Nest Door,1.0
combined Type Beehive Door,1.0
Combustion-chamber Combustion Fluctuations,1.0
Command Transmitter,1.0
commercial Airliner Missile Protection,1.0
Common Output,1.0
Common Tangent,1.0
Communication Mobile Station,1.0
Communication Network,1.0
communication Node,1.0
compact Single-operation Safety Device,1.0
Compares Two Sets,1.0
Compensation Du Vent Lateral,1.0
Compensatory Propulsion,1.0
Complex Activation,1.0
complex Api Preparation,1.0
Complex Fast Control,1.0
Complex Indoor Combat,1.0
Comportant Un Drone,1.0
composite Enzymolysis Technology,1.0
Composite Planar Target Drone,1.0
Compound Propolis Granule Preparation,1.0
comprehensive Intelligent Target-scoring System,1.0
Compressed Video Streams,1.0
Compresses Camera Image Data,1.0
Computer-readable Medium,1.0
Conducting Rim,1.0
Configuration Uav,1.0
confirmation System,1.0
Connecting Actuators,1.0
Connecting One End,1.0
Construction Use,1.0
Context-aware Application Control,1.0
Contra Rotating Propellers,1.0
Contra-rotating Impeller Lift Jet Fans,1.0
Control Computer,1.0
Control Modules,1.0
Control Signal,1.0
Control Surfaces,1.0
Control Systems,1.0
Control Therefor,1.0
controlled Detonation Charge Ignition,1.0
Controlled Flight,1.0
Controlling Aircraft,1.0
controlling Apparatus,1.0
Controlling Bursaphelenchus Xylophilus,1.0
controlling Device Operation,1.0
Controlling Duty Cycle,1.0
Controlling Fuel Delivery,1.0
Controlling Hand-over,1.0
Controlling Method,1.0
Controlling Monochamus Alternatus,1.0
Controlling Operating Condition,1.0
Controlling Station,1.0
Controlling Vehicle,1.0
Controlling Vehicular Traffic Flow,1.0
convertible Drone Rotorcraft,1.0
conveying Target,1.0
Cool Roofs,1.0
cooling Cycle,1.0
corona Blowing Head,1.0
Corona Effect,1.0
Corresponding Method,1.0
Corresponding System,1.0
Cosmetic Agents,1.0
cosmetic Curative-prophylactic Cream-mask,1.0
Cosmetic Formula,1.0
Coupon Exchange,1.0
Craft Ulitizing Hyperbolic Systems,1.0
credit Card Communication System,1.0
Criminal Apprehension Coordinated Improved System,1.0
Crisis Negotiation,1.0
crouse Big Mouth Barge Skimmer,1.0
crouse River Rail System,1.0
cruise Target Missile,1.0
cruise Target Projectile,1.0
Curved Steering,1.0
Curved Trajectories Around One,1.0
Cyclonic Wind Damage,1.0
D Group Vitamins,1.0
ð¡Ð¿Ð¾ÑÐ¾Ð± ÐžÑ‚Ð±Ð¾Ñ€Ð° Ð¢Ñ€ÑƒÑ‚Ð½ÐµÐ²Ñ‹Ñ… Ð›Ð¸Ñ‡Ð¸Ð½Ð¾Ðº Ð¡ ÐÐ°Ð¸Ð²Ñ‹ÑÑˆÐµÐ¹ Ð‘Ð¸Ð¾Ð»Ð¾Ð³Ð¸Ñ‡ÐµÑÐºÐ¾Ð¹ Ð¦ÐµÐ½Ð½Ð¾ÑÑ‚ÑŒÑŽ,1.0
Ð¡Ð½Ð¸Ð¶ÐµÐ½Ð¸Ñ ÐžÐ¶Ð¸Ñ€ÐµÐ½Ð¸Ñ,1.0
ð‘Ð¸Ð¾Ð»Ð¾Ð³Ð¸Ñ‡ÐµÑÐºÐ¸ ÐÐºÑ‚Ð¸Ð²Ð½Ð°Ñ Ð”Ð¾Ð±Ð°Ð²ÐºÐ° Ðš ÐŸÐ¸Ñ‰Ðµ,1.0
ð‘Ð¸Ð¾Ð»Ð¾Ð³Ð¸Ñ‡ÐµÑÐºÐ¸ ÐÐºÑ‚Ð¸Ð²Ð½Ð°Ñ Ð”Ð¾Ð±Ð°Ð²ÐºÐ° Ðš ÐŸÐ¸Ñ‰Ðµ Ð”Ð»Ñ ÐÐ¾Ñ€Ð¼Ð°Ð»Ð¸Ð·Ð°Ñ†Ð¸Ð¸ Ð£Ñ€Ð¾Ð²Ð½Ñ ÐÐ½Ð´Ñ€Ð¾Ð³ÐµÐ½Ð¾Ð² ÐœÑƒÐ¶Ñ‡Ð¸Ð½,1.0
ð‘Ð¸Ð¾Ð»Ð¾Ð³Ð¸Ñ‡ÐµÑÐºÐ¸ ÐÐºÑ‚Ð¸Ð²Ð½Ð°Ñ Ð”Ð¾Ð±Ð°Ð²ÐºÐ° Ðš ÐŸÐ¸Ñ‰Ðµ Ð”Ð»Ñ ÐŸÑ€Ð¾Ñ„Ð¸Ð»Ð°ÐºÑ‚Ð¸ÐºÐ¸ Ð­Ñ€ÐµÐºÑ‚Ð¸Ð»ÑŒÐ½Ð¾Ð¹ Ð”Ð¸ÑÑ„ÑƒÐ½ÐºÑ†Ð¸Ð¸ Ð£ ÐœÑƒÐ¶Ñ‡Ð¸Ð½,1.0
Damaging Object,1.0
dampening Apparatus,1.0
danger Warning,1.0
Dangerous Dynamic Objects,1.0
Das Kontinuierlich Und Kontrolliert Verformt Werden Kann,1.0
data Collection Network,1.0
Data Processing,1.0
Data Relative,1.0
Data Transmitter Devices,1.0
DE 3923740 C1,1.0
De Distribution D'hydrogene,1.0
De Recuperation D'un Drone,1.0
De Vue Par Une Camera Embarquee Avec Minimisation Des Mouvements Perturbateurs,1.0
Dead Bees,1.0
Decision Making Support,1.0
Dedicated Equipment Therefor,1.0
Defense Application,1.0
Defense Virtual Simulation System,1.0
Defined Manner,1.0
delivery Data Server,1.0
Det Mandlige Urogenitale System,1.0
Detachable Active Plate,1.0
Detachable Attachment,1.0
detection Method,1.0
Detection System,1.0
Determining 3d Coordinates,1.0
Determining Drone Target Topological Relation,1.0
Determining Emissions,1.0
Determining New Points,1.0
Determining Position,1.0
Determining Short Propagation Times,1.0
determining Threats,1.0
Determining Well Productivity,1.0
detonator Target Drone,1.0
Developing Broadspectrum Antibiotic,1.0
Device Makes Azimuth Angle Equal,1.0
Diagonal Manner,1.0
Die Metalchelate Von Herbiziden Dionen Enthalten,1.0
Die Sie Enthalten,1.0
Diesel Engine,1.0
Different Fluid Flow Velocity Fields,1.0
Different Oscillations,1.0
Different Wireless Field Device Networks,1.0
digital Clearance,1.0
Digital Clearances Received On-board,1.0
Digital-analog Adaptive Control Signal,1.0
direct Impact Aerosol Sampling,1.0
Direct Power Transmission,1.0
Directional Control,1.0
Disappearing Target Drone,1.0
Diseases versions),1.0
Displacement Direction,1.0
Displacement Information,1.0
dispositif D'accueil D'un Drone Sur Un Vehicule,1.0
Dispositif De Determination D'une Interdistance Entre Un Drone,1.0
dispositif De Lancement,1.0
dispositif De Largage,1.0
dispositif De Transfert D'energie,1.0
dispositif Permettant Le Controle Non Destructif De Structures,1.0
Distance Par Ondes Acoustiques Sur Un Objet En Mouvement,1.0
Distributed Data,1.0
Distributed Intelligence Network,1.0
distributed Path Planning,1.0
Distributed Proximity Operations,1.0
divided Type,1.0
Dividing Result,1.0
Diving Submarine,1.0
Donor Blood,1.0
doppelstocktrogbeute FÃ¼r Die ZweivÃ¶lkerbetriebsweise Zur GÃ¤nzlichen Schwarmunterbindung,1.0
Double 1-dimension Drone,1.0
double Surface Drone Based Flow Type Tri-dimensional Visual Measurement Splicing Method,1.0
double Tap,1.0
double-sensor Laser,1.0
Double-sided Modification Design,1.0
Down Drone,1.0
Downloading Music,1.0
dr One System,1.0
Drift Quantity,1.0
Drive Shaft,1.0
drive System,1.0
driving Assessment,1.0
dron Flight,1.0
Drone Activities,1.0
drone Aircraft Flight Control System,1.0
Drone Aircraft Uses Telecommunications Network,1.0
Drone Angular Flight,1.0
Drone Angular Motion Onboard Control Systems,1.0
Drone Assembly,1.0
Drone Associes,1.0
drone Aurelia Collector,1.0
Drone Base Station,1.0
"drone Based Accident,traffic Surveillance",1.0
Drone Bee Larvae,1.0
Drone Bees,1.0
Drone Breed,1.0
drone Breed-base Tablet,1.0
Drone Breeding Combs,1.0
Drone Card Pci Bus,1.0
drone Cargo Helicopter,1.0
Drone Catching Device,1.0
Drone Child,1.0
drone Clearing Device,1.0
drone Compact Air Intake,1.0
Drone Cone,1.0
drone Control Method,1.0
Drone Deliveries,1.0
Drone Doors,1.0
drone Drought Detection Method,1.0
drone Egg Collector,1.0
drone Electric Power Plant,1.0
Drone Fins,1.0
drone Flaps Control Electromechanical Drive,1.0
Drone Flight Path,1.0
Drone Gliding Stabilisation,1.0
drone Guidance,1.0
drone Haute Altitude,1.0
drone Haze,1.0
drone High Rate Data Acquisition,1.0
Drone Images,1.0
drone Killing Device,1.0
drone Larva Homogenate,1.0
Drone Mid-flight Engine versions,1.0
Drone Network,1.0
Drone Noise,1.0
Drone Nutrient,1.0
Drone Nutritious Composition,1.0
drone Nymph Production Method,1.0
Drone Onboard Hardware,1.0
drone Ovum Collection Device,1.0
Drone Planes,1.0
Drone Planes Flying,1.0
drone Plate,1.0
drone Position Determining System,1.0
drone Product,1.0
Drone Production,1.0
Drone Pupa,1.0
drone Pupa Collector,1.0
Drone Pupa Freeze-dried Powder Medicinal Granules,1.0
Drone Pupa Preparation,1.0
Drone Pupae Polypeptide Extract,1.0
drone Pupae Sugar-free Crunchy Cracker Processing Method,1.0
drone Pupae Wine,1.0
Drone Pupas,1.0
drone Recovery Mechanism,1.0
Drone Reed,1.0
Drone Refind Produsts,1.0
Drone Remote Control,1.0
Drone Remote Control Circuit,1.0
drone Remote Controller,1.0
Drone Reproduction,1.0
drone Seismic Sensing Method,1.0
Drone Semen,1.0
drone Service Aero-carrier,1.0
drone Ship Toy,1.0
Drone Simulator Unfolding Instruction versions,1.0
Drone Simulator Unfolding Instruction versions),1.0
Drone Speaker Driver,1.0
Drone Stabilisation System Control Signal,1.0
drone Strike Complex,1.0
Drone System Controller,1.0
drone Tamper,1.0
drone Type Life Ring,1.0
drone Unified Bearing Module,1.0
Drone Vehicle,1.0
drone Vessel,1.0
drone-based Fire Rescue Device,1.0
drone-mounted Imaging Hyperspectral Geometric Correction Method,1.0
Drone/uav Background,1.0
Drone/uav Platforms,1.0
Drones take-off/ Landing,1.0
Droplet Actuator,1.0
Dry Fruits,1.0
dual Ground Control System,1.0
dual-axis Ball Head,1.0
Dual-purpose Target,1.0
Duplex Control Method,1.0
dynamic Angular Instrument,1.0
dynamic Communication Data Usage,1.0
dynamic Encoding,1.0
Dynamic Model,1.0
dynamic Precision Target Drone,1.0
Dynamic Wireless Aerial Mesh Network,1.0
ÐžÐ±Ñ‰ÐµÐ³Ð¾ Ð¡Ð¾ÑÐ¾ÑÐ½Ð¸Ñ,1.0
Earth-based Sensor Network,1.0
Eccentrically Rotating,1.0
edible Mask,1.0
efficient Impeller Systems,1.0
Egg-beater Rotors,1.0
ein Lautsprecher Mit Zweikammer-akustisches GehÃ¤use Mit Zwei Externen Luftdurchlasse Und Einem Internen Luftdurchlass,1.0
Einer Drohne,1.0
einrichtung Zum Fliegen Einer Drone,1.0
ejectable Body,1.0
electric Control Separation Mechanism,1.0
Electric Digital Data,1.0
Electric Drones,1.0
Electric Energy Necessary,1.0
Electric Field,1.0
electric Pistol Target,1.0
electric Standing-lying Target,1.0
Electric Storage System,1.0
electric Vertical Takeoff,1.0
Electrical Connection,1.0
Electrical Interface,1.0
Electrical Signals,1.0
Electrical Testing Locating Hole,1.0
Electro-optic Theodolite,1.0
electrochemical Generator,1.0
Electromagnetic Coupling,1.0
electromagnetic Induction Demonstrator,1.0
Electromagnetic Radiation,1.0
electronic Automatic Bee Venom Collector,1.0
Electronic Controls,1.0
Electronic Guidance,1.0
Electronic Key,1.0
electronic Navigation Card Holder,1.0
electronic Shooting Method,1.0
Electrostatic Powder Blower,1.0
Electrostatic Precipitation,1.0
elektro-optische FÃ¼hrungseinrichtung FÃ¼r Die Automatische Steuerung Unbemannter FluggerÃ¤te WÃ¤hrend Der Endphase Der Landung,1.0
elemento Pasivo Que Funciona En Combinacion Con Un Parlante Activo Y Alojado En Un Espacio Vacio Que Tiene Un Volumen Cerrado De Aire Para Producir Unincremento De La Eficacia Del Parlante,1.0
Elliptical Wire Mesh Giving Omni-directional Response,1.0
Elongated Envelope,1.0
Emergency Communication System,1.0
Emergency Location Information Service e-lis,1.0
Emergency Response System,1.0
Emergency Responses,1.0
emission Detector,1.0
emulation Training System,1.0
En Particular,1.0
encarsia Sophia Artificial Propagation Production Method,1.0
enclosed Drone Apparatus,1.0
Enclosed Space,1.0
energieversorgungsgerÃ¤t FÃ¼r Eine Funkenerosionsmaschine,1.0
Energy Via,1.0
energy-saving Flexible Transparent Conducting Film,1.0
Entering Hook Firing Device,1.0
Enterocolitis Yersinia Genus Gene,1.0
entsicherungseinrichtung Mit Drehfluegel,1.0
Environmental Measurements,1.0
Epitaxial Structure,1.0
Equipements Electroniques Embarques Dans Un Aeronef,1.0
Eretmocerus Hayati,1.0
erhebung Und Nutzung Von Erfassten Fahrzeugdaten,1.0
excellent Efficient Herbicide,1.0
Excess Supply,1.0
exhaust System Passive Noise Cancellation Assembly,1.0
Exploration System,1.0
Extension Opens,1.0
external Combustion Propelling Engine,1.0
External Mechanical Stress I.e,1.0
external Skin Agent,1.0
Extra Access,1.0
extraction Process,1.0
fahrtsimulator Mit Ãœberkreuzter NetzwerkrÃ¼ckkoppelung,1.0
Failing Target,1.0
fan/ Impeller Based Rotational Thrust Vectoring System,1.0
Farmland Crops,1.0
Feeding Drone Bees,1.0
fernbedienungssystem FÃ¼r Eine Mit Einem Draht Gesteuerte Rakete,1.0
feste Fahrbahn FÃ¼r Den Schienenverkehr Und Verfahren Zu Ihrer Herstellung,1.0
fiber Optic Flammable Liquid,1.0
Fibre Guided Missile,1.0
Field Information,1.0
field Monitor Collecting Data,1.0
Fight Automaton,1.0
fighting Short-,1.0
Filling Bone Cavity Formations,1.0
Film Performance,1.0
Finishing Agent,1.0
Fire Areas,1.0
fire Detection Systems,1.0
Fire Safety System,1.0
Fire Training,1.0
firefighters Drone Arrangement,1.0
Firing Axis,1.0
firing System,1.0
Fitting Drone Reed,1.0
Five-apian Treasure Cream,1.0
five-lens Inclined Photography Aerial Camera,1.0
five-site Room Intrusion Target Drone,1.0
Fixed Pipe,1.0
Fixed Position,1.0
Fixing Underwater Machine,1.0
Flat Target,1.0
Flexible Airfoil,1.0
flexible Element,1.0
Flexible Elements,1.0
flexible Response Secured Mechanical Balancing,1.0
flight Control,1.0
flight Control Law Design Device,1.0
flight Control Unit,1.0
Flight Controllable Carrier Device,1.0
flight Drone,1.0
Flight Management,1.0
Flight Platform,1.0
Flight Route Data,1.0
Flight Speed,1.0
Flip Type Maneuver,1.0
Floating Building,1.0
floating Periscope,1.0
Floating Platforms,1.0
fluggerÃ¤t Zur Flugzieldarstellung,1.0
fluid-resistant Electronic Devices,1.0
Fluidic Gradient Collimation,1.0
Fluorescence Quantitative Pcr Genotypes,1.0
Flute-family Instruments,1.0
Flying Apparatus I.e,1.0
Flying Combat Helicopters,1.0
flying Drone,1.0
flying Drone Trajectory Synchronization,1.0
Flying Experience,1.0
flying Platform,1.0
Folding Type Sunroof Deflector,1.0
Food Supplement,1.0
foreign Matter,1.0
forest Fire-fighting Blanket,1.0
Formation Drone Aircraft,1.0
Four-stroke Petrol Engine,1.0
Fourier Transformation,1.0
frequency Band Switching Radio Front End,1.0
Friendly Fire Incidents,1.0
Front Cover,1.0
Fruit Juices,1.0
Fuel Tank,1.0
Fuel-efficient Transportation,1.0
Full Machine,1.0
Function Combination Formula Prisoner,1.0
