type,office,office_code,origin,technology_original,technology_number,technology,year,records
Income,Lower middle-income,W3,Non-Resident,6 - Computer technology,6,Computer technology,1980,6
Income,Lower middle-income,W3,Non-Resident,9 - Optics,9,Optics,1980,7
Income,Lower middle-income,W3,Non-Resident,10 - Measurement,10,Measurement,1980,21
Income,Lower middle-income,W3,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1980,2
Income,Lower middle-income,W3,Non-Resident,12 - Control,12,Control,1980,7
Income,Lower middle-income,W3,Non-Resident,13 - Medical technology,13,Medical technology,1980,21
Income,Lower middle-income,W3,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1980,342
Income,Lower middle-income,W3,Non-Resident,15 - Biotechnology,15,Biotechnology,1980,23
Income,Lower middle-income,W3,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1980,163
Income,Lower middle-income,W3,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1980,41
Income,Lower middle-income,W3,Non-Resident,18 - Food chemistry,18,Food chemistry,1980,39
Income,Lower middle-income,W3,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,208
Income,Lower middle-income,W3,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1980,125
Income,Lower middle-income,W3,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1980,24
Income,Lower middle-income,W3,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1980,92
Income,Lower middle-income,W3,Non-Resident,24 - Environmental technology,24,Environmental technology,1980,21
Income,Lower middle-income,W3,Non-Resident,25 - Handling,25,Handling,1980,31
Income,Lower middle-income,W3,Non-Resident,26 - Machine tools,26,Machine tools,1980,21
Income,Lower middle-income,W3,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,25
Income,Lower middle-income,W3,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1980,42
Income,Lower middle-income,W3,Non-Resident,29 - Other special machines,29,Other special machines,1980,74
Income,Lower middle-income,W3,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,36
Income,Lower middle-income,W3,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1980,24
Income,Lower middle-income,W3,Non-Resident,32 - Transport,32,Transport,1980,34
Income,Lower middle-income,W3,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1980,25
Income,Lower middle-income,W3,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1980,24
Income,Lower middle-income,W3,Non-Resident,35 - Civil engineering,35,Civil engineering,1980,75
Income,Low-income,W4,Resident,0 - Unknown,0,Unknown,1980,1
Income,Low-income,W4,Resident,12 - Control,12,Control,1980,1
Income,Low-income,W4,Resident,18 - Food chemistry,18,Food chemistry,1980,1
Income,Low-income,W4,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,2
Income,Low-income,W4,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1980,1
Income,Low-income,W4,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,3
Income,Low-income,W4,Resident,29 - Other special machines,29,Other special machines,1980,1
Income,Low-income,W4,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,2
Income,Low-income,W4,Resident,34 - Other consumer goods,34,Other consumer goods,1980,1
Income,Low-income,W4,Resident,35 - Civil engineering,35,Civil engineering,1980,2
Income,Low-income,W4,Non-Resident,0 - Unknown,0,Unknown,1980,14
Income,Low-income,W4,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1980,15
Income,Low-income,W4,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1980,1
Income,Low-income,W4,Non-Resident,3 - Telecommunications,3,Telecommunications,1980,7
Income,Low-income,W4,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1980,1
Income,Low-income,W4,Non-Resident,6 - Computer technology,6,Computer technology,1980,5
Income,Low-income,W4,Non-Resident,7 - IT methods for management,7,IT methods for management,1980,1
Income,Low-income,W4,Non-Resident,9 - Optics,9,Optics,1980,2
Income,Low-income,W4,Non-Resident,10 - Measurement,10,Measurement,1980,22
Income,Low-income,W4,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1980,1
Income,Low-income,W4,Non-Resident,12 - Control,12,Control,1980,7
Income,Low-income,W4,Non-Resident,13 - Medical technology,13,Medical technology,1980,19
Income,Low-income,W4,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1980,176
Income,Low-income,W4,Non-Resident,15 - Biotechnology,15,Biotechnology,1980,9
Income,Low-income,W4,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1980,69
Income,Low-income,W4,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1980,10
Income,Low-income,W4,Non-Resident,18 - Food chemistry,18,Food chemistry,1980,47
Income,Low-income,W4,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,135
Income,Low-income,W4,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1980,62
Income,Low-income,W4,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1980,15
Income,Low-income,W4,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1980,48
Income,Low-income,W4,Non-Resident,24 - Environmental technology,24,Environmental technology,1980,11
Income,Low-income,W4,Non-Resident,25 - Handling,25,Handling,1980,22
Income,Low-income,W4,Non-Resident,26 - Machine tools,26,Machine tools,1980,14
Income,Low-income,W4,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,15
Income,Low-income,W4,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1980,25
Income,Low-income,W4,Non-Resident,29 - Other special machines,29,Other special machines,1980,58
Income,Low-income,W4,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,23
Income,Low-income,W4,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1980,20
Income,Low-income,W4,Non-Resident,32 - Transport,32,Transport,1980,19
Income,Low-income,W4,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1980,7
Income,Low-income,W4,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1980,15
Income,Low-income,W4,Non-Resident,35 - Civil engineering,35,Civil engineering,1980,72
Income,Upper middle-income,W2,Resident,0 - Unknown,0,Unknown,1980,752
Income,Upper middle-income,W2,Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1980,186
Income,Upper middle-income,W2,Resident,2 - Audio-visual technology,2,Audio-visual technology,1980,53
Income,Upper middle-income,W2,Resident,3 - Telecommunications,3,Telecommunications,1980,25
Income,Upper middle-income,W2,Resident,4 - Digital communication,4,Digital communication,1980,6
Income,Upper middle-income,W2,Resident,5 - Basic communication processes,5,Basic communication processes,1980,42
Income,Upper middle-income,W2,Resident,6 - Computer technology,6,Computer technology,1980,58
Income,Upper middle-income,W2,Resident,8 - Semiconductors,8,Semiconductors,1980,18
Income,Upper middle-income,W2,Resident,9 - Optics,9,Optics,1980,44
Income,Upper middle-income,W2,Resident,10 - Measurement,10,Measurement,1980,268
Income,Upper middle-income,W2,Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1980,18
Income,Upper middle-income,W2,Resident,12 - Control,12,Control,1980,69
Income,Upper middle-income,W2,Resident,13 - Medical technology,13,Medical technology,1980,97
Income,Upper middle-income,W2,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1980,189
Income,Upper middle-income,W2,Resident,15 - Biotechnology,15,Biotechnology,1980,7
Income,Upper middle-income,W2,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1980,70
Income,Upper middle-income,W2,Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1980,123
Income,Upper middle-income,W2,Resident,18 - Food chemistry,18,Food chemistry,1980,83
Income,Upper middle-income,W2,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,69
Income,Upper middle-income,W2,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1980,199
Income,Upper middle-income,W2,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1980,49
Income,Upper middle-income,W2,Resident,23 - Chemical engineering,23,Chemical engineering,1980,138
Income,Upper middle-income,W2,Resident,24 - Environmental technology,24,Environmental technology,1980,46
Income,Upper middle-income,W2,Resident,25 - Handling,25,Handling,1980,162
Income,Upper middle-income,W2,Resident,26 - Machine tools,26,Machine tools,1980,212
Income,Upper middle-income,W2,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,70
Income,Upper middle-income,W2,Resident,28 - Textile and paper machines,28,Textile and paper machines,1980,69
Income,Upper middle-income,W2,Resident,29 - Other special machines,29,Other special machines,1980,196
Income,Upper middle-income,W2,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,78
Income,Upper middle-income,W2,Resident,31 - Mechanical elements,31,Mechanical elements,1980,147
Income,Upper middle-income,W2,Resident,32 - Transport,32,Transport,1980,106
Income,Upper middle-income,W2,Resident,"33 - Furniture, games",33,"Furniture, games",1980,132
Income,Upper middle-income,W2,Resident,34 - Other consumer goods,34,Other consumer goods,1980,99
Income,Upper middle-income,W2,Resident,35 - Civil engineering,35,Civil engineering,1980,235
Income,Upper middle-income,W2,Non-Resident,0 - Unknown,0,Unknown,1980,1054
Income,Upper middle-income,W2,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1980,441
Income,Upper middle-income,W2,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1980,91
Income,Upper middle-income,W2,Non-Resident,3 - Telecommunications,3,Telecommunications,1980,85
Income,Upper middle-income,W2,Non-Resident,4 - Digital communication,4,Digital communication,1980,25
Income,Upper middle-income,W2,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1980,76
Income,Upper middle-income,W2,Non-Resident,6 - Computer technology,6,Computer technology,1980,58
Income,Upper middle-income,W2,Non-Resident,7 - IT methods for management,7,IT methods for management,1980,3
Income,Upper middle-income,W2,Non-Resident,8 - Semiconductors,8,Semiconductors,1980,35
Income,Upper middle-income,W2,Non-Resident,9 - Optics,9,Optics,1980,84
Income,Upper middle-income,W2,Non-Resident,10 - Measurement,10,Measurement,1980,257
Income,Upper middle-income,W2,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1980,40
Income,Upper middle-income,W2,Non-Resident,12 - Control,12,Control,1980,71
Income,Upper middle-income,W2,Non-Resident,13 - Medical technology,13,Medical technology,1980,220
Income,Upper middle-income,W2,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1980,1578
Income,Upper middle-income,W2,Non-Resident,15 - Biotechnology,15,Biotechnology,1980,122
Income,Upper middle-income,W2,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1980,714
Income,Upper middle-income,W2,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1980,384
Income,Upper middle-income,W2,Non-Resident,18 - Food chemistry,18,Food chemistry,1980,209
Income,Upper middle-income,W2,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1980,924
Income,Upper middle-income,W2,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1980,514
Income,Upper middle-income,W2,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1980,194
Income,Upper middle-income,W2,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1980,585
Income,Upper middle-income,W2,Non-Resident,24 - Environmental technology,24,Environmental technology,1980,158
Income,Upper middle-income,W2,Non-Resident,25 - Handling,25,Handling,1980,442
Income,Upper middle-income,W2,Non-Resident,26 - Machine tools,26,Machine tools,1980,360
Income,Upper middle-income,W2,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1980,277
Income,Upper middle-income,W2,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1980,321
Income,Upper middle-income,W2,Non-Resident,29 - Other special machines,29,Other special machines,1980,612
Income,Upper middle-income,W2,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1980,218
Income,Upper middle-income,W2,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1980,475
Income,Upper middle-income,W2,Non-Resident,32 - Transport,32,Transport,1980,449
Income,Upper middle-income,W2,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1980,127
Income,Upper middle-income,W2,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1980,203
Income,Upper middle-income,W2,Non-Resident,35 - Civil engineering,35,Civil engineering,1980,525
Income,High-income,W1,Resident,0 - Unknown,0,Unknown,1981,2039
Income,High-income,W1,Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1981,5291
Income,High-income,W1,Resident,2 - Audio-visual technology,2,Audio-visual technology,1981,1636
Income,High-income,W1,Resident,3 - Telecommunications,3,Telecommunications,1981,1330
Income,High-income,W1,Resident,4 - Digital communication,4,Digital communication,1981,282
Income,High-income,W1,Resident,5 - Basic communication processes,5,Basic communication processes,1981,1130
Income,High-income,W1,Resident,6 - Computer technology,6,Computer technology,1981,1054
Income,High-income,W1,Resident,7 - IT methods for management,7,IT methods for management,1981,19
Income,High-income,W1,Resident,8 - Semiconductors,8,Semiconductors,1981,808
Income,High-income,W1,Resident,9 - Optics,9,Optics,1981,2145
Income,High-income,W1,Resident,10 - Measurement,10,Measurement,1981,4121
Income,High-income,W1,Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1981,350
Income,High-income,W1,Resident,12 - Control,12,Control,1981,1346
Income,High-income,W1,Resident,13 - Medical technology,13,Medical technology,1981,2091
Income,High-income,W1,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1981,4238
Income,High-income,W1,Resident,15 - Biotechnology,15,Biotechnology,1981,589
Income,High-income,W1,Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1981,931
Income,High-income,W1,Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1981,2293
Income,High-income,W1,Resident,18 - Food chemistry,18,Food chemistry,1981,876
Income,High-income,W1,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1981,3066
Income,High-income,W1,Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1981,2413
Income,High-income,W1,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1981,1345
Income,High-income,W1,Resident,23 - Chemical engineering,23,Chemical engineering,1981,2990
Income,High-income,W1,Resident,24 - Environmental technology,24,Environmental technology,1981,1198
Income,High-income,W1,Resident,25 - Handling,25,Handling,1981,3548
Income,High-income,W1,Resident,26 - Machine tools,26,Machine tools,1981,3426
Income,High-income,W1,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1981,2489
Income,High-income,W1,Resident,28 - Textile and paper machines,28,Textile and paper machines,1981,2264
Income,High-income,W1,Resident,29 - Other special machines,29,Other special machines,1981,4196
Income,High-income,W1,Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1981,2208
Income,High-income,W1,Resident,31 - Mechanical elements,31,Mechanical elements,1981,3597
Income,High-income,W1,Resident,32 - Transport,32,Transport,1981,3669
Income,High-income,W1,Resident,"33 - Furniture, games",33,"Furniture, games",1981,2289
Income,High-income,W1,Resident,34 - Other consumer goods,34,Other consumer goods,1981,1995
Income,High-income,W1,Resident,35 - Civil engineering,35,Civil engineering,1981,4411
Income,High-income,W1,Non-Resident,0 - Unknown,0,Unknown,1981,3460
Income,High-income,W1,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1981,9220
Income,High-income,W1,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1981,3542
Income,High-income,W1,Non-Resident,3 - Telecommunications,3,Telecommunications,1981,2007
Income,High-income,W1,Non-Resident,4 - Digital communication,4,Digital communication,1981,477
Income,High-income,W1,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1981,1778
Income,High-income,W1,Non-Resident,6 - Computer technology,6,Computer technology,1981,1868
Income,High-income,W1,Non-Resident,7 - IT methods for management,7,IT methods for management,1981,40
Income,High-income,W1,Non-Resident,8 - Semiconductors,8,Semiconductors,1981,1294
Income,High-income,W1,Non-Resident,9 - Optics,9,Optics,1981,4608
Income,High-income,W1,Non-Resident,10 - Measurement,10,Measurement,1981,5881
Income,High-income,W1,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1981,710
Income,High-income,W1,Non-Resident,12 - Control,12,Control,1981,1943
Income,High-income,W1,Non-Resident,13 - Medical technology,13,Medical technology,1981,3265
Income,High-income,W1,Non-Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1981,11294
Income,High-income,W1,Non-Resident,15 - Biotechnology,15,Biotechnology,1981,1438
Income,High-income,W1,Non-Resident,16 - Pharmaceuticals,16,Pharmaceuticals,1981,4606
Income,High-income,W1,Non-Resident,"17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers",1981,5227
Income,High-income,W1,Non-Resident,18 - Food chemistry,18,Food chemistry,1981,1928
Income,High-income,W1,Non-Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1981,6880
Income,High-income,W1,Non-Resident,"20 - Materials, metallurgy",20,"Materials, metallurgy",1981,6066
Income,High-income,W1,Non-Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1981,2766
Income,High-income,W1,Non-Resident,23 - Chemical engineering,23,Chemical engineering,1981,6417
Income,High-income,W1,Non-Resident,24 - Environmental technology,24,Environmental technology,1981,2196
Income,High-income,W1,Non-Resident,25 - Handling,25,Handling,1981,6102
Income,High-income,W1,Non-Resident,26 - Machine tools,26,Machine tools,1981,5990
Income,High-income,W1,Non-Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1981,5096
Income,High-income,W1,Non-Resident,28 - Textile and paper machines,28,Textile and paper machines,1981,6159
Income,High-income,W1,Non-Resident,29 - Other special machines,29,Other special machines,1981,7631
Income,High-income,W1,Non-Resident,30 - Thermal processes and apparatus,30,Thermal processes and apparatus,1981,3332
Income,High-income,W1,Non-Resident,31 - Mechanical elements,31,Mechanical elements,1981,6671
Income,High-income,W1,Non-Resident,32 - Transport,32,Transport,1981,6040
Income,High-income,W1,Non-Resident,"33 - Furniture, games",33,"Furniture, games",1981,2980
Income,High-income,W1,Non-Resident,34 - Other consumer goods,34,Other consumer goods,1981,3250
Income,High-income,W1,Non-Resident,35 - Civil engineering,35,Civil engineering,1981,6408
Income,Lower middle-income,W3,Resident,0 - Unknown,0,Unknown,1981,34
Income,Lower middle-income,W3,Resident,14 - Organic fine chemistry,14,Organic fine chemistry,1981,3
Income,Lower middle-income,W3,Resident,19 - Basic materials chemistry,19,Basic materials chemistry,1981,1
Income,Lower middle-income,W3,Resident,"21 - Surface technology, coating",21,"Surface technology, coating",1981,1
Income,Lower middle-income,W3,Resident,24 - Environmental technology,24,Environmental technology,1981,1
Income,Lower middle-income,W3,Resident,"27 - Engines, pumps, turbines",27,"Engines, pumps, turbines",1981,2
Income,Lower middle-income,W3,Resident,29 - Other special machines,29,Other special machines,1981,1
Income,Lower middle-income,W3,Resident,"33 - Furniture, games",33,"Furniture, games",1981,3
Income,Lower middle-income,W3,Resident,34 - Other consumer goods,34,Other consumer goods,1981,1
Income,Lower middle-income,W3,Resident,35 - Civil engineering,35,Civil engineering,1981,1
Income,Lower middle-income,W3,Non-Resident,0 - Unknown,0,Unknown,1981,109
Income,Lower middle-income,W3,Non-Resident,"1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy",1981,22
Income,Lower middle-income,W3,Non-Resident,2 - Audio-visual technology,2,Audio-visual technology,1981,6
Income,Lower middle-income,W3,Non-Resident,3 - Telecommunications,3,Telecommunications,1981,11
Income,Lower middle-income,W3,Non-Resident,4 - Digital communication,4,Digital communication,1981,2
Income,Lower middle-income,W3,Non-Resident,5 - Basic communication processes,5,Basic communication processes,1981,2
Income,Lower middle-income,W3,Non-Resident,6 - Computer technology,6,Computer technology,1981,8
Income,Lower middle-income,W3,Non-Resident,7 - IT methods for management,7,IT methods for management,1981,1
Income,Lower middle-income,W3,Non-Resident,8 - Semiconductors,8,Semiconductors,1981,1
Income,Lower middle-income,W3,Non-Resident,9 - Optics,9,Optics,1981,5
Income,Lower middle-income,W3,Non-Resident,10 - Measurement,10,Measurement,1981,18
Income,Lower middle-income,W3,Non-Resident,11 - Analysis of biological materials,11,Analysis of biological materials,1981,4
Income,Lower middle-income,W3,Non-Resident,12 - Control,12,Control,1981,5
