Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
FOOD SLICING APPARATUS FOR A FOOD PROCESSING LINE,WO2004071723 (A2); WO2004071723 (A3),26/08/2004,FREUDINGER MARK J;  WHITE DAVID J,QUANTUM TECHNICAL SERVICES INCâ€‚[US],B26D1/46; B26D1/48; B26D1/54; B26D3/28; B26D7/06; B26D,B26D1/46; B26D1/48; B26D1/54; B26D3/28; B26D7/0641; Y10T74/2107,WO2004US02446,20040128,US20030357737 20030204,,,,,,,,,,,US3760175 (A); US5121677 (A); US4580476 (A); US3683985 (A),,,
PIZZA AND CRUST HAVING AN IRREGULAR EDGE,WO2004066736 (A1),12/08/2004,WALTER SHELLY;  PAFKO WAYNE M;  MORAD MOHAMED M,SCHWAN S FOOD MFG INCâ€‚[US],A21C9/04; A21D8/02; A21D13/00; A21D13/00; A21D8/02,A21D13/007; A21C9/04; A21D8/02,WO2004US01467,20040121,US20030354896 20030129; US20040758296 20040115; US20030732173 20031209,,,,,,,,,,,US5989603 (A); EP0691078 (A2); US5117749 (A); US5865107 (A); US6156356 (A); US4978544 (A); GB2284738 (A); US2002076474 (A1); DE10012697 (A1); US2002197360 (A1); US2003003211 (A1); US2002090422 (A1); WO03022060 (A1); WO03022059 (A2),,,
High speed cooking device and method,US7424848 (B2); US2005109216 (A1),26/05/2005,JONES DOUGLAS Sâ€‚[US];  DAY WILLIAM JRâ€‚[US];  HARTER DAVIDâ€‚[US];  SANK GERALD Wâ€‚[US],LINCOLN FOODSERVICE,A21B1/14; A21B1/24; A21B1/26; A21B1/48; A21B2/00; A23L1/01; A47J37/08; F24C15/32; A47J37/08,A21B1/245; A23L1/0135; A47J37/0857,US20040981241,20041104,US20040981241 20041104; US19990147119P 19990804; US20000632417 20000804; US20020167335 20020611,US5134263 (A),,,,,,,,US3736860 (A); US4556043 (A); US4569658 (A); US4591333 (A); US4739154 (A); US4753215 (A); US4873107 (A); US4951648 (A); US5033366 (A); US5077072 (A); US5239917 (A); US5983785 (A); US6192877 (B1); DE4239620 (A1); WO0110275 (A1),,,,,
PACKAGING FOR INDIVIDUALLY MICROWAVEABLE PORTIONS OF FOOD ITEMS,US6534755 (B1); US2003066831 (A1),10/04/2003,PAULUCCI JENO Fâ€‚[US],"PAULUCCI JENO F, ; SELF SERVE FOODS, INC",B65D77/04; B65D81/34; H05B6/80,B65D77/0433; B65D81/3453; B65D2581/3406; B65D2581/3498; Y10S99/14,US20010974146,20011009,US20010974146 20011009,US4339041 (A); US4911938 (A); US5106635 (A); US5214257 (A); US5270066 (A); US6168812 (B1),,,,,,,,US3771713 (A); US4891482 (A); US5098013 (A); US5445314 (A); US5585027 (A),,,,,
Shredded food products and methods of producing and applying shredded food products,US2005123663 (A1),09/06/2005,WHITE ROBERT Dâ€‚[US];  DHRUV ASHOK Sâ€‚[US];  PRINS TIMOTHY Gâ€‚[US];  BELVILLE DAVID Lâ€‚[US];  D AMICO WILLIAMâ€‚[US];  KERMODE KEVIN Tâ€‚[US];  BOMBIK RUSSELL Câ€‚[US],"WHITE ROBERT D, ; DHRUV ASHOK S, ; PRINS TIMOTHY G, ; BELVILLE DAVID L, ; D'AMICO WILLIAM, ; KERMODE KEVIN T, ; BOMBIK RUSSELL C",A01J21/02; A01J27/04; A21C9/04; A21D13/00; A23L1/00; A01J1/00,A21D13/007; A01J21/02; A01J27/04; A21C9/04; A23L1/0076; A23C2250/15,US20040970022,20041021,US20030513145P 20031021; US20040970022 20041021,,,,,,,,,,,,,,
Dual pizza pie container system,US6851601 (B1),08/02/2005,MONTOYA JUAN Fâ€‚[US],MONTOYA JUAN F,B65D5/49; B65D5/49,B65D5/6664; B65D5/5038; B65D85/36; B65D2585/366; Y10S229/906,US20010954970,20010919,US20010954970 20010919,US2758774 (A); US2850224 (A); US3291367 (A); US4441626 (A); US4836383 (A); US4957237 (A); US5002221 (A); US5209392 (A); US5351880 (A); US5445314 (A); US5950912 (A); US6386440 (B1),,,,,,,,,,,,,
Raw dough or baked product that can be prepared in an oven or microwave oven in the form of a pizza slice with an enclosed filling that is covered with a crust,US2003049353 (A1),13/03/2003,LAUEN STACEY Mâ€‚[US];  RETTEY DAVID Câ€‚[US],SCHWAN S SALES ENTPR INCâ€‚[US],A21D10/02; A21D13/00; A21D15/00; B65D5/02; B65D5/04; B65D81/34; A23G3/00,A21D13/0022; A21D10/025; A21D13/007; A21D15/00; B65D5/029; B65D5/04; B65D81/343; B65D81/3453; B65D2205/02; B65D2581/3406; B65D2581/3494,US20010952716,20010912,US20010952716 20010912,,,,,,,,,,,,,,
Material-saving food carton,US2003047593 (A1); US6547125 (B2),13/03/2003,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/66; B65D85/36; B65D5/20,B65D5/6664; B65D5/2033; B65D5/2047; B65D5/2057; B65D2585/366; Y10S229/906,US20010950112,20010910,US20010950112 20010910,US2076018 (A); US3063617 (A); US5125566 (A); US5199636 (A); US5402929 (A); US5452845 (A); US5921466 (A); US6065669 (A); US6092715 (A); US6223979 (B1),,,,,,,,US917347 (A); US1141076 (A); US2072753 (A); US3253769 (A); US3361329 (A); US4339068 (A); US4765534 (A); US4804136 (A); US5000374 (A); US5305951 (A); US5603450 (A); US5669552 (A); US5702054 (A),,,,,
Self-rising sheeted dough,US2003049359 (A1),13/03/2003,KULKARNI RAJENDRA Gâ€‚[US];  SMITH CHERYL Aâ€‚[US],"KULKARNI RAJENDRA G, ; SMITH CHERYL A",A21D6/00; A21D10/02; A21D13/00; A21D2/00,A21D13/007; A21D6/001; A21D10/02,US20010946548,20010906,US20010946548 20010906,,,,,,,,,,,,,,
Carrier and method,US7604115 (B2); US2005035009 (A1),17/02/2005,CUOMO ANGELO Vâ€‚[US],"CUOMO ANGELO V, ; SJV FOOD & BEVERAGE CARRIERS, INC",B65D71/56; B65D71/68; B65D71/72; B65D75/00,B65D71/72; B65D71/0014; B65D71/0077; B65D2571/00141; B65D2571/0029; B65D2571/00302; B65D2571/00339; B65D2571/0037; B65D2571/00487; B65D2571/0066; B65D2571/00666; B65D2571/00728; B65D2571/0079; B65D2571/00802; B65D2571/00932; B65D2571/00981,US20040939264,20040910,US20030737612 20031216; US20030662265 20030915; US20020213938 20020806; US20040939264 20040910,US4770294 (A); US5709298 (A); US5927502 (A),,,,,,,,US952302 (A); US962607 (A); US982919 (A); US1223202 (A); US2026525 (A); US2264290 (A); US2319380 (A); US2330699 (A); US2339176 (A); US2373851 (A); US2405517 (A); US2453908 (A); US2594376 (A); US2630264 (A); US2528484 (A); US2759629 (A); US2828047 (A); US2850223 (A); US2991908 (A); US3123213 (A); US3140036 (A); US3222959 (A); US3266663 (A); US3547339 (A); US3565323 (A); US3576274 (A); US3661417 (A); US3744704 (A); US3780906 (A); US3868140 (A); US3958744 (A); US4047610 (A); US4053099 (A); US4089457 (A); US4155502 (A); US4205748 (A); US4620644 (A); US4744613 (A); US4798285 (A); US4852731 (A); US4895256 (A); US4969595 (A); US5052552 (A); US5234103 (A); US5249700 (A); US5320216 (A); US5332091 (A); US5337947 (A); US5415277 (A); US5423420 (A); USD367409S (S); US5501338 (A); US5524814 (A); US5609379 (A); US5611425 (A); US5624024 (A); US5645162 (A); US5695051 (A); US5738217 (A); US5765648 (A); US5788081 (A); US5797486 (A); US5803264 (A); US5813540 (A); US5816405 (A); US5833056 (A); US5884756 (A); US5927593 (A); US5957276 (A); US5975287 (A); US6000536 (A); US6168013 (B1); US6202836 (B1); US6230881 (B1); US6341689 (B1); US6443308 (B1); US6598739 (B1); US2002179459 (A1); US2003213705 (A1),,,,,
Drywall bazooka for application of flexible corner bead,US2005055981 (A1); US7325582 (B2),17/03/2005,SMYTHE TIMOTHYâ€‚[US];  WAMBAUGH DOUGLASSâ€‚[US],"SMYTHE TIMOTHY, ; WAMBAUGH DOUGLASS",E04F21/00; E04B1/00; E04B5/00; E04B7/00,E04F21/00; E04F21/165; Y10T156/1365; Y10T156/1795; Y10T156/18,US20040933150,20040902,US20040933150 20040902; US20030499798P 20030903,US2929089 (A); US3540104 (A); US4196028 (A); US4197624 (A); US4358337 (A); US4406730 (A); US4707202 (A); US4750968 (A); US6413606 (B1); US6540002 (B1); US6907908 (B1); US2006219366 (A1); GB2346406 (A),,,,,,,,US4086121 (A); US4828647 (A); US6513562 (B1),,,,,
Apparatus for use with pizza dough,US2003031831 (A1),13/02/2003,DONARUMIA ANTHONYâ€‚[US],DONARUMIA ANTHONY,A21C11/00; B32B3/00,A21C11/00; Y10T428/24479,US20010923219,20010807,US20010923219 20010807,,,,,,,,,,,,,,
Method for presentation and service of food or treats for companions,US2005031740 (A1),10/02/2005,WEIGERT RENEEâ€‚[US],WEIGERT RENEE,A01K1/01; A01K15/02; A23K1/18; A21D8/00,A01K15/025; A01K1/0107; A23K1/1846,US20040913113,20040806,US20040913113 20040806; US20030481193P 20030807; US20030515799P 20031030,,,,,,,,,,,,,,
Phone appliance with display screen and methods of using the same,US2005063525 (A1); US7376222 (B2),24/03/2005,LIN CHING YIâ€‚[US],LIN CHING YI,G06Q30/00; H04L29/08; H04M1/247; H04M1/253; H04M3/487; H04M3/493; H04M7/00; H04L12/58; H04M3/42; H04M3/22,H04L67/34; H04L67/22; G06Q30/02; H04M1/2471; H04M1/2473; H04M1/2478; H04M1/2535; H04M15/56; H04M15/83; H04M15/84; H04L69/329; H04L12/58; H04M2201/38; H04M2207/203; H04M2215/202; H04M2215/81; H04M2215/8129; H04M2250/22; H04M1/00,US20040909680,20040802,US20040909680 20040802; US20010896593 20010629; US20000214913P 20000629,US6552825 (B1); US6643283 (B2); US6744759 (B1); US7076434 (B1); US2001040621 (A1); JPH08263409 (A),,,,,,,,,,,,,
Patterned microwave susceptor,US7022959 (B2); US2005061808 (A1),24/03/2005,COLE LORIN Râ€‚[US];  LAFFERTY TERRENCE Pâ€‚[US],"COLE LORIN R, ; LAFFERTY TERRENCE P, ; GRAPHIC PACKAGING INTERNATIONAL, INC",H05B6/74; B65D81/34; H05B6/80,B65D81/3446; H05B6/6494; B65D2581/3406; B65D2581/344; B65D2581/3467; B65D2581/3472; B65D2581/3494,US20040889976,20040712,US20040889976 20040712; US20020119540 20020409; US19980044576 19980319,US5177332 (A); US5254821 (A); US5278378 (A); US5352465 (A); US5585027 (A); US6251451 (B1); US6765182 (B1),,,,,,,,US3662139 (A); US4398994 (A); US4552614 (A); US4883936 (A); US4896009 (A); US4927991 (A); US5038009 (A); US5079397 (A); US5213902 (A); US5220143 (A); US5239153 (A); US5391864 (A); US5466917 (A); US5530231 (A); US6133560 (A); US6414290 (B1); WO9309945 (A1); WO9835887 (A1),,,,,
Pizza box,US2005011939 (A1),20/01/2005,ANGELOPOULOS EVANGELOSâ€‚[US];  MOSCHETTA DOLORESâ€‚[US],"ANGELOPOULOS EVANGELOS, ; MOSCHETTA DOLORES",B65D5/20; B65D5/30; B65D5/66; B65D85/36; B26D5/42; B65D43/08,B65D5/6652; B65D5/2057; B65D5/305; B65D2585/366,US20040889835,20040713,US20040889835 20040713; US20030487171P 20030714; US20040539943P 20040129,,,,,,,,,,,,,,
Switching device for gas operated appliance,US2005023115 (A1); US6992258 (B2),03/02/2005,VIEIRA MANUELâ€‚[CA],VIEIRA MANUEL,F24C3/12; H01H43/10; H01H7/08,H01H43/10; F24C3/128,US20040884206,20040702,CA20032434697 20030707,US3358121 (A); US4756336 (A); US4783600 (A); US6354172 (B1); US6755213 (B1); US2003154970 (A1); US2005063132 (A1),,,,,,,,US5464953 (A); US5813320 (A); US5927598 (A); US6041768 (A),,,,,
Rapidly disintegrating flavored film for precooked foods,US6660292 (B2); US2003044511 (A1),06/03/2003,ZERBE HORST Gâ€‚[CA];  AL-KHALIL FADIAâ€‚[US],"ZERBE HORST G, ; AL-KHALIL FADIA, ; HF FLAVORING TECHNOLOGY LLP",A23L1/00; A23L1/0522; A23L1/0534; A23L1/09; A23L1/22; A23L1/226; A23P1/08; A61K47/00; A23L1/221,A23P1/086; A23L1/0067; A23L1/05223; A23L1/0534; A23L1/095; A23L1/2205; A23V2002/00; Y10S514/974; Y10S514/953; A23V2002/00; A23V2250/51086; A23V2250/5114; A23V2250/6406; A23V2200/16; A23V2002/00; A23V2250/51086; A23V2250/5118; A23V2200/16,US20010884112,20010619,US20010884112 20010619,US5470581 (A); US5948430 (A),,,,,,,,US3753732 (A); US4136145 (A); US4136162 (A); US4713239 (A); US4842854 (A); USRE33093E (E); US4921695 (A); US4925670 (A); US5234957 (A); US5332576 (A); US5354551 (A); US5446070 (A); US5462749 (A); US5700478 (A); AU601478 (A); AU7549696 (A); DE2148159 (A); EP0109269 (A1); EP0273069 (A1); EP0452446 (A1); GB853378 (A); GB2048642 (A); WO9820862 (A1),,,,,
Device for removing grease from the surface of a food item,US6578285 (B2); US2003041469 (A1),06/03/2003,TURTZO BRIAN Gâ€‚[US],TURTZO BRIAN G,A21C15/00; F26B19/00,A21C15/00,US20010881539,20010614,US20010881539 20010614,US3784998 (A); US4455705 (A); US4925453 (A); US4975999 (A); US5159735 (A); US5230119 (A); US5240339 (A); US5528791 (A); US5960509 (A); US6044515 (A); US6101661 (A); US6311361 (B1),,,,,,,,,,,,,
Enhanced user display for use in a restaurant kitchen,US2005021407 (A1),27/01/2005,KARGMAN JAMES Bâ€‚[US],KARGMAN JAMES B,G06F3/048; G07G1/01; G07G1/12; G06F17/60,G06F3/0482; G07G1/01; G07G1/12; G06Q50/12,US20040873862,20040621,US20040873862 20040621; US20030480268P 20030620,,,,,,,,,,,,,,
Package for heating a food product,US2004232213 (A1),25/11/2004,POPE SIMONâ€‚[GB],MCCAIN FOODS LTDâ€‚[CA],B65D81/34; B65D85/36; B65D5/00,B65D81/343; B65D85/36; B65D81/3453; B65D2205/02; B65D2581/3406; B65D2581/3456; B65D2585/366; Y10S220/913; Y10S220/912,US20040869193,20040616,US20040869193 20040616; GB20000009881 20000420; GB20000029104 20001129; US20020149128 20020605,,,,,,,,,,,,,,
Kitchen organizer,US2005279725 (A1),22/12/2005,SHELDON JANICE Pâ€‚[US];  SHELDON DAVID Lâ€‚[US],,A47F7/00; A47J47/16; A47F7/00,A47J47/16,US20040869142,20040616,US20040869142 20040616,,,,,,,,,,,,,,
Formulation providing a low carbohydrate cereal based system including a novel dough and a pizza crust or bread product having open cell structure,US2005276896 (A1),15/12/2005,SADEK NAGWA Zâ€‚[US];  MORAD MOHAMED Mâ€‚[US];  RETTEY DAVID Câ€‚[US];  SINGH BHAJMOHANâ€‚[US],,A21D2/18; A21D2/26; A21D13/06; A23L1/28; A23L1/28,A21D13/06; A21D2/186; A21D2/188; A21D2/26,US20040868190,20040614,US20040868190 20040614,,,,,,,,,,,,,,
Deep dish pizza crust,US2004265438 (A1),30/12/2004,LAMP MARY Aâ€‚[US];  FORNECK KEITHâ€‚[US];  PAULOS WILLIAM Tâ€‚[US],KRAFT FOOD HOLDINGS INCâ€‚[US],A21C11/00; A21D10/02; A21D13/00; A21D15/00; B65D5/28; B65D5/42; B65D77/04; B65D85/36; A23B4/00,A21D13/007; A21C11/004; A21D10/02; A21D10/025; A21D15/00; B65D5/28; B65D5/42; B65D77/0413; B65D77/042; B65D2585/366,US20040864554,20040609,US20040864554 20040609; US19990134569P 19990517; US20000572808 20000517; US20020042964 20020108,,,,,,,,,,,,,,
Worktop for pizzerias,US2004250740 (A1),16/12/2004,SCAIOLI RICCARDOâ€‚[IT],SCAIOLI RICCARDO,A21C11/00; A47B77/02; A47B96/18; A47B17/00,A47B96/18; A47B77/022,US20040861022,20040604,IT2003PD00131 20030612,,,,,,,,,,,,,,
"Method and apparatus for ordering food items, and in particular, pizza",US2005015256 (A1),20/01/2005,KARGMAN JAMES Bâ€‚[US],KARGMAN JAMES B,G10L15/00; G10L15/00,G06Q30/06; G06Q50/12; G10L15/22,US20040856234,20040528,US20040856234 20040528; US20030474036P 20030529,,,,,,,,,,,,,,
Food serving utensil,US2005011074 (A1),20/01/2005,MOUNCE DANNY Aâ€‚[US],MOUNCE DANNY A,A47G21/04; A47G19/00,A47G21/045,US20040852673,20040524,US20040852673 20040524; US20030476305P 20030606,,,,,,,,,,,,,,
Pizza storage device,US6629607 (B1),07/10/2003,GIBSON DANIELLEâ€‚[US],GIBSON DANIELLE,A45C11/20; A45C11/20,A45C11/20; Y10S229/906,US20010849416,20010504,US20010849416 20010504,US3238004 (A); US3730418 (A); US4492333 (A); US4607784 (A); US4971220 (A),,,,,,,,US2446629 (A); US2506256 (A); US2525337 (A); US2789608 (A); US5076437 (A); USD336589S (S),,,,,
Heated delivery system,US7034254 (B2); US2005252904 (A1),17/11/2005,GRABOWSKI BRIAN Mâ€‚[US];  ATREYAPURAPU RAOâ€‚[US],THE SCOTT FETZER COMPANY,A21B1/00; A47J47/14; F24C7/10; A21B1/00,A47J47/145; F24C7/10,US20040842981,20040511,US20040842981 20040511,US3231718 (A); US4134004 (A); US4374312 (A); US4816646 (A); US4982722 (A); US5454471 (A); US5750962 (A); US5880435 (A); US5884006 (A); US6019143 (A); US6150635 (A); US6281477 (B1); US6415501 (B1); US6433313 (B1),,,,,,,,US1377092 (A); US1683889 (A); US2577870 (A); US3051582 (A); US3521030 (A); US3608627 (A); US3721799 (A); US3721803 (A); US3746873 (A); US4429216 (A); US4578814 (A); US4700054 (A); US4983814 (A); US5404808 (A); US5824996 (A); US5837971 (A); US5954984 (A); US6018143 (A); US6057530 (A); USD430993S (S); US6121578 (A); US6169270 (B1); US6222160 (B1); USD441613S (S1); US6229123 (B1); US6232585 (B1); USD443171S (S1); US6248981 (B1); US6300599 (B1); US6329644 (B1); US6353208 (B1); US6369369 (B1); US6384387 (B1); US6403935 (B1); US6452138 (B1); US6486443 (B1); US6489595 (B1); US6563094 (B1); FR2521408 (A1); GB2056264 (A),,,,,
Signal light for attracting deliveries,US2004218382 (A1); US6883930 (B2),04/11/2004,SABAN ALEXâ€‚[US];  LAFON NED Fâ€‚[US],"SABAN ALEX, ; LAFON NED F, ; METALEX CORPORATION",G09F19/00; F21L2/00,G09F19/00,US20040831831,20040426,US20030466694P 20030429; US20040831831 20040426,US4161018 (A); US6530679 (B1); US6533436 (B2),,,,,,,,US4611265 (A); US4686505 (A); US4839630 (A); US5103581 (A); US5893626 (A); US6000811 (A); US6098326 (A); US2002070929 (A1),,,,,
Intelligent user interface for new cooking technologies,US2005218139 (A1),06/10/2005,CAVADA LUISâ€‚[US];  NORIEGA ALVARO Vâ€‚[MX];  VILBRANDT VICTORIAâ€‚[US],HP INTELLECTUAL CORP,A47J27/62; A47J37/06; F24C1/02; F24C7/08; H05B1/02; H05B6/66; H05B1/02; H05B6/66,A47J37/0635; A47J27/62; F24C7/082,US20040815098,20040331,US20040815098 20040331,,,,,,,,,,,,,,
Method and apparatus for specifying toppings and their placement on a pizza and confirming same,US2005049922 (A1),03/03/2005,KARGMAN JAMES Bâ€‚[US],IPDEV COâ€‚[US],G07F9/02; G07F9/10; G07F11/70; G06F17/60,G06Q50/12; G07F9/02; G07F9/105; G07F11/70; G07F17/0078,US20040807783,20040324,US20040807783 20040324; US20030457028P 20030324,,,,,,,,,,,,,,
Shelving to hold pizza cartons,US2004188365 (A1),30/09/2004,FORTE ANTONIOâ€‚[IT],FORTE ANTONIO,A47F1/08; A47F7/00,A47F1/08,US20040800889,20040315,IT2003GE00009U 20030325; IT2003GE00016U 20030613,,,,,,,,,,,,,,
Air impingement conveyor over,US6833533 (B1),21/12/2004,WOLFE GARY Lâ€‚[US];  WOLFE RONALD Dâ€‚[US];  WOLFE DWANE Dâ€‚[US],WOLFE ELECTRIC INCâ€‚[US],A21B1/24; F24C15/32; F27B9/10; A21B1/26; A21B1/48; F27B9/36,A21B1/245,US20040800060,20040312,US20040800060 20040312,US4462383 (A); US4474498 (A); US5421316 (A); US5423248 (A); US5717192 (A); US6049066 (A); US6707010 (B2),,,,,,,,,,,,,
Material-saving pizza carton,US2004222278 (A1),11/11/2004,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/66; B65D85/36; B65D5/00,B65D5/2033; B65D5/2047; B65D5/2057; B65D5/6664; B65D2301/10; B65D2585/366,US20040799541,20040311,US20030431984 20030508; US20040799541 20040311,,,,,,,,,,,,,,
Box games and activities,US2005075032 (A1); US6991508 (B2),07/04/2005,MCCLUNG JOHN MICHAELâ€‚[US];  MCCLUNG KAREN THERESEâ€‚[US];  MCCLUNG GUY Lâ€‚[US];  MCCLUNG ELIZABETH Mâ€‚[US];  MCCLUNG SARAH Tâ€‚[US],"MCCLUNG JOHN MICHAEL, ; MCCLUNG KAREN THERESE, ; MCCLUNG GUY L, ; MCCLUNG ELIZABETH M, ; MCCLUNG SARAH T",A63B67/00; A63H33/18; A63H27/00; F41J1/00,A63H33/18; A63B67/00; B65D81/36,US20040784543,20040223,US20010953094 20010914; US20010871170 20010531; US20040784543 20040223,US6585551 (B2); US6755711 (B2),,,,,,,,US669617 (A); US1029069 (A); US1518981 (A); US2032531 (A); US2083000 (A); US2134971 (A); US2197451 (A); US2636312 (A); US2744355 (A); US3100642 (A); US3155392 (A); US3233356 (A); USD209526S (S); US3359678 (A); US3971156 (A); US4087576 (A); US4112612 (A); USD253659S (S); US4207702 (A); US4648548 (A); US4891482 (A); US4919083 (A); US4919326 (A); US5020808 (A); US5173070 (A); US5222657 (A); US5246161 (A); US5358440 (A); US5480334 (A); US5531624 (A); US5540610 (A); US5553327 (A); US5586716 (A); US5595339 (A); US5655944 (A); US5657562 (A); USD388134S (S); US5702054 (A); US5713509 (A); US5833130 (A); US6016951 (A); USD420583S (S); US6022260 (A); US6065669 (A); US6068114 (A); US6120344 (A); US6136400 (A); US6206277 (B1),,,,,
Material-saving pizza box and blank,US2004222277 (A1),11/11/2004,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/66; B65D85/36; B65D5/00,B65D5/6664; B65D5/2033; B65D5/2047; B65D5/2057; B65D2301/10; B65D2585/366,US20040784381,20040223,US20030431984 20030508; US20040784381 20040223,,,,,,,,,,,,,,
Method and apparatus for cooking a pizza,US2005175753 (A1),11/08/2005,SMITH RAYMONDâ€‚[GB],SMITH RAYMOND,A21B3/15; A47J37/01; A21D6/00,A47J37/01; A21B3/15,US20040776993,20040210,GB20010022563 20010918; GB20020000092 20020104; EP20030250812 20030210; GB20010019494 20010810; US20040776993 20040210,,,,,,,,,,,,,,
