Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
COMPOSITION FOR TREATMENT OF PANCREATIC CANCER AND FUNCTIONAL FOOD COMPRISING EXTRACT OF CANNABIS SEMEN,KR20120111126 (A),10/10/2012,HWANG SUNG YEOUNâ€‚[KR];  JEONG KYUNG CHAEâ€‚[KR],KOREA BIO MEDICAL SCIENCE INSTâ€‚[KR];  HWANG SUNG YEOUNâ€‚[KR];  JEONG KYUNG CHAEâ€‚[KR],A61K36/185; A61P35/00,,KR20110029448,20110331,KR20110029448 20110331,,,,,,,,,,,,,,
OVEN BAKED PIZZA BY INFRARED LAMPS,KR20120110892 (A); KR101206627 (B1),10/10/2012,RYU JAE DONâ€‚[KR],RYU JAE DONâ€‚[KR],A21B1/42; A21B1/02,,KR20110029068,20110330,KR20110029068 20110330,,,,,,,,,,,,,,
CUPPIZZA AND MANUFACTURING METHOD THEREOF,KR20120109134 (A),08/10/2012,WON KIL HOâ€‚[KR],GN FOOD CO LTDâ€‚[KR],A21D13/00; A23L1/39,,KR20110027332,20110328,KR20110027332 20110328,,,,,,,,,,,,,,
AUTOMATED PIZZA PREPARATION AND VENDING SYSTEM,US8710408 (B2); US2012308702 (A1),06/12/2012,KHATCHADOURIAN PUZANTâ€‚[US];  PAPAKHIAN DANIELâ€‚[US];  KNELLER MIKHAILâ€‚[US];  YEUNG GEORGEâ€‚[US],KHATCHADOURIAN PUZANTâ€‚[US];  PAPAKHIAN DANIELâ€‚[US];  KNELLER MIKHAILâ€‚[US];  YEUNG GEORGEâ€‚[US];  K & G ENTPR LLCâ€‚[US],A21B1/42; A23L1/01,A21C9/04; A21C11/006; A21D8/02; A21D13/007; A21C5/00,US201213467568,20120509,US201213467568 20120509; US201213353123 20120118; US201161433928P 20110118,US3884213 (A); US4154861 (A); US4718535 (A); US3734271 (A); US4354796 (A); US5211106 (A); US5996476 (A); US2007108177 (A1); US7655884 (B2); US8011293 (B2); US2012185086 (A1); US8297270 (B2); US3734271 (A); US3884213 (A); US4154861 (A); US4354796 (A); US4718535 (A); US5211106 (A); US5996476 (A); US7655884 (B2); US8011293 (B2); US8297270 (B2); US2007108177 (A1); US2012185086 (A1),,,,,,,,US4737092 (A); US5921170 (A); US6398539 (B1); US7241977 (B2); WO2008103907 (A1),,,,,
Reusable Pizza Box,US2012305634 (A1),06/12/2012,VONALST ROBERT LEROYâ€‚[US],VONALST ROBERT LEROYâ€‚[US],B65D5/66; B65D43/14,B65D85/36; B65D2585/366,US201113152583,20110603,US201113152583 20110603,US5110039 (A); US5190213 (A); US5402930 (A); US7188629 (B2); US2007083068 (A1),,,,,,,,,,,,,
PIZZA OVEN ACCESSORY FOR A BARBECUE,WO2012159131 (A1),22/11/2012,SNYMAN ANTONâ€‚[ZA],SNYMAN ANTONâ€‚[ZA],A47J37/04; A47J37/07,A47J37/043; A47J37/0658; A47J37/0786,WO2012ZA00033,20120516,ZA20110003655 20110519,,,,,,,,,,,GB2465880 (A); CN201310929Y (Y); US3657996 (A); US6799567 (B1),,,
METHOD FOR MANUFACTURING AN ICE-CREAM FILLED PIZZA,WO2012156560 (A1),22/11/2012,PENSADO RIVAS GONZALOâ€‚[ES],PANADERIA RIAL S Lâ€‚[ES];  PENSADO RIVAS GONZALOâ€‚[ES],A21D13/00,A23G9/48; A23G9/506; A21D13/0022; A21D13/0041; A21D13/007; A21D8/02,WO2012ES70331,20120510,ES20110000529 20110513,,,,,,,,,,,US2009285945 (A1),XP008171741; XP008171742,,
Pizza tray,CN202525836 (U),14/11/2012,GAO JUN;  LIFAN SUN;  JIALE HU,SHANGHAI QIBAO HIGH SCHOOL,A47G23/06,,CN20122167288U,20120418,CN20122167288U 20120418,,,,,,,,,,,,,,
Pizza oven,USD670528 (S1),13/11/2012,LIN KING-YUANâ€‚[US],LIN KING-YUANâ€‚[US],,,US201129395195F,20111216,US201129395195F 20111216,,,,,,,,,,,,,,
COMPOSITION COMPRISING HEDYOTIS DIFFUSA EXTRACT FOR PREVENTION OR TREATMENT OF NONALCOHOLIC FATTY LIVER DISEASE,KR20120097080 (A); KR101292931 (B1),03/09/2012,KIM JUNG INâ€‚[KR];  KANG MIN JUNGâ€‚[KR];  KIM JI HYEâ€‚[KR];  CHOI HA NEULâ€‚[KR];  JEONG SOO MIâ€‚[KR];  KIM MIN JUâ€‚[KR];  DO JONG MOOKâ€‚[KR],UNIV INJE IND ACAD COOPERATIONâ€‚[KR],A61K36/748; A61P1/00; A61P1/16,,KR20110016416,20110224,KR20110016416 20110224,KR19990038424 (A); KR20040043092 (A); KR19990038425 (A); KR20000061327 (A),,,,,,,,,,,,,
"MANUFACTURING APPARATUS FOR WELL-BEING FISH PIZZA WITH ALTERATION FUNCTION, AND MANUFACTURING METHOD THEROF",KR20120097036 (A),03/09/2012,KIM TAE WOOâ€‚[KR],UK HYUN INTERNATâ€‚[KR],A21B5/03; A21D13/00,,KR20110016350,20110224,KR20110016350 20110224,,,,,,,,,,,,,,
PIZZA WITH PERIPHERAL CRUST STRUCTURE,CA2792833 (A1),30/09/2010,MATTHEWS KEVIN Pâ€‚[US],MATTHEWS KEVIN Pâ€‚[US],A21D13/00,A21D13/007,CA20102792833,20100219,US20090409144 20090323; WO2010US24663 20100219,,,,,,,,,,,,,,
Pizza container,USD670162 (S1),06/11/2012,SEGAL ALEXANDERâ€‚[CA],SEGAL ALEXANDERâ€‚[CA],,,US201229371958F,20120222,US201229371958F 20120222,,,,,,,,,,,,,,
"Cooking device i.e. light wave oven, for use in fitted kitchen for heating food product i.e. pizza, in cooking chamber, has infrared heating element arranged in lower side of housing behind glass plate that is connected with drawer",DE102011101042 (A1),15/11/2012,BOCKS STEFANâ€‚[DE];  HARLANDER FLORIANâ€‚[AT],GRONBACH FORSCHUNGS UND ENTWICKLUNGS GMBH & CO KGâ€‚[AT],F24C7/06; F24C15/16,A47J37/0629; A47J37/0658; F24C7/06; F24C15/162,DE201110101042,20110510,DE201110101042 20110510,DE10203606 (A1); DE10241486 (A1); DE10356915 (A1); EP1513374 (A2),,,,,,,,DE10203606 (A1),,,,,
Reproduced cheese and preparation method thereof,CN102742664 (A); CN102742664 (B),24/10/2012,YUANRONG ZHENG;  ZHENMIN LIU;  BEIHONG MO;  SHUAI CHEN;  HONGYAN GAO;  CHUNQUAN SHI;  YONGBIAO LING,BRIGHT DAIRY & FOOD CO LTD,A23C19/082,,CN20121213180,20120626,CN20121213180 20120626,CN102450335 (A); CN101564062 (A); CN102239926 (A); US2006083820 (A1),,,,,,,,,,,,,
AUTOMATED PIZZA ASSEMBLY SYSTEM,CA2791135 (A1),01/09/2011,FRITZ-JUNG CATHRYNâ€‚[US];  SCRIVANO DAVIDâ€‚[US];  STROTHER DAVIDâ€‚[US];  THOMAS AMANDA Bâ€‚[US];  HESLIP SEAN Mâ€‚[US];  DEEMTER KENT Aâ€‚[US];  MCCOY TYLER Wâ€‚[US];  HOEKSEMA BRET Aâ€‚[US],LITTLE CAESAR ENTPR INCâ€‚[US],A21C9/04; A21C9/08,B25J11/00; A21C9/04,CA20112791135,20110224,WO2011US25989 20110224; US20100308487P 20100226; US20100320337P 20100402; US201113033650 20110224,,,,,,,,,,,,,,
METHOD AND SYSTEM FOR MORE ACCURATELY DETERMINING NUTRITIONAL VALUES AND REDUCING WASTE OF FOOD ITEMS,CA2790612 (A1),25/08/2011,SPRIEGEL ANDREW Râ€‚[US];  GETZINGER GREG Tâ€‚[US],SPRIEGEL ANDREW Râ€‚[US];  GETZINGER GREG Tâ€‚[US],A47J43/00,A47J43/18; A47J47/005,CA20112790612,20110222,US20100339139P 20100222; WO2011US00341 20110222,,,,,,,,,,,,,,
"Transport and presentation package for goods such as pizza, has spring element for pushing goods in direction of removal opening, which is passed from locked position into activated position through opening in the packaging portion",DE102011002285 (A1),31/10/2012,,THIMM VERPACKUNG GMBH & CO KGâ€‚[DE],B65D5/72; B65D5/50; B65D5/52,B65D83/0817; B65D5/72; B65D25/101,DE20111002285,20110427,DE20111002285 20110427,DE202010009056U (U1); GB2227010 (A),,,,,,,,,,,,,
METHOD FOR PRODUCING RICE CAKE STUFFED WITH INGREDIENT,JP2012175961 (A),13/09/2012,,TAKAHASHI MASATO,A23L1/10,,JP20110057190,20110225,JP20110057190 20110225,,,,,,,,,,,,,,
METHOD FOR BAKING NEAPOLITAN TYPE PIZZA CRUST AND DEVICE FOR BAKING THE SAME,JP2012165687 (A),06/09/2012,,MITSUWA CO LTD,A21D8/06; A21B1/24,,JP20110029123,20110214,JP20110029123 20110214,,,JP2001505064 (A); JP2006141318 (A); JP2007029010 (A),,,,,,,,,,,
Method and Apparatus for Cooking Pizza,US2012258229 (A1),11/10/2012,MINDRUP JEFâ€‚[US],MINDRUP JEFâ€‚[US],H05B3/68; A21D13/08,A21D8/06; A21D13/007,US201213444634,20120411,US201213444634 20120411; US201161474038P 20110411,US2007272398 (A1),,,,,,,,,,,,,
REFRIGERATOR WITH AUXILIARY BASKET,US2012255322 (A1),11/10/2012,HAN JAE MYUNGâ€‚[US];  LIM JAE HOONâ€‚[KR],HAN JAE MYUNGâ€‚[US];  LIM JAE HOONâ€‚[KR];  SAMSUNG ELECTRONICS CO LTDâ€‚[KR],F25D11/02,F25D23/067; F25D25/025; F25D23/021; F25D2331/804; F25D2331/809,US201213529431,20120621,US201213529431 20120621; KR20070017465 20070221; KR20070063159 20070626; US20070984214 20071114,DE19646206 (A1); US7111914 (B2); US6997526 (B2); US6799818 (B2); US2001054296 (A1); US6447083 (B1); US5758512 (A); US2005210655 (A1); US4751826 (A); US2006260353 (A1),,,,,,,,,,,,,
Multifunctional pizza dish,CN202477187 (U),10/10/2012,XIA YANG,CHONGQING BAXIAN MIDDLE SCHOOL,A47G19/02,,CN20122117361U,20120322,CN20122117361U 20120322,,,,,,,,,,,,,,
Corn pizza forming die,CN102715206 (A),10/10/2012,JIANYING TANG;  JIANMEI TANG,SUZHOU HAODELAI FOOD CO LTD,A21C11/00,,CN20121157724,20120522,CN20121157724 20120522,,,,,,,,,,,,,,
"PLANT-BASED FOOD PRODUCT, COMPOSITION, AND METHODS",US2012251686 (A1),04/10/2012,MARGOLIS GEOFFREYâ€‚[US],MARGOLIS GEOFFREYâ€‚[US],A23L1/231; A23J1/00; A23J1/09; A23J3/00; A23L1/27,A23J3/04; A23J3/16; A23J3/18; A23J3/227,US201213428951,20120323,US201213428951 20120323; US201161469050P 20110329,US4250198 (A); US3953611 (A); US4265917 (A); US2006233938 (A1); EP0094112 (A1); WO9428738 (A1),,,,,,,,,,,,,
"FOOD COMPOSITION, PHARMACEUTICAL COMPOSITION AND ANIMAL MEDICINE AGAINST OBESITY CONTAINING GINGERENONE A",KR101174701 (B1),17/08/2012,SEOK SU JINâ€‚[KR];  LEE KI WONâ€‚[KR],SNU R&DB FOUNDATIONâ€‚[KR],A23L1/30; A23L2/38; A61K31/045; A61P3/04,A23L1/30; A61K31/12,KR20110146238,20111229,KR20110146238 20111229,,,,,,,,,,,,,,
APPARATUS AND METHODS FOR REHEATING WEDGE SHAPED FOOD PRODUCTS,WO2012129364 (A1),27/09/2012,POKOTYLO JOHN Câ€‚[US],POKOTYLO JOHN Câ€‚[US],A47J43/28; A47G21/10; A47J45/10,A23L1/0128; A47J43/283,WO2012US30040,20120322,US201161466406P 20110322; US201213426370 20120321,,,,,,,,,,,US5551741 (A); CN2407699Y (Y); FR2734466 (A1),,,
PIZZA-MAKING SYSTEM,WO2012128429 (A1),27/09/2012,YANG SUNGKIâ€‚[KR],PIZZA KOREA CO LTDâ€‚[KR];  YANG SUNGKIâ€‚[KR],A21B7/00; A21B5/00; A21C9/04; A21C15/00,A21D13/007,WO2011KR06125,20110819,KR20110025309 20110322,,,,,,,,,,,US5529797 (A); KR20000068789 (A); US2006115557 (A1); KR100296512B (B1),,,
"Device for cutting foodstuff e.g. pizza, has cutting tool that is designed as thermal cutting tool, for cutting to-be-cut material",DE102011016708 (A1),11/10/2012,DEVRAN SEZEKâ€‚[DE],DEVRAN SEZEKâ€‚[DE],B26F3/08; B26D3/24; B26D3/30; B26F3/12,B26D3/24; B26F3/08; B26F3/12,DE20111016708,20110411,DE20111016708 20110411,DE2343911 (A1); DE2732878 (A1),,,,,,,,,,,,,
PIZZA CONTAINING QUERCETIN AND METHOD THEREOF,KR20120086991 (A),06/08/2012,GIM HYEONG GONâ€‚[KR],JEONBUK CITY MAN INSTâ€‚[KR];  IM SILGUNâ€‚[KR],A21D13/04; A21D8/06; A23L1/39,,KR20110008398,20110127,KR20110008398 20110127,,,,,,,,,,,,,,
Pizza scissors,CN202448152 (U),26/09/2012,FANGHUA CAI,FANGHUA CAI,B26B13/22,,CN20112567554U,20111230,CN20112567554U 20111230,,,,,,,,,,,,,,
Artificial cheese and preparation method thereof,CN102687757 (B); CN102687757 (A),26/09/2012,YUANRONG ZHENG;  ZHENMIN LIU;  BEIHONG MO;  CHUNQUAN SHI;  HONGYAN GAO;  SHUAI CHEN;  YONGBIAO LING,BRIGHT DAIRY CO LTD,A23C19/09; A23C19/093,,CN20121213242,20120626,CN20121213242 20120626,CN102450335 (A); JPH05292881 (A); US7579033 (B2),,,,,,,,,,,,,
Processed cheese and preparation method thereof,CN102687753 (B); CN102687753 (A),26/09/2012,YUANRONG ZHENG;  ZHENMIN LIU;  BEIHONG MO;  HONGYAN GAO;  SHUAI CHEN;  CHUNQUAN SHI;  YONGBIAO LING,BRIGHT DAIRY CO LTD,A23C19/082; A23C19/093,,CN20121213224,20120626,CN20121213224 20120626,CN102370008 (A); CN102265934 (A); US2006083820 (A1),,,,,,,,,,,,,
Pizza former,CN202436025 (U),19/09/2012,LINGSHENG KONG,LANGFANG SHENGXING FOOD MACHINERY CO LTD,A21D13/00,,CN2012211658U,20120112,CN2012211658U 20120112,,,,,,,,,,,,,,
High-efficiency and energy-saving food baking oven,CN202425573 (U),12/09/2012,XIANG LIANG,XIANG LIANG,A23N12/08; A21B1/14; A23N12/12,,CN2012229988U,20120117,CN2012229988U 20120117,,,,,,,,,,,,,,
Fuel gas pizza oven,CN202425507 (U),12/09/2012,FULI WANG;  WENDONG CUI;  WENKANG XIE;  ZHANGWEN PAN,YINGLIANSITE GUANGZHOU CATERING EQUIPMENT CO LTD,A21B5/02,,CN20112562316U,20111229,CN20112562316U 20111229,,,,,,,,,,,,,,
PIZZA SANDWICH.,MX2012004269 (A),22/05/2012,GREINER STEVEN Pâ€‚[US];  DODD KRISTIN N;  CONWAY BERNARD WILLIAM;  YOST RACHEL MICHELLE;  FOSTER LISA A;  STOCKWELL PATRICIA,NESTEC SAâ€‚[CH],A21D13/00,A21D13/007; A21D13/0025,MX20120004269,20120411,US20090609638 20091030; WO2010EP64297 20100928,,,,,,,,,,,,,,
"Pre-formed cheese layer for pizza with channels, typically cylindrical, for strenght during handling, with even layer when cooked",NZ577413 (A),31/08/2012,YOUNG IAN,PUCK HOLDINGS PTY LTD,A23L1/025; A01J25/10; A23C19/00; A23P1/10; A23P1/12,A23C19/09; A23P1/10; A23P1/12; A01J25/12; A01J25/13; A21C9/04; A23L1/0073; A23L1/0076; B29C47/92,NZ20070577413,20071129,AU20060906672 20061129; WO2007AU01843 20071129,,,,,,,,,,,,,,
PIZZA rotating tool,CN202408552 (U),05/09/2012,WENQING LI,WENQING LI,A47J37/06; A47J37/01,,CN20112441625U,20111103,CN20112441625U 20111103,,,,,,,,,,,,,,
BAKEABLE PARCHMENT TRAY FOR BAKING PIZZA,WO2012115699 (A1),30/08/2012,FRITZ-JUNG CATHRYNâ€‚[US];  KAKISH HIBAâ€‚[US];  REBANT JASON Eâ€‚[US],LITTLE CAESAR ENTPR INCâ€‚[US];  FRITZ-JUNG CATHRYNâ€‚[US];  KAKISH HIBAâ€‚[US];  REBANT JASON Eâ€‚[US],B65D81/34,A21B3/131; A21B3/133; B65D37/00; B65D81/343; B65D81/3453; B65D2581/3406,WO2011US64361,20111212,US201161446088P 20110224; US201113079102 20110404,,,,,,,,,,,US5203491 (A); US5511680 (A); US6062466 (A); US2005284906 (A1); US5401101 (A),,,
PIZZA SAVER WHICH CAN BE FORK,KR20120082966 (A),25/07/2012,AHN KWANG JUNâ€‚[KR],AHN KWANG JUNâ€‚[KR],B65D85/36; A47G21/02; B65D57/00,,KR20110004319,20110116,KR20110004319 20110116,,,,,,,,,,,,,,
Method and system for more accurately determining nutritional values and reducing waste of food items,US2012210841 (A1),23/08/2012,GETZINGER GREG Tâ€‚[US];  SPRIEGEL ANDREW RAYMONDâ€‚[US],GETZINGER GREG Tâ€‚[US];  SPRIEGEL ANDREW RAYMONDâ€‚[US];  NUVO GRAND LLCâ€‚[US],B26D3/24; A47J47/00,A47J47/005; B26D3/24,US20110932296,20110222,US20110932296 20110222,USD657209S (S1); US4100676 (A); US2906020 (A); US2005011074 (A1); US3060838 (A); US2007108170 (A1); US1072450 (A); USD434953S (S),,,,,,,,,,,,,
Pizza scissors,CN102630714 (A),15/08/2012,YANHONG WANG,SUZHOU INST TRADE & COMMERCE,A21C15/04,,CN20121143140,20120510,CN20121143140 20120510,CN201500993U (U); CN202680354U (U); CN201585942U (U); US4114265 (A); CN2466101Y (Y); US2182726 (A),,,,,,,,,,,,,
The food that forms heart shape when cut,KR20120058353 (A),07/06/2012,LEE CHI GYUâ€‚[KR],LEE CHI GYUâ€‚[KR],A23G1/22; B26D3/24,A23G1/0053; A23G1/50; B26F1/44; B26F2001/4481,KR20100120088,20101129,KR20100120088 20101129,,,,,,,,,,,,,,
PIZZA DOUGH AND ITS MANUFACTURING METHOD,KR20120057718 (A),07/06/2012,JUNG CHUL JUNâ€‚[KR],JUNG CHUL JUNâ€‚[KR],A21D13/00; A21D2/36,,KR20100082401,20100825,KR20100082401 20100825,,,,,,,,,,,,,,
BROILED DISH OF SLICED RICE CAKE WITH PIZZA AND METHOD FOR MANUFACTURING THEREOF,KR20120055984 (A),01/06/2012,SEOL SEUNG SEOBâ€‚[KR],KANG PHIL WONâ€‚[KR],A23L1/10; A23P1/08,,KR20100117472,20101124,KR20100117472 20101124,,,,,,,,,,,,,,
low price and easy assemble pizza box,KR20120002671 (U),19/04/2012,,,B65D85/36; B65D5/22; B65D5/26; B65D5/66,,KR20100010406U,20101011,KR20100010406U 20101011,,,,,,,,,,,,,,
Energy-saving efficient pizza pan,CN202355254 (U),01/08/2012,LIHUA HUANG,ZHANJIANG ZHONGRONG ELECTRIC APPLIANCE CO LTD,A47J37/06,,CN20112518633U,20111213,CN20112518633U 20111213,,,,,,,,,,,,,,
Multifunctional pizza pan,CN202355249 (U),01/08/2012,SHUGUANG QI,HUBEI BIAOHUA ELECTRICAL APPLIANCE TECHNOLOGY CO LTD,A47J37/06,,CN20112437670U,20111108,CN20112437670U 20111108,,,,,,,,,,,,,,
