Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Handle Having Pizza Packing Box,KR200442533 (Y1),18/11/2008,,,B65D85/36; B65D25/28,,KR20070013319U,20070809,KR20070013319U 20070809,,,,,,,,,,,,,,
Pizza Packaging for a Box,KR200436994 (Y1),23/10/2007,,,B65D85/36; B65D5/36; B65D5/42,,KR20060031696U,20061214,KR20060031696U 20061214,,,,,,,,,,,,,,
Mobile type stove for pizza cooking,KR200436764 (Y1),02/10/2007,,,F24B1/26; F24B13/00; F24B13/02,,KR20060028060U,20061019,KR20060028060U 20061019,,,,,,,,,,,,,,
CONE OR CUP SHAPE PIZZA,KR200435523 (Y1),29/01/2007,,,A21D13/00; A23G3/50; A23G3/54,,KR20060020791U,20060802,KR20060020791U 20060802,,,,,,,,,,,,,,
PIZZA PAN,KR20080003609 (U),27/08/2008,,,A47J37/08; A21B3/15,,KR20070003311U,20070223,KR20070003311U 20070223,,,,,,,,,,,,,,
Pizza Packaging for a Box,KR200437985 (Y1),04/01/2008,,,B65D85/36; B65D5/36; B65D5/42,,KR20060031953U,20061218,KR20060031953U 20061218,,,,,,,,,,,,,,
Pizza piece storage container,KR20080001402 (U),28/05/2008,,,B65D85/36; B65D43/08; B65D51/16,,KR20060030344U,20061124,KR20060030344U 20061124,,,,,,,,,,,,,,
A pizza cover,KR20080000965 (U),09/05/2008,,,B65D85/36; A47G19/00,,KR20060029123U,20061106,KR20060029123U 20061106,,,,,,,,,,,,,,
Pizza keeping container,KR20080003201 (U),08/08/2008,,,B65D85/36,,KR20070002088U,20070205,KR20070002088U 20070205,,,,,,,,,,,,,,
AUTOMATED PIZZA PREPARATION AND VENDING SYSTEM,CA2678558 (A1),28/08/2008,SCURTU DRAGOSHâ€‚[CA];  KAZARIAN ARAMâ€‚[CA];  BRINI BERNARDOâ€‚[CA];  ELLIS WARRENâ€‚[US];  PAPAKHIAN DANIELâ€‚[CA];  CARBONE PHILIPâ€‚[US];  KOUYOUMDJIAN KRIKORâ€‚[CA];  KHATCHADOURIAN PUZANTâ€‚[US];  KING DARRELLâ€‚[US];  MCKENNEY KYLEâ€‚[US];  BREKKEN MATTHEWâ€‚[US];  PESCATORE PETERâ€‚[US],K & G ENTPR LLCâ€‚[US],A21C11/00; A21B5/00; A21C3/00; A21C9/00; A21C9/04; A21D8/00,A21D13/007; A21C11/006,CA20082678558,20080222,US20070891218P 20070222; WO2008US54723 20080222,,,,,,,,,,,,,,
PIZZA WITH SEGMENTED CRUST.,MX2008013315 (A),14/11/2008,GRAHAM PETER Gâ€‚[US];  CRAIG TODD W;  GOFF CARRIE L,PIZZA HUT INCâ€‚[US],A21D13/00,A21D13/007,MX20080013315,20081016,US20060405143 20060417; US20060405153 20060417; WO2007US66393 20070411,,,,,,,,,,,,,,
PIZZA BOX,CA2667902 (A1),15/05/2008,CASTIGLIONI CARLOâ€‚[IT];  TAVOSO ANDREAâ€‚[IT],CASTIGLIONI CARLOâ€‚[IT],B65D85/36,B65D5/20; A47G21/001; B65D5/545; B65D81/36; B65D2585/366,CA20072667902,20070809,IT2006VR00171 20061109; WO2007EP07076 20070809,,,,,,,,,,,,,,
APPARATUS FOR SUPPLYING WARM FOOD PRODUCT,EA200701088 (A1); EA014300 (B1),28/12/2007,BIANCHI MARCO,STARSTATUS TRADING INTERNACIONAL LDA,A21C15/00; B67D7/80; A21D13/00; A23P1/08,A23P1/086; A21C15/007; G07F9/105; G07F17/0078,EA20070001088,20051206,IT2004PI00091 20041207; WO2005EP13059 20051206,US4084494 (A); US5531156 (A); US3908584 (A); US5918767 (A); WO0119205 (A1); US3358618 (A); US2004031808 (A1),,,,,,,,,,,,,
MICROWAVEABLE PIZZA CRUST,PT1238588 (E),25/07/2008,MCPHERSON ANDREW Eâ€‚[US];  CHEN WEIZHIâ€‚[US];  AKASHE AHMADâ€‚[US];  MILLER MIRANDAâ€‚[US],KRAFT FOODS HOLDINGS INCâ€‚[US],A21D13/00; A21D2/16; A21D2/18; A21D10/00,A21D13/007; A21D2/16; A21D2/186; A21D10/00,PT20010308494T,20011004,US20000679484 20001004,,,,,,,,,,,,,,
MANUFACTURING METHOD FOR RICE PIZZA,CA2652518 (A1); CA2652518 (C),06/12/2007,LEE DAE-GUâ€‚[KR],LEE DAE-GUâ€‚[KR],A23L1/10,A21D13/007; A21D2/36; A23L1/0076; A23L1/10,CA20072652518,20070426,KR20060047937 20060529; KR20060108099 20061103; WO2007KR02055 20070426,,,,,,,,,,,,,,
AN AUTOMATIC PIZZA SHAPING CONVEYOR DEVICE AND METHOD,CA2650575 (A1),08/11/2007,YEN JEN-HOâ€‚[TW],YEN JEN-HOâ€‚[TW],A21C11/10; A21B5/00; A21C3/02; A21C9/04,A21C11/10; A21C9/04,CA20072650575,20070427,TW20060207338U 20060428; WO2007CA00725 20070427,,,,,,,,,,,,,,
RICE AND DOUGH,KR20080109104 (A),17/12/2008,KIM WUN JEâ€‚[KR],KIM WUN JEâ€‚[KR],A23P1/08; A23L1/10; A23P1/00,,KR20070056977,20070612,KR20070056977 20070612,,,,,,,,,,,,,,
PIZZA PIE DOUGH MANUFACTURING DEVICE,KR100866662 (B1),04/11/2008,LEE DAE HOONâ€‚[KR];  SEO IN SEOGâ€‚[KR],LEE DAE HOONâ€‚[KR];  SEO IN SEOGâ€‚[KR],A21C11/04; A21C9/00; A21C11/00; A21C11/02,,KR20070059329,20070618,KR20070059329 20070618,JPH08308744 (A); EP1129621 (A1); US2004009256 (A1); KR19990030182 (A),,,,,,,,,,,,,
SELF-RISING DOUGH-CONTAINING FOOD PRODUCT AND RELATED MANUFACTURING METHODS.,MX2007013229 (A),16/01/2008,BRODIE JOHNâ€‚[US];  SHAHEED AMR,INNOPHOS INCâ€‚[US],A21D10/02,A21D17/006; A21D2/02; A21D2/183; A21D2/245; A21D6/001; A21D10/025; A21D13/007; A23V2002/00; A23V2002/00; A23V2250/0616; A23V2200/234; A23V2250/5086,MX20070013229,20071023,US20050113950 20050425; WO2006US15220 20060424,,,,,,,,,,,,,,
USE OF OZONE FOR IMPROVING KNEADING.,MXPA06010691 (A),08/03/2007,COSTE CHRISTIANâ€‚[FR];  DUBOIS MICHEL,GREEN TECHNOLOGIES SARLâ€‚[FR],A21D2/04; A21C1/10; A21D8/02; A21D8/00,A21D2/04; A21D8/025,MX2006PA10691,20060919,FR20040002846 20040319; WO2005FR00628 20050316,,,,,,,,,,,,,,
Pizza knife,CN201172225 (Y),31/12/2008,PIN LUâ€‚[CN],PIN LUâ€‚[CN],B26B25/00; B25G1/10; B26B29/02,,CN2008284884U,20080321,CN2008284884U 20080321,,,,,,,,,,,,,,
Improvements in cartons for pizza and other products,AU2007202332 (A1),11/12/2008,MENEAUD SEAN,VISY R & D PTY LTD,B65D5/24; B31B3/02; B65D5/26; B65D5/66,B65D5/244; B65B43/265; B65D5/4295; B65D5/6635; B65B67/02; B65D2585/366,AU20070202332,20070523,AU20070202332 20070523,,,,,,,,,,,,,,
METHOD FOR FORMING FOOD DOUGH FOR PIZZA OR THE LIKE AND APPARATUS THEREFOR,JP2008289378 (A),04/12/2008,KOMIYA MICHINOBU;  KOMIYA KENJI,OSAKA JIDOKI KK,A21C3/02; A21C11/02,,JP20070135749,20070522,JP20070135749 20070522,,,JPH11318317 (A); JPS5672643 (A); JPS6049795U (U); JPS5241350B (B2),,,,,,,,,,,
METHOD FOR FORMING FOOD DOUGH FOR PIZZA OR THE LIKE AND APPARATUS THEREFOR,JP2008289377 (A); JP4642812 (B2),04/12/2008,KOMIYA MICHINOBU;  KOMIYA KENJI,OSAKA JIDOKI KK,A21C11/02; A23P1/10,,JP20070135745,20070522,JP20070135745 20070522,,,JPH11243834 (A); JPS5114486 (A),,,,,,,,,,,
TOMATO GROWING SYSTEM,WO2008156849 (A1),24/12/2008,EARLY JONATHANâ€‚[US],BEAR FLAG TRUSTâ€‚[US];  EARLY JONATHANâ€‚[US],A01G9/02,A01G9/023; A01G9/026; A01G9/12,WO2008US07739,20080619,US20070820529 20070619,US3264783 (A); US5495692 (A); US4968541 (A); JPH11239421 (A); JPH06113681 (A); US5640802 (A); US5423148 (A); US3613970 (A),,,,,,,,,,,,,
FRIED RICE CAKE AND MENUFACTURING METHOD THEREOF,KR100881110 (B1); KR20080090073 (A),08/10/2008,PARK GI SEOKâ€‚[KR],TAELIM FOOD CO LTDâ€‚[KR],A23L1/01; A23L1/10; A23P1/08,,KR20070033097,20070404,KR20070033097 20070404,KR20050056171 (A); KR20050081914 (A); KR20050091130 (A); KR20050105352 (A); KR200268489Y (Y1),,,,,,,,,,,,,
"Space saving,fast erecting,disposable pizza container",US2008308618 (A1),18/12/2008,MARANELLI VITOâ€‚[US],,B65D43/16,B65D5/3642; B65D2585/366,US20070820307,20070618,US20070820307 20070618,,,,,,,,,,,,,,
PIZZA CARTON,CA2641936 (A1),23/08/2007,OLIVEIRA STEVEN MANUELâ€‚[US],GRAPHIC PACKAGING INT INCâ€‚[US],B65D5/28; B65D5/50,B65D5/5021; B65D5/28; B65D2585/366,CA20072641936,20070212,US20060773085P 20060213; WO2007US03772 20070212,,,,,,,,,,,,,,
PIZZA CUTTER WITH INTEGRATED DISPENSER,US2008289189 (A1),27/11/2008,KHATCHADOURIAN PUZANTâ€‚[US],K & G ENTPR LLCâ€‚[US],B26B11/00,B26B11/00; B26B25/005,US20080059834,20080331,US20080059834 20080331; US20070909217P 20070330,,,,,,,,,,,,,,
PIZZA COMPRISING FERMENTED SOYBEANS AND MANUFACTURING METHOD OF THEM THEREOF,KR100862083 (B1); KR20080085238 (A),24/09/2008,NAM ILâ€‚[KR],NAM ILâ€‚[KR],A21D13/00; A23L1/202,,KR20070026386,20070319,KR20070026386 20070319,,,KR20050112668 (A),,,,,,,,,,,
SUPPORTING APPARATUS FOR PACKED PIZZA,KR100859816 (B1),23/09/2008,CHOI GO EUNâ€‚[KR],CHOI GO EUNâ€‚[KR],B65D57/00; B65D85/36,,KR20070057930,20070613,KR20070057930 20070613,KR200256817Y (Y1); US5074777 (A),,,,,,,,,,,,,
Food delivering bag capable of heat preservation,CN201102730 (Y),20/08/2008,DEYI CHENâ€‚[HK],XIE DONGHAIâ€‚[HK],B65D81/18; H05B3/36,,CN20072174912U,20070905,CN20072174912U 20070905,,,,,,,,,,,,,,
FOOD CONTAINER HAVING AN INTEGRATED NAPKIN HOUSING,US2008272016 (A1),06/11/2008,ANDERSON BRUCEâ€‚[CA];  CIMINI ALEARDOâ€‚[CA],,B65D69/00,B65D83/0894; B65D75/5833; B65D75/5894; B65D2585/366,US20070743682,20070503,US20070743682 20070503,,,,,,,,,,,,,,
Folding pizza peel,CN101254076 (A),03/09/2008,CHRIS CUNNINGHAMâ€‚[US];  PAUL CHRISTMANâ€‚[US],WILTON INDUSTRY LTDâ€‚[US],A47J43/28,A47J43/288; A21B3/003,CN2008195168,20080228,US20070712148 20070228,,,,,,,,,,,,,,
Filled cheese product and manufacture thereof,US2008268104 (A1),30/10/2008,DI DOMENICO ROBERTOâ€‚[IT];  PANAIOLI SANDROâ€‚[IT];  TREGGIARI MASSIMILIANOâ€‚[IT],CONOPCO INC DBA UNILEVER,A23C19/00,A23C19/0908; A23C19/0912; A23L1/005; A23L1/0067; A23L1/0079; A23C2250/40,US20070893069,20070814,EP20060254330 20060817,,,,,,,,,,,,,,
Ultimate improvement in high way safety,US2008266119 (A1),30/10/2008,MANNIK KALLIS HANSâ€‚[US],,G08B23/00,G08B21/06,US20070796762,20070430,US20070796762 20070430,,,,,,,,,,,,,,
Container for use with a vehicle seat,US2008264987 (A1),30/10/2008,SARRO MITCHELL Jâ€‚[US];  WILLIAMS JOHN Râ€‚[US],,B60R7/04; B65D25/00,B60R7/043,US20070004724,20071221,US20070004724 20071221; US20070925973P 20070424,,,,,,,,,,,,,,
"OVENS, FINGER DUCTS THEREFOR, AND METHODS FOR DISTRIBUTING AIR IN A FINGER DUCT",US2008264623 (A1),30/10/2008,BRAMHALL MARCUS Eâ€‚[US],,F28F1/10; F24C15/32; F28D15/00,A21B1/245,US20080111501,20080429,US20080111501 20080429; US20070915012P 20070430,,,,,,,,,,,,,,
FUNCTIONAL WELL-BEING PIZZA DOUGH AND MANUFACTURE METHOD THEREOF AND PIZZA,KR100866772 (B1); KR20080071757 (A),05/08/2008,LEE YOUNG CHONâ€‚[KR],LEE YOUNG CHONâ€‚[KR],A21D10/00; A21D13/00,,KR20070010030,20070131,KR20070010030 20070131,KR20020044125 (A); KR20030014001 (A); JP2001327243 (A),,,,,,,,,,,,,
PIZZA SAUCE AND CHEESE RICE CAKE(PICHEEDDUK),KR20080078269 (A),27/08/2008,LEE KYU MEEâ€‚[KR],LEE KYU MEEâ€‚[KR],A23L1/10,,KR20070018131,20070223,KR20070018131 20070223,,,,,,,,,,,,,,
Freshly prepared food delivery methodology,US8583490 (B2); US2008262934 (A1),23/10/2008,KLEMENTOWICZ NICHOLASâ€‚[US],"KLEMENTOWICZ, III NICHOLAS",G06Q30/00,G06Q30/06; G06Q50/12,US20070788116,20070419,US20070788116 20070419,US5158155 (A); US5113970 (A); US6810304 (B1); US2006206395 (A1); US7370005 (B1); US5113970 (A); US5158155 (A); US6810304 (B1); US7370005 (B1); US2004249497 (A1); US2006206395 (A1); US2007187183 (A1),,,,,,,,US5572984 (A); US6598514 (B2); US7171377 (B2),,,,,
Control Cabinets for Food Processing Systems,US2008257172 (A1),23/10/2008,DUCKWORTH TERRY Jâ€‚[US];  LATHAM S DUANEâ€‚[US],,A47J37/01; A47B96/00,F24C7/082,US20060067214,20060920,US20060067214 20060920; US20050719252P 20050921; WO2006US36408 20060920,US4403708 (A); USRE36941E (E),,,,,,,,,,,,,
"Device and method for producing a dough product topped with various toppings, and dough product",CN101227824 (B); CN101227824 (A),23/07/2008,TILL WESTBERGâ€‚[DE],TILL WESTBERGâ€‚[DE],A21C9/04,A21C9/04,CN2006826559,20060717,WO2006EP64339 20060717; DE20051034510 20050720,,,,,,,,,,,,,,
FROZEN MICROWAVEABLE DOUGH PRODUCTS,WO2007124236 (A3); WO2007124236 (A2),01/11/2007,BLACK JOHN Mâ€‚[US],FIRST PRODUCTS INCâ€‚[US];  BLACK JOHN Mâ€‚[US],A21D13/02,A21D15/02; A21D10/02; A21D13/0006; A21D13/0022,WO2007US65637,20070330,US20060793438P 20060420; US20060818951P 20060706,US6579546 (B1),,,,,,,,,,,,,
METHOD OF PREPARING PIZZA,WO2008018983 (A2); WO2008018983 (A3),14/02/2008,FRITZ-JUNG CATHRYNâ€‚[US];  AUER DEBORAHâ€‚[US];  KAKISH HIBAâ€‚[US];  THOMAS AMANDA Bâ€‚[US],LITTLE CAESAR ENTPR INCâ€‚[US];  FRITZ-JUNG CATHRYNâ€‚[US];  AUER DEBORAHâ€‚[US];  KAKISH HIBAâ€‚[US];  THOMAS AMANDA Bâ€‚[US],A21D13/00,A21D13/007; A21D8/06,WO2007US16552,20070723,US20060462539 20060804,US2003138539 (A1); US4367243 (A); US5927598 (A); US6287619 (B1); US2005109216 (A1),,,,,,,,,,,,,
PIZZA CARTON WITH WEBBED CORNERS,WO2007100869 (A2); WO2007100869 (A3),07/09/2007,OLIVEIRA STEVEN MANUELâ€‚[US],GRAPHIC PACKAGING INT INCâ€‚[US],B65D5/08,B65D75/14; B65D5/5007; B65D85/36; B65D2585/366,WO2007US05192,20070228,US20060777295P 20060228,,,,,,,,,,,WO2004094260 (A2); US4341309 (A); EP1331170 (A1); US2005103832 (A1),,,
INFRARED OVEN,WO2007059309 (A3); WO2007059309 (A2),24/05/2007,INGEMANSON MATS Oâ€‚[US],REDI KWICK CORPâ€‚[US];  INGEMANSON MATS Oâ€‚[US],F27B9/06,F24C7/04,WO2006US44660,20061116,US20060599622 20061115; US20050737309P 20051116; US20060776674P 20060227,US6369360 (B1); US5954980 (A),,,,,,,,,,,,,
ORDERING SYSTEM AND METHOD FOR PIZZA AND OTHER GOODS AND SERVICES USING A STATELESS COMMUNICATION PROTOCOL,WO2007056499 (A3); WO2007056499 (A2),18/05/2007,ASHER MARCâ€‚[US];  KARGMAN JAMES Bâ€‚[US];  EAGLE JAYâ€‚[US],IPDEV COâ€‚[US];  ASHER MARCâ€‚[US];  KARGMAN JAMES Bâ€‚[US];  EAGLE JAYâ€‚[US],G06Q30/00,G06Q30/0603; G06Q30/02; G06Q30/0601; G06Q30/0621; G06Q30/0635; G06Q40/04,WO2006US43589,20061108,US20060841995P 20060831; US20060845156P 20060915; US20050734742P 20051108; US20060816265P 20060622,US2002038259 (A1); US2002038261 (A1); US2002194501 (A1); US2005009511 (A1); US2004210621 (A1),,,,,,,,,,,,,
SIMPLE MOZZARELLA CHEESE-MAKING METHODS,WO2007027926 (A1); WO2007027926 (A9),08/03/2007,DUNKER JOHNâ€‚[US];  BARBANO DAVID Mâ€‚[US],CORNELL RES FOUNDATION INCâ€‚[US];  DUNKER JOHNâ€‚[US];  BARBANO DAVID Mâ€‚[US],A23C19/032,A23C19/0684; A23C19/052,WO2006US34081,20060830,US20050712621P 20050830; US20060775049P 20060220,,,,,,,,,,,,,,
ELEVATED MICROWAVEABLE CARTON AND SUSCEPTOR PORTION AND METHODS,WO2006130789 (A1),07/12/2006,HASSE JOEYâ€‚[US];  RETTEY DAVID Câ€‚[US];  MCGILLIVRAY JAMES Aâ€‚[US],SCHWAN S FOOD MFG INCâ€‚[US];  HASSE JOEYâ€‚[US];  RETTEY DAVID Câ€‚[US];  MCGILLIVRAY JAMES Aâ€‚[US],B65D81/34; B65D5/20,B65D81/3453; B65D5/2028; B65D2205/025; B65D2581/3406; B65D2581/3493; B65D2581/3498; B65D2585/366,WO2006US21328,20060531,US20050143226 20050602,,,,,,,,,,,US4260060 (A); US2003206997 (A1); US6299059 (B1); EP1479619 (A2); EP0503302 (A2); WO9920116 (A2); JP2005082197 (A),,,
COOKING APPARATUS,WO2006099277 (A3); WO2006099277 (A2),21/09/2006,MAROTI STEVENâ€‚[US],HICKORY IND INCâ€‚[US];  MAROTI STEVENâ€‚[US],H05B3/68,F24C15/102; H05B3/0076; H05B3/68; H05B2203/032,WO2006US08871,20060314,US20050079558 20050314,US6250210 (B1); US6354194 (B1),,,,,,,,,,,,,
FOOD PREPARATION SYSTEM,WO2006036645 (A3); WO2006036645 (A2),06/04/2006,CLOTHIER BRIAN Lâ€‚[US],THERMAL SOLUTIONS INCâ€‚[US];  CLOTHIER BRIAN Lâ€‚[US],B65G54/02; G06Q10/00,B65G54/02; G06Q10/06; G06Q10/087; G06Q50/12; B65G2201/0202; B65G2203/0283,WO2005US33586,20050916,US20040613199P 20040927; US20050061345 20050218,US6051070 (A); US2002070862 (A1),,,,,,,,,,,,,
PIZZA BOX,WO2006023692 (A3); WO2006023692 (A2),02/03/2006,KUHN WAYNE Hâ€‚[US];  PIZZITOLA FRANKâ€‚[US],INT PAPER COâ€‚[US];  KUHN WAYNE Hâ€‚[US];  PIZZITOLA FRANKâ€‚[US],B65D5/66; B65D85/36,B65D5/6632; B65D5/6644; B65D5/0015; B65D5/2057; B65D2301/10; B65D2585/366,WO2005US29489,20050818,US20040602991P 20040819,,,,,,,,,,,WO02051709 (A2); US5370303 (A); US6135347 (A); EP1298073 (A1),,,
PIZZA PIE HAVING AN INNER CHEESE PORTION CONTAINED WITHIN THE OUTER CRUST PORTION,WO2006115481 (A1),02/11/2006,CRAIG TODD Wâ€‚[US];  NGUYEN JENNEFERâ€‚[US];  GRAHAM PETER Gâ€‚[US],PIZZA HUT INCâ€‚[US],A21D13/00; A21C11/12,A21C11/106; A21C11/12; A21D13/007,WO2005US13811,20050422,US20050111478 20050421; US20050111467 20050421,,,,,,,,,,,US6286708 (B1); US6479087 (B1); US4661361 (A),,,
Pizza cutting and serving device,US2008134517 (A1),12/06/2008,BOSWORTH CHERIâ€‚[US];  MANROSS SEANâ€‚[US],KISS S & C INC,A21C15/04; B26B13/22,B26B13/22; A21C15/04,US20070999470,20071205,US20070999470 20071205; US20060873091P 20061207,,,,,,,,,,,,,,
Pizza oven for grill,US2006102167 (A1),18/05/2006,DRISCOLL JAMES P JRâ€‚[US],,F24C1/16; A21B1/52,A47J37/0629; A47J37/0623; A47J37/0658; A47J37/0786; A47J43/18,US20040988757,20041115,US20040988757 20041115,,,,,,,,,,,,,,
Refrigerator with auxiliary basket,US2008196439 (A1); US8220886 (B2),21/08/2008,HAN JAE MYUNGâ€‚[KR];  LIM JAE HOONâ€‚[KR],SAMSUNG ELECTRONICS CO LTDâ€‚[KR],F25D25/00; F25D25/02,F25D23/067; F25D25/025; F25D23/021; F25D2331/804; F25D2331/809,US20070984214,20071114,KR20070017465 20070221; KR20070063159 20070626,US6799818 (B2); US7111914 (B2); US6997526 (B2); DE19646206 (A1); US2705565 (A); US2944410 (A); US4840279 (A); US5598932 (A); US5820239 (A); US6742855 (B2); US6799818 (B2); US6908163 (B1); USD513270S (S1); US6971730 (B2); US6997526 (B2); US7111914 (B2); US7472974 (B2); US7552983 (B2); US2004100168 (A1); US2004178711 (A1); US2004217680 (A1); US2005073227 (A1); US2006061247 (A1); US2007273256 (A1); DE19646206 (A1); JPH11301717 (A),,,,,,,,KR20050117536 (A),,,,,
Sandwiches 'n more toddler utensil,US2008116705 (A1); US7862095 (B2),22/05/2008,RODRIGUEZ DEBORAH SUZANNEâ€‚[US],,B25B9/02,A47G21/10,US20070979422,20071102,US20060857256P 20061108; US20070979422 20071102,US1030729 (A); US1117740 (A); US2010074 (A); US2585089 (A); US2891814 (A); US2999713 (A); US4261608 (A); US4802704 (A); US4923234 (A); US5054226 (A); US5709423 (A); US5934721 (A); US6056342 (A); US6494517 (B1),,,,,,,,,,,,,
Doughless pizza and method of making same,US2006083843 (A1),20/04/2006,SOMMAGGIO LORENZO Gâ€‚[US],,A23C19/00,A23L1/0067; A23L1/2128,US20040970179,20041020,US20040970179 20041020,,,,,,,,,,,,,,
System and method for automatic generation of search results based on local intention,US2006085392 (A1),20/04/2006,WANG LEEâ€‚[US];  LI YINGâ€‚[US],MICROSOFT CORPâ€‚[US],G06F17/30,G06F17/3087,US20040953187,20040930,US20040953187 20040930,US2005108213 (A1); US2005060430 (A1); US2006026013 (A1); US2006004713 (A1),,,,,,,,,,,,,
INTELLIGENT USER INTERFACE FOR MULTI-PURPOSE OVEN USING INFRARED HEATING FOR REDUCED COOKING TIME,US2008141867 (A1),19/06/2008,CAVADA LUISâ€‚[US];  VALLEJO-NORIEGA ALVAROâ€‚[US];  VILBRANDT VICTORIAâ€‚[US],APPLICA CONSUMER PRODUCTS INC,A47J37/06; A21B1/00; A21B1/22; F27D11/00,F24C7/08,US20070926333,20071029,US20050319050 20051227; US20040776028 20040210; US20070926333 20071029; US20040815098 20040331,US4421015 (A); US2005132900 (A1),,,,,,,,,,,,,
Hot Food Vending Machine,US2008099501 (A1),01/05/2008,WARD GLENâ€‚[US],ABUDANZA INCâ€‚[US],G07F9/10; G07F7/00,G07F9/105; G07F17/0078,US20070923504,20071024,US20070923504 20071024; US20050551121 20050923; WO2004US09423 20040324; US20030457427P 20030324,,,,,,,,,,,,,,
Connectible pizza spacer,US7331459 (B2); US2006037885 (A1),23/02/2006,HILBOURNE JASONâ€‚[US],,B65D85/00; B65D81/26,B65D81/24; B65D81/361; B65D85/36; B65D2585/366; Y10S229/906,US20040921423,20040817,US20040921423 20040817,US3100459 (A); USD299773S (S); US5077050 (A); US5366144 (A); US5509601 (A); US5516036 (A); USD380792S (S); US6332533 (B1); US6803552 (B1),,,,,,,,US4498586 (A); US5173070 (A); US6439529 (B1),,,,,
A MICROWAVE FAT FRYING KIT AND FAT FRYING METHODS,US2006019001 (A1),26/01/2006,LEVINSON MELVIN Lâ€‚[US],,A23L1/01,A23L1/0128,US20050908742,20050524,US20050908742 20050524; US20040590625P 20040723,,,,,,,,,,,,,,
"Method for processing and/or assembling, the final composition of matter, and the resulting novel design of a stuffed base product and food stuffs and/or inserts to be known as Supreme Gourmet Burgers and Meatballs Stuffs and Wraps",US2006222739 (A1),05/10/2006,KIESLING VERA Aâ€‚[US],,A23L1/31,A23L1/3103,US20050907375,20050330,US20050907375 20050330,,,,,,,,,,,,,,
Flavor application on edible substrates,US2008075810 (A1),27/03/2008,WEN LU Fâ€‚[US];  HENRY WILLIAM J JRâ€‚[US];  SWAINE ROBERT Lâ€‚[US],,A23L1/22; A23L1/00,A23L1/035; A23L1/0061; A23L1/0252; A23L1/22008; A23V2002/00; A23V2300/48; A23V2002/00; A23V2200/08,US20070903634,20070924,US20070903634 20070924; US20060846443P 20060922,US2001053401 (A1),,,,,,,,,,,,,
