Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Method of preparing pizza dough,US6010731 (A),04/01/2000,KIMPLE ROBERT Jâ€‚[US],"KIMPLE, ROBERT J",A21B3/13; A21C11/00; A47J37/10; A21D8/00,A47J37/10; A21B3/13; A21C11/00; Y10S220/912; Y10S99/15,US19970907656,19970808,US19970907656 19970808; US19950504240 19950719,US305674 (A); US385683 (A); US684709 (A); US741348 (A); US1602053 (A); US1781302 (A); US1832117 (A); US2059353 (A); US2179512 (A); US2188757 (A); US2346839 (A); US2377936 (A); US2409021 (A); US2811152 (A); US3347181 (A); US3348716 (A); US3532247 (A); US3987719 (A); US4080884 (A); US4176591 (A); US4184421 (A); US4220134 (A); US4367243 (A); US4464405 (A); US4563946 (A); US4649053 (A); US4694961 (A); US5065889 (A); US5213028 (A); SE73348 (A); GB231965 (A); GB345443 (A),,,,,,,,,,,,,
Scoopable dough and products resulting therefrom,US2002001655 (A1); US6436458 (B2),03/01/2002,KUECHLE KATHYâ€‚[US];  BRAGINSKY IRINAâ€‚[US];  EL HMAMSI MOUNIRâ€‚[US];  HENRY LEOLAâ€‚[US];  FLOYD CHERIEâ€‚[US],PILLSBURY COMPANY INCâ€‚[US],A21D6/00; A21D10/04; A21D10/00,A21D10/045; A21D6/001,US20010898773,20010702,US20010898773 20010702; US20000523133 20000310,,,,,,,,,US3649304 (A); US3767421 (A); US3879563 (A); US4022917 (A); US4146652 (A); US4381315 (A); US4456625 (A); US4504510 (A); US4526801 (A); US4624856 (A); US4792456 (A); US4803084 (A); US4828853 (A); US4911939 (A); US4917914 (A); US4961937 (A); US5079012 (A); US5405636 (A); US5458903 (A); US5466476 (A); US5773068 (A); US5792499 (A); US5855945 (A); US5858440 (A); US6165524 (A); EP0145550 (A2); EP0620974 (A2); WO9904640 (A2),,,,,
Phone appliance with display screen and methods of using the same,US2002048283 (A1),25/04/2002,LIN CHING-YIâ€‚[US],LIN CHING-YI,G06Q30/00; H04L29/08; H04M1/247; H04M1/253; H04M3/487; H04M3/493; H04M7/00; H04L12/58; H04M3/42; H04J1/02; G06F15/16,H04L67/34; H04L67/22; G06Q30/02; H04M1/2471; H04M1/2473; H04M1/2478; H04M1/2535; H04M15/56; H04M15/83; H04M15/84; H04L69/329; H04L12/58; H04M2201/38; H04M2207/203; H04M2215/202; H04M2215/81; H04M2215/8129; H04M2250/22; H04M1/00,US20010896593,20010629,US20010896593 20010629; US20000214913P 20000629,,,,,,,,,,,,,,
Apparatus for the mechanized preparation of pizzas,US6363838 (B1),02/04/2002,TOMATIS STEFANOâ€‚[IT],C M T COSTRUZIONI MECCANICHE E TECNOLOGIA SPAâ€‚[IT],A21C11/00; A23L1/00; A21C3/02; A21C9/00; A21C11/06; A23L3/04,A21C11/00,US20010889394,20010716,WO2000IB00023 20000106; IT1999TO00041 19990122,US5012726 (A); US5117749 (A); US5121677 (A),,,,,,,,US2190483 (A); US2365699 (A); US3358618 (A); US3735692 (A); US3949660 (A); US4116119 (A); US4771726 (A); US5417989 (A); US5630358 (A); GB385035 (A); WO9013229 (A1); WO9804137 (A1); WO9908537 (A1),,,,,
PIZZA PEEL WITH ROTATABLE BLADE,US6530611 (B2); US2002180226 (A1),05/12/2002,MORETH R EDWARDâ€‚[US],"MORETH R. EDWARD, ; REMCO TECHNOLOGIES, INC",A21B3/00; A47J43/28; A47J43/28,A21B3/003; A47J43/28,US20010871930,20010601,US20010871930 20010601,US309437 (A); US927823 (A); US937520 (A); US1237317 (A); US1532020 (A); US1869299 (A); US4758035 (A); US5104166 (A); US5634679 (A),,,,,,,,,,,,,
Cooking grill with baking oven insert,US2002017290 (A1),14/02/2002,HINES ROBERT Sâ€‚[US],HINES ROBERT S,A47J37/01; A47J37/07; F24B3/00,A47J37/01; A47J37/0786,US20010858736,20010516,US20010858736 20010516; US19980112904P 19981218; US19990460365 19991213,,,,,,,,,,,,,,
Microwavable semi-circular pizza product and packaging combination,US6168812 (B1),02/01/2001,PAULUCCI JENO Fâ€‚[US],PAULUCCI JENO F,A21C9/08; A21C11/00; A21D13/00; B65D81/34; B65D81/34,A21D13/007; A21C9/086; A21C11/004; B65D81/3453; B65D2581/3406; B65D2581/3494,US19970844111,19970429,US19970844111 19970429,US4940867 (A); US5688427 (A),,,,,,,,USD234233S (S); USD251895S (S); USD277044S (S); USD332030S (S); USD338318S (S); USD339899S (S); USD354613S (S); USD393735S (S); USD399899S (S); US628449 (A); US969173 (A); US1174826 (A); US1179294 (A); US1646921 (A); US2089396 (A); US2509035 (A); US2668767 (A); US3143424 (A); US3235390 (A); US3677769 (A); US3845219 (A); US3880069 (A); US4020184 (A); US4205091 (A); US4283424 (A); US4283431 (A); US4308286 (A); US4308952 (A); US4313961 (A); US4361227 (A); US4416910 (A); US4463020 (A); US4551337 (A); US4574090 (A); US4626188 (A); US4645673 (A); US4661361 (A); US4696823 (A); US4753813 (A); US4842735 (A); US4842882 (A); US4891482 (A); US4907501 (A); US5071062 (A); US5104669 (A); US5162126 (A); US5180603 (A); US5182123 (A); US5194273 (A); US5196223 (A); US5247149 (A); US5256432 (A); US5268188 (A); US5348751 (A); US5405626 (A); US5417150 (A); US5417996 (A); US5529799 (A); US5560946 (A); US5585027 (A); US5968570 (A); DE3704192 (A1); GB2241863 (A); WO9407369 (A1),,,,,
Fluent material applicator,US2002020348 (A1); US6526908 (B2),21/02/2002,GARDNER JAMES Jâ€‚[US],"GARDNER JAMES J, ; J. E. GROTE COMPANY, INC",A21C9/04; B05C5/00,A21C9/04,US20010834320,20010413,US20000223158P 20000807; US20010834320 20010413,US5121677 (A); US5445674 (A); US5865895 (A); US5921170 (A),,,,,,,,US2872245 (A); US3631818 (A); US3648596 (A); US3982033 (A); US4197794 (A); US5318629 (A); US5855670 (A); USRE36178E (E); US5988521 (A),,,,,
Method and device for producing pizza,US6546847 (B2); US2001024671 (A1),27/09/2001,PILATI MARCOâ€‚[IT];  MALFATTI PIERLUIGIâ€‚[IT];  TORGHELE CLAUDIOâ€‚[IT],"PILATI MARCO, ; MALFATTI PIERLUIGI, ; TORGHELE CLAUDIO, ; CARPOS, S.A",A21C9/04; A21C9/08; A21C11/00; A21D13/00; A21C11/00,A21D13/007; A21C9/04; A21C9/083; A21C11/00; A21C11/006,US20010832409,20010411,WO1998EP05093 19980812; US20010832409 20010411; US19990294702 19990419; IT1997BZ00044 19970819,US3682106 (A); US4331858 (A); US4417867 (A); US4723614 (A); US4749581 (A); US4771913 (A); US5126159 (A); US5144879 (A); US5400699 (A); US5512312 (A),,,,,,,,US3631818 (A); US3735692 (A); US4010932 (A); US4087079 (A); US4093506 (A); US4630930 (A); US5113754 (A); US5121677 (A); US5158782 (A); US5322368 (A); US5486049 (A); US5921170 (A); US5997924 (A); AU6244386 (A); DE20001194U (U1); EP0056346 (A1); EP0554926 (A1); EP0708421 (A1); GB237889 (A); WO9013229 (A1); WO9632844 (A1); WO9804137 (A1),,,,,
Roller cutter with retractable and removable cutter wheel,US2001029671 (A1); US6438850 (B2),18/10/2001,YOUNG MICHAEL W Kâ€‚[US];  YOUNG WEIâ€‚[US],"YOUNG MICHAEL W.K, ; YOUNG WEI, ; PROGRESSIVE INTERNATIONAL CORP",B26B1/08; B26B25/00; B26B1/08,B26B25/005,US20010827265,20010405,US20000196875P 20000412; US20010827265 20010405,US5101564 (A); US5299355 (A); US5355588 (A); US5493781 (A); USD375435S (S); US5711077 (A); GB2040207 (A),,,,,,,,,,,,,
Temperature self-regulating food delivery system,US6444961 (B2); US2001019051 (A1),06/09/2001,CLOTHIER BRIAN Lâ€‚[US];  ABLAH AMIL Jâ€‚[US];  WOLTERS ROBERT Eâ€‚[US];  HEINE WILLIAM Wâ€‚[US];  MAY DAVID Eâ€‚[US],"CLOTHIER BRIAN L, ; ABLAH AMIL J, ; WOLTERS ROBERT E, ; HEINE WILLIAM W, ; MAY DAVID E, ; THERMAL SOLUTIONS, INC",H05B6/06; H05B6/12; H05B6/12,H05B6/06; H05B2213/06,US20010826782,20010405,US19980086033P 19980519; US19990314824 19990519; US20010826782 20010405,US3742179 (A); US4110587 (A); US4319109 (A); US4456807 (A); US4916290 (A); US5611328 (A); US5954984 (A); US6018143 (A); JPH03184291 (A),,,,,,,,,,,,,
"Method of and apparatus for applying and distributing a charge of a particulate material onto a top surface of a substrate, such as a pizza batter",US6531170 (B2); US2002022071 (A1),21/02/2002,HANSEN HENNING INGEMANNâ€‚[DK],"HANSEN HENNING INGEMANN, ; CABINPLANT INTERNATIONAL A/S",A21C9/04; A23P1/08,A21C9/04,US20010826375,20010403,EP20000610032 20000404,US3759218 (A); US4264634 (A); US5678476 (A),,,,,,,,US3012697 (A); US4152976 (A); US5078090 (A),,,,,
One-dish frozen dinner product having an integral bread ring and apparatus for shipping and preparing same,US2002164404 (A1); US6733808 (B2),07/11/2002,GOSSELIN AMY Lâ€‚[US];  COLE FRANKâ€‚[US];  GREINER STEVENâ€‚[US];  GUZOWSKI CHRISTOPHER Pâ€‚[US];  ZETTLEMOYER AMY LYNNEâ€‚[US];  SCHWAB BARBARA SUEâ€‚[US],KRAFT FOODS HOLDINGS INCâ€‚[US],A21B3/13; A47J36/02; A47J37/01; A47J36/36; B65D85/00,A21B3/13; A47J36/022; A47J37/01; A47J36/36,US20010822630,20010330,US20000729993 20001204; US20010822630 20010330,US3951053 (A); US5247149 (A); US5595773 (A); US5789009 (A); US5845805 (A); US6054697 (A); US6479087 (B1); JPH03254627 (A),,,,,,,,US4207348 (A); US4283424 (A); US4303677 (A); US4788067 (A); US4861601 (A); US4919946 (A); US5238692 (A); US6063413 (A),,,,,
Stackable pizza box support,US6439529 (B1),27/08/2002,WONG CHRISTOPHERâ€‚[US],WONG CHRISTOPHER,B65D81/05; B65D85/36; A47G29/00; B65D21/032,B65D81/05; B65D2585/366,US20010817576,20010326,US20010817576 20010326,US2699814 (A); US3100459 (A); US3180288 (A); US3641949 (A); US4498586 (A); US5077050 (A); US5173070 (A); US5341748 (A); USD363880S (S); US5509601 (A); US5516036 (A); US5791264 (A),,,,,,,,,,,,,
FOOD CUTTING UTENSIL,US2002129499 (A1); US6484407 (B2),19/09/2002,KHATCHADOURIAN PUZANTâ€‚[US];  CZAJKA EDWARDâ€‚[US],PUZANT KHATCHADOURIANâ€‚[US],B26B25/00; B26B25/00,B26B25/005,US20010808870,20010315,US20010808870 20010315,US900300 (A); US3262205 (A); US5428898 (A); US5555625 (A); USD397001S (S),,,,,,,,,,,,,
Sealable carton,US2001009262 (A1),26/07/2001,SAULAS ALAINâ€‚[FR],SAULAS ALAIN,B65D5/02; B65D5/20; B65D5/24,B65D5/2019; B65D5/02; B65D5/2033,US20010805350,20010313,GB19970002145 19970203; US20010805350 20010313; US19990355701 19990927,,,,,,,,,,,,,,
Bacon chips and patties,US2001008648 (A1); US6699520 (B2),19/07/2001,PAULOS WILLIAM Tâ€‚[US];  CHOATE GREGORY Kâ€‚[US],"PAULOS WILLIAM T, ; CHOATE GREGORY K, ; KRAFT FOODS, INC",A23L1/314; A23L1/317; A23B4/00,A23L1/31427; A23L1/317; A23L1/3175; A23L1/3177,US20010799985,20010306,US20010799985 20010306; US19990338159 19990622,US4567050 (A); US5482730 (A); US3565637 (A); US3642496 (A); US4377597 (A); US4196222 (A); US4262028 (A); US3663233 (A); US3890451 (A); US5925400 (A); US4107337 (A); US4218492 (A); US4057650 (A); US5690777 (A); US3997672 (A); US4305965 (A),,,,,,,,US3565637 (A); US3642496 (A); US3663233 (A); US3890451 (A); US3997672 (A); US4057650 (A); US4107337 (A); US4196222 (A); US4218492 (A); US4262028 (A); US4305965 (A); US4377597 (A); US4567050 (A); US5482730 (A); US5690777 (A); US5925400 (A),,,,,
Reducible carton for pizza pies and the like,US6375066 (B1),23/04/2002,RITTER KARL Mâ€‚[US],WEYERHAEUSER COâ€‚[US],B65D5/22; B65D5/355; B65D5/54; B65D5/66; B65D85/36; B65D5/54,B65D5/6658; B65D5/0005; B65D5/22; B65D5/5445; B65D85/36; B65D2585/366; Y10S229/906,US20010797888,20010301,US20010797888 20010301; US20000186254P 20000301,US3167240 (A); US3310220 (A); US4136817 (A),,,,,,,,US4712688 (A); US4817803 (A); US5071062 (A); US5110038 (A); US5305949 (A); US5669493 (A); US5806755 (A); US5836451 (A); US5881948 (A),,,,,
Heated food service shelf for warming cookies and the like,US2002040901 (A1),11/04/2002,LAKEN KEITHâ€‚[US];  SCHLESSELMAN JOHN Wâ€‚[US];  ARX THEODORE VONâ€‚[US],"LAKEN KEITH, ; SCHLESSELMAN JOHN W, ; ARX THEODORE VON",A47J36/24; B29C51/02; B29C51/12; B29C53/04; B29C65/02; B29C65/34; B29C70/82; B29C70/88; B32B1/02; B32B3/06; B32B3/08; B32B27/00; B32B37/20; B65D81/34; H05B3/36; B29C51/00; B29C65/00; H05B3/68; H05B3/36,A47J36/2483; B29C65/342; B29C65/3428; B29C65/3444; B29C65/3448; B29C70/82; B29C70/885; B29C66/433; B29C66/45; B29C66/83413; B29C66/91218; B29C66/91221; B29C66/91411; B29C66/91421; B29C66/91645; B29C66/91655; B32B27/00; B32B37/06; B32B37/206; B29C51/02; B29C51/12; B29C53/04; B29C65/02; B32B1/02; B32B3/06; B32B3/08; B65D81/3476; H05B3/36; B29C65/3412; B29L2031/779; B29C65/3468; B29C65/348; B29C66/82661; B29K2023/12; B29C51/00; B29C66/91214; B29C2793/0081; B32B2305/34; B32B2310/022; B32B2310/0806; B65D2581/3428; H05B2203/002; H05B2203/003; H05B2203/004; H05B2203/013; H05B2203/014; H05B2203/017; H05B2203/037; Y10T29/49082; Y10T29/49083; Y10T29/49085; B29C65/02; B29C65/00,US20010782352,20010212,US20010782352 20010212; US20000642215 20000818,,,,,,,,,,,,,,
Microwaveable pizza crust,US2002064586 (A1),30/05/2002,MCPHERSON ANDREW Eâ€‚[US];  CHEN WEIZHIâ€‚[US];  AKASHE AHMADâ€‚[US];  MILLER MIRANDAâ€‚[US],KRAFT FOODS HOLDINGS INCâ€‚[US],A21D2/16; A21D2/18; A21D10/00; A21D13/00; A21D13/00,A21D13/007; A21D2/16; A21D2/186; A21D10/00,US20010780771,20010209,US20010780771 20010209; US20000679484 20001004,,,,,,,,,,,,,,
Compressing and unifying food in aluminum foil molds,US6284301 (B1); US2001033886 (A1),25/10/2001,GARBO PAUL Wâ€‚[US],GARBO PAUL W,A21C11/00; A23P1/10; B21C3/00,A21C11/006; A23P1/105,US20010780319,20010212,US20010780319 20010212; US19990369161 19990805,US4973240 (A); US5960705 (A); US6004602 (A); US6026737 (A); US6136361 (A),,,,,,,,,,,,,
Method and apparatus for intelligent message insertion during a call,US2002103647 (A1),01/08/2002,HOUPLAIN JEAN FRANCOISâ€‚[FR],HOUPLAIN JEAN FRANCOIS,G10L15/26; G10L13/08,G10L15/26,US20010774103,20010131,US20010774103 20010131,,,,,,,,,,,,,,
Single-piece pizza container with fold and hold mechanism,US6386441 (B2); US2001032874 (A1),25/10/2001,PHILIPS NICHOLAS Aâ€‚[US],WEYERHAEUSER COâ€‚[US],B65D5/66; B65D85/36; B65D43/16,B65D5/6632; B65D5/6638; B65D85/36; B65D2585/366; Y10S229/906,US20010770936,20010125,US20010770936 20010125; US20000178088P 20000125,US3581976 (A); US4846398 (A); US5228617 (A); US5779135 (A); US5899377 (A); US6135347 (A); GB2076782 (A),,,,,,,,US1525360 (A); US1616014 (A); US1726108 (A); US1837602 (A); US1880191 (A); US2077694 (A); US2472674 (A); US2784900 (A); US2995290 (A); US3363824 (A); US3468469 (A); US3510051 (A); US3669341 (A); US4148429 (A); US4197981 (A); US4236740 (A); US4239148 (A); US4244507 (A); US4913340 (A); US5056710 (A); US5289970 (A); US5411204 (A); US5853121 (A),,,,,
Mechanical lock for paper carton,US6299059 (B1),09/10/2001,BERNSTEIN LINDA Aâ€‚[US],INT PAPER COâ€‚[US],B65D5/42; B65D5/68; B65D85/36; B65D45/00,B65D5/68; B65D5/4279; B65D85/36; B65D2585/366; Y10S229/902,US20010764255,20010119,US20010764255 20010119; US20000178053P 20000124,US3306520 (A); US4362266 (A); US5118033 (A); US5431333 (A); US5788145 (A); US6092719 (A),,,,,,,,US896600 (A); US2120470 (A); US3623650 (A); US3656611 (A); US3744707 (A); US3756497 (A); US3758017 (A); US3931926 (A); US5009366 (A); US5058803 (A); US5299734 (A); US5535940 (A); US5544806 (A); US5950912 (A); US6158652 (A),,,,,
Delivery indicator system,US2002089414 (A1),11/07/2002,BOGGS BRUCE Fâ€‚[US];  BODE JOHN Mâ€‚[US],"BOGGS BRUCE F, ; BODE JOHN M",G08B5/36; G08B5/00,G08B5/36,US20010756974,20010109,US20010756974 20010109; US20000213606P 20000621,,,,,,,,,,,,,,
Heat-retaining boxing and holding method for pizza,US2001000561 (A1),03/05/2001,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/22; B65D5/42; B65D5/66; B65D85/36; A21D13/00; B65B5/04; B65B63/08,B65D5/665; B65D5/6652; B65D5/6658; B65D5/2033; B65D5/2047; B65D5/22; B65D81/3853; B65D5/42; B65D2585/366; Y10T428/24248,US20000730294,20001205,US20000730294 20001205; US20000551245 20000417; US19990394784 19990913; US19980061302 19980416; US19960731586 19961016,,,,,,,,,,,,,,
Apparatus for shipping and preparing baked food products,US2002068117 (A1); US6962724 (B2),06/06/2002,GUZOWSKI CHRISTOPHER Pâ€‚[US];  ZETTLEMOYER AMY LYNNEâ€‚[US];  SCHWAB BARBARA SUEâ€‚[US],"GUZOWSKI CHRISTOPHER P, ; ZETTLEMOYER AMY LYNNE, ; SCHWAB BARBARA SUE, ; KRAFT FOODS HOLDINGS, INC",A21B3/13; A47J36/02; A47J37/01; A47J36/36; B65D85/00,A47J36/022; A47J37/01; A21B3/13; A47J36/36; Y10S99/15,US20000729993,20001204,US20000729993 20001204,US4911634 (A); US6054697 (A),,,,,,,,US793653 (A); US835212 (A); US843109 (A); US868312 (A); US1097367 (A); US1180782 (A); US1375539 (A); US1827062 (A); US1834402 (A); US1903682 (A); US2174425 (A); US2257408 (A); US2784664 (A); US3724711 (A); US3951053 (A); US3987719 (A); US4080884 (A); US4122324 (A); US4367243 (A); US4542271 (A); US4563946 (A); US4785968 (A); US4865219 (A); USD303908S (S); US4963708 (A); USD333590S (S); US5206045 (A); US5247149 (A); USD343548S (S); US5416304 (A); USD362995S (S); US5456162 (A); USD364533S (S); US5503063 (A); USD369941S (S); USD384550S (S); USD384857S (S); US5806411 (A); US5823098 (A); US5845805 (A); USD408215S (S); US6026739 (A); EP0316811 (B1),,,,,
Pizza pop-up toaster product,US6156356 (A),05/12/2000,KING K MICHAELâ€‚[US];  EOPECHINO AIMEEâ€‚[US];  EDWARDS AARON KEITHâ€‚[US];  CONNELL SUSAN PATRICIAâ€‚[US];  CHAMBERLAIN ELLEN KATEâ€‚[US];  BRENT JR JOHN Lâ€‚[US];  GANGLOFF MARY ELIZABETHâ€‚[US];  SHAFFER LANETTE MARIEâ€‚[US];  LANGDON JOANNE MARIEâ€‚[US],"KING, K. MICHAEL, ; EOPECHINO, AIMEE, ; EDWARDS, AARON KEITH, ; CONNELL, SUSAN PATRICIA, ; CHAMBERLAIN, ELLEN KATE, ; BRENT, JR., JOHN L, ; GANGLOFF, MARY ELIZABETH, ; SHAFFER, LANETTE MARIE, ; LANGDON, JOANNE MARIE",A21C9/06; A21D10/02; A21D13/00; A21D13/00; A21D10/04,A21D13/0032; A21C9/066; A21D10/025; A21D13/007,US19960727144,19961008,US19960727144 19961008; US19960018974P 19960604; US19960019076P 19960603,US3615679 (A); US3767823 (A); US4020188 (A); US4271200 (A); US4562080 (A); US4649053 (A); US4693899 (A); US4707374 (A); US4721622 (A); US4963377 (A); US5171599 (A); US5190780 (A); US5202138 (A); US5223292 (A); US5348751 (A); US5382440 (A); US5455059 (A); US5549923 (A); US5554406 (A),,,,,,,,,,,,,
Vending apparatus for dispensing hot pizzas,US2001002674 (A1); US6550632 (B2),07/06/2001,GUBBINI AMULIOâ€‚[IT];  DEMAGGIO GIOVANNIâ€‚[IT],"GUBBINI AMULIO, ; DEMAGGIO GIOVANNI, ; TOP VENDING SRL",G07F11/70; A21C9/08; A23L1/48; G07F9/10; G07F11/00; G07F11/42; G07F11/16; A47J27/00,A21C9/08; G07F9/105; G07F11/42; G07F17/0078,US20000726509,20001201,IT1999TO01068 19991203,US4848543 (A); US4878765 (A); US5352465 (A); US5472139 (A),,,,,,,,,,,,,
