Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
AUTOMATED PIZZA PREPARATION AND VENDING SYSTEM,PT2134183 (E),16/07/2014,KHATCHADOURIAN PUZANTâ€‚[US];  KOUYOUMDJIAN KRIKORâ€‚[US];  BRINI BERNARDOâ€‚[US];  PAPAKHIAN DANIELâ€‚[US];  SCURTU DRAGOSHâ€‚[US];  KAZARIAN ARAMâ€‚[US];  CARBONE PHILIPâ€‚[US];  PESCATORE PETERâ€‚[US];  BREKKEN MATTHEWâ€‚[US];  KING DARRELLâ€‚[US];  MCKENNEY KYLEâ€‚[US];  ELLIS WARRENâ€‚[US],K & G ENTPR LLCâ€‚[US],A21D8/02; A21C11/00; A21D13/00,A21C11/006; A21D13/007,PT20080730514T,20080222,US20070891218P 20070222,,,,,,,,,,,,,,
"APPARATUS AND METHODS FOR REHEATING WEDGE SHAPED FOOD PRODUCTS, SUCH AS ONE OR MORE PIZZA SLICES",US2014328989 (A1),06/11/2014,POKOTYLO JOHN CHARLESâ€‚[US],POKOTYLO JOHN CHARLESâ€‚[US],A47J43/28; A23L1/01,A23L1/0128; A47J43/283,US201414330592,20140714,US201414330592 20140714; US201213426370 20120321; US201161466406P 20110322,,,,,,,,,,,,,,
Detachable multifunctional pizza shovel,CN203914665 (U),05/11/2014,GUO JINGHUI,GUO JINGHUI,,,CN20142299128U,20140606,CN20142299128U 20140606,,,,,,,,,,,,,,
PIZZA OVEN,WO2014176285 (A1),30/10/2014,HEGARTY HARRYâ€‚[US];  JOHNSON LAWRENCE BYRONâ€‚[US];  EICKMEYER KURTâ€‚[US];  MARTENS BRYANâ€‚[US];  BIRD GREGâ€‚[US];  STEPHENSON MARKâ€‚[US];  VANLEEUWEN BRETTâ€‚[US],WOOD STONE CORPâ€‚[US];  HEGARTY HARRYâ€‚[US];  JOHNSON LAWRENCE BYRONâ€‚[US];  EICKMEYER KURTâ€‚[US];  MARTENS BRYANâ€‚[US];  BIRD GREGâ€‚[US];  STEPHENSON MARKâ€‚[US];  VANLEEUWEN BRETTâ€‚[US],F24C3/02; F24C3/12; F24C15/16,A21B1/33; A21B1/40; A21B1/44,WO2014US35044,20140422,US201361814748P 20130422,,,,,,,,,,,US4411920 (A); RU2052175 (C1); WO9220232 (A1); RU24357U (U1); SU1296111 (A1),,,
PIZZA DOUGH CONTAINING PUMPKIN POWDER AND MANUFACTURING PROCESS THEREOF,KR20140103536 (A),27/08/2014,PARK GEUM SOONâ€‚[KR];  KIM KYUNG EUNâ€‚[KR];  PARK SIN YEONâ€‚[KR];  LEE EUN JIâ€‚[KR];  JUN SAE ROMâ€‚[KR];  JUNG EUN YEOâ€‚[KR],CATHOLIC UNIV DAEGU INDUSTRY ACADEMIC COOPERATION FOUNDATIONâ€‚[KR],A21D8/06; A21D13/00; A23L1/212,,KR20130017021,20130218,KR20130017021 20130218,,,,,,,,,,,,,,
Foldable pizza cutter,TWM481804 (U),11/07/2014,LI DONG-XIANâ€‚[TW];  WU JING-FENGâ€‚[TW];  LIN SHENG-ENâ€‚[TW],LI DONG-XIANâ€‚[TW],B26B3/02,,TW20130221479U,20131118,TW20130221479U 20131118,,,,,,,,,,,,,,
PIZZA DOUGH COMPRISING MALTED BARLEY FLOUR,US2014308395 (A1),16/10/2014,COLE FRANK ARTHURâ€‚[US];  STUDTMANN JAMES CHRISTIANâ€‚[US];  HARDWICK JEREMYâ€‚[US],NESTEC SAâ€‚[CH],A21D13/00,A21D2/38; A21D13/007,US201214367656,20121130,US201214367656 20121130; US201161578574P 20111221; WO2012EP74179 20121130,,,,,,,,,,,,,,
SUGAR COOKIE PREPARATION COMPOSITION,RU2529060 (C1),27/09/2014,PETRUSHINA TAT JANA VLADIMIROVNAâ€‚[RU],SOJUZSNAB AOZTâ€‚[RU],A21D13/08,,RU20130115791,20130409,RU20130115791 20130409,,,,,,,,,,,,,,
CARDBOARD BOX FOR BAKERY,US2014299657 (A1),09/10/2014,GIUDILLI MICHELEâ€‚[IT],GIUDILLI MICHELEâ€‚[IT],B65D5/60; B31B7/00,B65D85/36; B65D2585/366; B31B7/00; B65D5/603; B31B2217/0069,US201214355675,20121102,IT2011FG00009 20111102; WO2012IB56101 20121102,,,,,,,,,,,,,,
METHOD FOR MANUFACTURING AN ICE CREAM-FILLED PIZZA,US2014295039 (A1),02/10/2014,PENSADO RIVAS GONZALOâ€‚[ES],PENSADO RIVAS GONZALOâ€‚[ES];  PANADERIA RIAL S Lâ€‚[ES],A21D8/02,A23G9/48; A23G9/506; A21D13/0022; A21D13/0041; A21D13/007; A21D8/02,US201214111567,20120510,ES20110000529 20110513; WO2012ES70331 20120510,,,,,,,,,,,,,,
MULTI SLICE PIZZA CUTTER,US2014290068 (A1),02/10/2014,TARQUINIO ROBERT KARLâ€‚[US],TARQUINIO ROBERT KARLâ€‚[US],A21C15/04,A21C15/04,US201313852651,20130328,US201313852651 20130328,US489647 (A); US1457233 (A); US3132423 (A); US4250618 (A); US5832800 (A); US5983503 (A); US6557260 (B1); US2006207110 (A1),,,,,,,,,,,,,
Multifunctional pizza oven,CN203828759 (U),17/09/2014,ZHANG CHUNYU,NINGBO WEIJIE ELECTRICAL APPLIANCES CO LTD,A47J37/06,,CN20142219625U,20140416,CN20142219625U 20140416,,,,,,,,,,,,,,
APPARATUS FOR CONVERTING HINGED-LID COOKING GRILLS FOR COOKING PIZZA,US2014251160 (A1),11/09/2014,CONTARINO JR ALFRED Fâ€‚[US],CONTARINO JR ALFRED Fâ€‚[US],A47J37/07,A47J37/0786,US201414203965,20140311,US201414203965 20140311; US201361776132P 20130311,,,,,,,,,,,,,,
FROZEN PIZZA PREPARATION PACKAGE AND METHOD,WO2014130755 (A1),28/08/2014,WEINSTEIN MICHAELâ€‚[US];  WEINSTEIN ROBERT Eâ€‚[US],WEINSTEIN MICHAELâ€‚[US];  WEINSTEIN ROBERT Eâ€‚[US],A21D8/00; A21D13/00; B65D81/34; B65D85/36,A21D8/06; A21D13/007; A21D15/02; B65D81/3453; A23V2200/08; B65D2581/3406; B65D2581/3498,WO2014US17541,20140221,US201361768603P 20130225; US201314073949 20131107; US201414183602 20140219,,,,,,,,,,,US2004234653 (A1); US6168812 (B1); WO9924331 (A1); US5247149 (A); US2002179697 (A1),,,
Frozen pizza preparation package and method,US2014242222 (A1),28/08/2014,WEINSTEIN MICHAELâ€‚[US];  WEINSTEIN ROBERTâ€‚[US],WEINSTEIN MICHAELâ€‚[US];  WEINSTEIN ROBERTâ€‚[US],A21D13/00,A21D13/007; B65D81/3453; B65D2581/3406; B65D2581/3498,US201314073949,20131107,US201314073949 20131107; US201361768603P 20130225,,,,,,,,,,,,,,
Pizza pan,USD711678 (S1),26/08/2014,VENTIMEGLIA JAMIE JOSEPHâ€‚[US];  VENTIMEGLIA THOMAS JOSEPHâ€‚[US];  VENTIMEGLIA JOEL MICHAELâ€‚[US],VENTIMEGLIA JAMIE JOSEPHâ€‚[US];  VENTIMEGLIA THOMAS JOSEPHâ€‚[US];  VENTIMEGLIA JOEL MICHAELâ€‚[US],,,US201329461476F,20130723,US201329461476F 20130723,,,,,,,,,,,,,,
SYSTEMS AND METHODS FOR MAKING SPENT GRAIN DOUGH PRODUCTS,US2014234489 (A1),21/08/2014,BROWN THOMASâ€‚[US];  ALLGEIER MARKâ€‚[US],BROWN THOMASâ€‚[US];  ALLGEIER MARKâ€‚[US],A21D8/02; A21D6/00,A21D2/368; A21D6/001; A21D10/025; A21D13/007; B09B3/0083; B09B5/00; F26B2200/06; A21D6/003; A21D8/02,US201314142359,20131227,US201314142359 20131227; US201261746996P 20121228,,,,,,,,,,,,,,
PIZZA STONE,CA154703 (S),13/08/2014,,LIFETIME BRANDS INCâ€‚[US],,,CA20140154703F,20140110,US201329476825F 20131217,,,,,,,,,,,,,,
SYSTEM FOR ORDERING PIZZA AND METHOD THEREFOR,WO2014123338 (A1),14/08/2014,KIM DEOK WOOâ€‚[KR];  KIM YOO NAâ€‚[KR],KIM DEOK WOOâ€‚[KR];  KIM YOO NAâ€‚[KR],G06Q50/12; G06Q50/04,G06Q30/06; G06Q50/04; G06Q50/12,WO2014KR00948,20140204,KR20130013524 20130206,,,,,,,,,,,,,,
FOOD KNEADING APPLIANCE,US2014219045 (A1),07/08/2014,CHEUNG SHU SANGâ€‚[CN];  PANG TO YINâ€‚[CN],CHEUNG SHU SANGâ€‚[CN];  PANG TO YINâ€‚[CN],A21C1/14,A47J43/0722; A47J43/085; A21C1/02; A21C1/1405; A21C1/1465; B01F7/00325; B01F7/166,US201313898488,20130521,CN2013265741U 20130205,,,,,,,,,,,,,,
Unfreezing processing method capable of restoring mouthfeel of quick-frozen pizza,CN103960746 (A),06/08/2014,YANG GUIFEN,YANG GUIFEN,A23L3/365,,CN2013134935,20130130,CN2013134935 20130130,,,,,,,,,,,,,,
PIZZA OVEN ACCESSORY FOR A BARBECUE,US2014196609 (A1),17/07/2014,SNYMAN ANTONâ€‚[ZA],SNYMAN ANTONâ€‚[ZA],A47J37/07,A47J37/043; A47J37/0658; A47J37/0786,US201214118550,20120516,ZA20110003655 20110519; WO2012ZA00033 20120516,,,,,,,,,,,,,,
CHICKEN GANG JEONG FOR PIZZA TOPPING AND MAKING METHOD OF IT,KR101410046 (B1),20/06/2014,KANG HWA SUBâ€‚[KR];  HWANG HA JINâ€‚[KR];  LEE MIN HOâ€‚[KR];  PARK IN SUâ€‚[KR],AGRICULTURAL CORP HOSUâ€‚[KR],A23L1/315; A21D13/00,,KR20130146569,20131128,KR20130146569 20131128,KR20020093681 (A); KR20040079300 (A); KR19980073801 (A); KR100846061B (B1),,,,,,,,,,,,,
STOVE PIZZA AND MAKING METHOD THEREOF,KR20140068574 (A),09/06/2014,JUNG RAE YEONGâ€‚[KR],GV FOODSYSTEM CO LTDâ€‚[KR],A21D8/06; A21D8/04,,KR20120136230,20121128,KR20120136230 20121128,,,,,,,,,,,,,,
PHONE APPLIANCE WITH DISPLAY SCREEN AND METHODS OF USING THE SAME,US2014192800 (A1),10/07/2014,LIN CHING-YIâ€‚[US],LIN CHING-YIâ€‚[US],H04M1/247; G06Q30/00; H04L29/08; H04M1/253; H04M3/487; H04M3/493; H04M7/00; H04L12/58; H04M3/42,H04L67/34; H04L67/22; G06Q30/02; H04M1/2471; H04M1/2473; H04M1/2478; H04M1/2535; H04M15/56; H04M15/83; H04M15/84; H04L69/329; H04L12/58; H04M2201/38; H04M2207/203; H04M2215/202; H04M2215/81; H04M2215/8129; H04M2250/22; H04M1/00,US201414176598,20140210,US201414176598 20140210; US20080106617 20080421; US20040909680 20040802; US20010896593 20010629; US20000214913P 20000629,,,,,,,,,,,,,,
Method of Using Modular Pizza Box,US2014191022 (A1),10/07/2014,VOLZ WILLIAM GERARDâ€‚[US];  WARE BRADY NEALâ€‚[US],VOLZ WILLIAM GERARDâ€‚[US];  WARE BRADY NEALâ€‚[US],B65D5/355; B65D5/54; B65D5/66,B65D5/6667; B65D5/0005; B65D2585/366,US201313734914,20130104,US201313734914 20130104,US2007267471 (A1); US2006255106 (A1); US2006054676 (A1); US2005189406 (A1); US2005150938 (A1); US2003201316 (A1); US2003047593 (A1); US7051919 (B1); US6676009 (B1); US6547125 (B2); US6440050 (B1); US6375066 (B1); US6336584 (B1); US6109512 (A); US5836451 (A); US5702054 (A); US5375761 (A); US5273206 (A); US5209392 (A); US5135790 (A); US5110038 (A); US5098757 (A); US5071062 (A); US4621736 (A); US4502514 (A); US4237171 (A); US4111306 (A); US3465946 (A); US3302855 (A); US3285496 (A); US3167240 (A); US3094267 (A); US2985075 (A); US2967010 (A); US1652748 (A); US1288132 (A); US8393529 (B2); EP1593606 (A2),,,,,,,,,,,,,
Rotary Cutter,US2014190020 (A1),10/07/2014,GALSTER GARET Kâ€‚[US];  ZDROIK RONALD Jâ€‚[US],GALSTER GARET Kâ€‚[US];  ZDROIK RONALD Jâ€‚[US],B26B25/00,B26B25/005; B26D3/24,US201414204044,20140311,US201414204044 20140311; US201113280332 20111024; US20100406115P 20101023,US417167 (A); US769081 (A); US895969 (A); US976496 (A); US1089671 (A); US1416106 (A); US1511892 (A); US1560355 (A); US1720305 (A); US1856435 (A); US1865368 (A); US1928718 (A); US2947084 (A); US3174223 (A); US3281938 (A); US3711945 (A); US3924328 (A); US4155142 (A); US4156968 (A); US4423551 (A); USD286608S (S); US4993157 (A); USD358306S (S); US5469622 (A); US6460254 (B1); US6484407 (B2); US7043843 (B2); US7591072 (B2); USD614925S (S1); US7823292 (B1); US8011103 (B2); US2002129499 (A1); US2007045390 (A1); US2007251098 (A1); US2009223068 (A1); US2010269359 (A1); US2010313432 (A1); US2012096719 (A1); US2014190020 (A1); JPS5228782 (A); JPH1156214 (A),,,,,,,,,,,,,
Imitated pizza cheese and preparation method thereof,CN103907693 (A),09/07/2014,ZHAO ZHENG;  CAI HAONAN;  HAN YAPENG;  TENG MEILING;  WANG YUE;  LI TONG,UNIV TIANJIN SCIENCE & TECH,A23C19/09; A23C19/093,,CN20141131435,20140403,CN20141131435 20140403,,,,,,,,,,,,,,
Double pizza box,US8770466 (B1),08/07/2014,TERLESKY ROBERT Jâ€‚[US];  MABRY DEBRA Kâ€‚[US],TERLESKY ROBERT Jâ€‚[US];  MABRY DEBRA Kâ€‚[US],B65D5/4805; B65D25/04,B65D5/48018; B65D2585/366,US201213485380,20120531,US201213485380 20120531; US201161536722P 20110920,US1411678 (A); US2850224 (A); US4836383 (A); US4944452 (A); US4957237 (A); US5351880 (A); US5445314 (A); US6685085 (B2); US6851601 (B1); US6915949 (B1); US2004108370 (A1); US2012111931 (A1),,,,,,,,US1731414 (A); US3211359 (A); USD261990S (S); USD303090S (S); USD306697S (S); USD471807S (S1); USD484047S (S1); US6752311 (B2); USD552987S (S1); USD553979S (S1); USD592968S (S1); USD649040S (S1); USD652717S (S1),,,,,
Low-temperature preservation method for modified atmosphere packaged pizza,CN103891856 (A),02/07/2014,YUAN DONGSHENG,TIANJIN TAIHENG GASES CO LTD,A21D15/02; A21D15/00,,CN20121589136,20121231,CN20121589136 20121231,,,,,,,,,,,,,,
PIZZA SLICE CONTAINER,US2014174039 (A1),26/06/2014,DIMEO MICHELE Nâ€‚[US],PIZZA ON DA GO LLCâ€‚[US],A47G19/03,A47G19/02; A45C11/20; B65D43/162; B65D43/163; B65D2585/366,US201314134646,20131219,US201314134646 20131219; US201261740933P 20121221,,,,,,,,,,,,,,
PROCESS FOR THE DEEP-FREEZING OF A SUBSTANTIALLY FLUID FOOD PREPARATION,US2014170294 (A1),19/06/2014,CEREA GIUSEPPINAâ€‚[IT],CEREA GIUSEPPINAâ€‚[IT];  AMBIENTE E NUTRIZIONE S R Lâ€‚[IT],A23L1/00; A23L1/39,A23L3/361; A23L3/375; A23P1/022; F25D3/11; A23L1/39; A23L1/0073,US201214235266,20120730,EP20110425206 20110729; WO2012EP03228 20120730,,,,,,,,,,,,,,
SOBORO BAGUETTE BURGER BREAD AND MANUFACTURING METHOD,KR101392641 (B1),07/05/2014,KIM BONG SOOâ€‚[KR],KIM BONG SOOâ€‚[KR],A21D13/00,,KR20140011010,20140129,KR20140011010 20140129,,,,,,,,,,,,,,
METHOD FOR MANUFACTURING PIZZA USING NUREUNGJI DOUGH,KR20140059464 (A); KR101414446 (B1),16/05/2014,OH JAI HYUNâ€‚[KR],SANMARU FARMING CO LTDâ€‚[KR],A21D13/00; A23L1/10; A23L1/182,,KR20120125951,20121108,KR20120125951 20121108,KR20050008472 (A); KR20070116234 (A),,KR101146239B (B1); KR20050112668 (A),,,,,,,,,,,
PIZZA DOUGH AND METHOD FOR MANUFACTURING SAME,WO2014087737 (A1),12/06/2014,KANATANI HIROYUKIâ€‚[JP];  ADACHI NORIFUMIâ€‚[JP],FUJI OIL CO LTDâ€‚[JP],A21D2/36; A21D2/22,A21D2/362; A21D13/007,WO2013JP77557,20131010,JP20120267614 20121206,,,,,,,,,,,JP2003274844 (A); WO2009011253 (A1); JP2000342211 (A); JPS61139331 (A); JP2000004851 (A); JPH10257847 (A); JPH10327739 (A); JPH0463538 (A); JP2001046851 (A); WO2007080722 (A1); JP2010136638 (A),,,
System and method for coupling receipt information with packaging,US2014156361 (A1),05/06/2014,HUGHES SEAN Pâ€‚[US],HUGHES SEAN Pâ€‚[US],G07G5/00,G07G5/00; G06Q20/209,US201213690864,20121130,US201213690864 20121130,US2005102179 (A1); US2007267146 (A1); USRE36876E (E),,,,,,,,,,,,,
Adjustable rotating blade assembly food preparation device,US2014150675 (A1),05/06/2014,TATENO CHIKARA Râ€‚[US],TATENO CHIKARA Râ€‚[US],A23N7/08,A23N7/08; A47J17/02; B26D1/553; B26D3/245; B26D3/26,US201413999210,20140130,US201413999210 20140130; US20090589683 20091027; US201213261174 20120209,,,,,,,,,,,,,,
"Oven for baking, grilling or cooking food e.g. pizza for use in e.g. garden, has individual segments that are formed partially in single layer or multilayer with integrated insulation",DE102013010377 (A1),12/06/2014,NEUMAIR JOSEFâ€‚[DE],NEUMAIR JOSEFâ€‚[DE],F24C1/16; A47J37/06; A47J37/07; F24B3/00,A47J37/0623; A47J37/0658; F24B3/00; F24C1/16,DE20131010377,20130620,DE20121020852 20121123; DE20131010377 20130620,,,,,,,,,,,,,,
CASE FOR SOLID FOOD OF THE CIRCULAR TYPE.,MX2012009573 (A),24/02/2014,GONAZALEZ WADI ELIM SOSAâ€‚[MX],GONAZALEZ WADI ELIM SOSAâ€‚[MX],B65D85/36; B65D85/00,,MX20120009573,20120817,MX20120009573 20120817,,,,,,,,,,,,,,
"Microwave apparatus for heating food product i.e pizza, has microwave distribution unit for launching microwaves into cooking space, where position of microwave distribution unit is adjusted at translatory mode by position adjustment device",DE102012222155 (A1),05/06/2014,DENGLER KLAUSâ€‚[DE];  GUGGENBERGER PETERâ€‚[DE];  KAISER ANDREASâ€‚[DE];  STEINBECK MARTIN-ERNSTâ€‚[DE];  VRIES MARKUS DEâ€‚[DE],BSH BOSCH UND SIEMENS HAUSGERÃ„TE GMBHâ€‚[DE],H05B6/72; H05B6/80,H05B6/725,DE201210222155,20121204,DE201210222155 20121204,,,,,,,,,,,,,,
APPARATUS FOR COOKING PIZZA IN KETTLE- OR KAMADO-STYLE COOKING GRILLS,US2014130788 (A1),15/05/2014,CONTARINO JR ALFRED Fâ€‚[US],CONTARINO JR ALFRED Fâ€‚[US],A47J37/07; A47J37/06,A47J37/067; A47J37/0704; A47J37/0786,US201314050706,20131010,US201314050706 20131010; US201261726700P 20121115,,,,,,,,,,,,,,
METHOD FOR PRODUCING GINSENG PIZZA WAFFLE AND GINSENG PIZZA WAFFLE PRODUCED BY THE SAME METHOD,KR101383093 (B1),08/04/2014,LEE NAM SUKâ€‚[KR],LEE NAM SUKâ€‚[KR],A21D8/06; A21D13/00; A23L1/09; A23L1/39,,KR20130004094,20130114,KR20130004094 20130114,KR940007881B (B1); KR20030059986 (A); KR960040162 (A),,KR100749789B (B1),,,,,,,,,,,
HANDLE HAVING IS PIZZA PACKING BOX,KR20140049235 (A),25/04/2014,JEONG BYUNG TAEâ€‚[KR],CHARMZONE BOXâ€‚[KR],B65D85/36; B65D5/42; B65D5/46,,KR20120115215,20121017,KR20120115215 20121017,,,,,,,,,,,,,,
WELL-BEING THIN PIZZA DOUGH AND A METHOD OF MANUFACTURING THE SAME AND USING THE SAME PIZZA,KR20140042231 (A),07/04/2014,LEE YOUNG JONâ€‚[KR],LEE YOUNG JONâ€‚[KR],A21D10/00; A21D8/02; A21D13/00,A21D10/02; A21D13/007,KR20120108710,20120928,KR20120108710 20120928,,,,,,,,,,,,,,
PIZZA DOUGH USING GLUTEN AND METHOD FOR MANUFACTURING THEREOF,KR20140041135 (A),04/04/2014,PARK MOOM CHULâ€‚[KR],PARK MOOM CHULâ€‚[KR],A21D8/04; A21D8/02; A21D13/00,,KR20120108144,20120927,KR20120108144 20120927,,,,,,,,,,,,,,
HANDLE HAVING PIZZA PACKING BOX,KR20140039901 (A); KR101445379 (B1),02/04/2014,JEONG BYUNG TAEâ€‚[KR],CHARMZONE BOXâ€‚[KR],B65D85/36; B65D5/18; B65D5/46,,KR20120106731,20120925,KR20120106731 20120925,KR20080005089U (U); KR20080004051U (U),,EP1123870 (A1); KR20100002802U (U),,,,,,,,,,,
PIZZA DOUGH PREMIX COMPOSITION CONTAINING RAMIE LEAF AND THE MANUFACTURING METHOD THEREOF,KR101428858 (B1); KR20140039815 (A),02/04/2014,LEE HYOUNG JUNâ€‚[KR],LEE HYOUNG JUNâ€‚[KR],A21D10/00; A21D2/36; A21D8/02,,KR20120106523,20120925,KR20120106523 20120925,KR100600483B (B1); KR20110109320 (A); KR20120040464 (A),,,,,,,,,,,,,
PIZZA BOX OVEN,CA152634 (S),28/04/2014,,TELASIA INCâ€‚[CA],,,CA20130152634F,20130829,CA20130152634F 20130829,,,,,,,,,,,,,,
