applicants,applicants_cleaned_type,applicants_organisations,applicants_original,inventors_cleaned,inventors_original,ipc_class,ipc_codes,ipc_names,ipc_original,ipc_subclass_codes,ipc_subclass_detail,ipc_subclass_names,priority_country_code,priority_country_code_names,priority_data_original,priority_date,publication_country_code,publication_country_name,publication_date,publication_date_original,publication_day,publication_month,publication_number,publication_number_espacenet_links,pubyear,title_cleaned,title_nlp_cleaned,title_nlp_multiword_phrases,title_nlp_raw,title_original
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;PASZTOR, Egon;EGNOR, Daniel","Egnor, Daniel; Pasztor, Egon","PASZTOR, EGON;EGNOR, DANIEL",G06: Computing,G06F 7/00,G06F 7/00: Methods or arrangements for processing data by operating upon the order or content of the data handled,G06F 7/00,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"60/658,214 02.03.2005 US, 11/366,162 01.03.2006 US",01.03.2006; 02.03.2005,WO,Patent Co-operation Treaty,0009-09-06,09.09.2006,9,9,WO2006094206,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2006094206,2006,Generating Structured Information,Structured Information,Structured Information,Structured Information,GENERATING STRUCTURED INFORMATION
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;AILON, Nir;LIBERTY, Edo;KHALSA, Harishabd","Ailon, Nir; Khalsa, Harishabd; Liberty, Edo","AILON, Nir;LIBERTY, Edo;KHALSA, Harishabd",G06: Computing,G06F 7/00,G06F 7/00: Methods or arrangements for processing data by operating upon the order or content of the data handled,G06F 7/00,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,"US 20081110 61/198,785",20081110,WO,Patent Co-operation Treaty,0015-05-10,15.05.2010,15,5,WO2010054349,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2010054349,2010,Method And System For Clustering Data Points,Data Points; method; System,Data Points,Data Points; method; System,Method and system for clustering data points
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;PANSARI, Ambar;EWING, Jessica, R.","Ewing, Jessica, R; Pansari, Ambar","PANSARI, Ambar;EWING, Jessica, R.",G06: Computing,G06Q 10/00,G06Q 10/00: Administration; Management,G06Q 10/00,G06Q,"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes","G06Q: Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For",US,United States of America,"11/394,197 31.03.2006 US",31.03.2006,WO,Patent Co-operation Treaty,0012-10-07,12.10.2007,12,10,WO2007115187,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2007115187,2007,Monetizing Service Calls Through Advertising,Advertiser; Service Calls,Service Calls,Advertising; Service Calls,Monetizing service calls through advertising
Google Inc,Corporate; People,Google Inc,Arini Nick;Google Inc.;OSullivan Debbie,"Arini, Nick; OSullivan, Debbie",Arini Nick;OSullivan Debbie,G06: Computing; H04: Electric Communication Technique,G06F 15/16; H04N 21/231; H04N 21/258; H04N 21/4788; H04N 21/81; H04N 21/8358; H04N 21/858,"G06F 15/16: Digital computers in general; Data processing equipment in general -> Combinations of two or more digital computers each having at least an arithmetic unit, a programme unit and a register, e.g. for a simultaneous processing of several programmes; H04N 21/231: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Servers specifically adapted for the distribution of content, e.g. VOD servers; Operations thereof -> Processing of content or additional data; Elementary server operations; Server middleware -> Content storage operation, e.g. caching movies for short term storage, replicating data over plural serversξor prioritizing data for deletion; H04N 21/258: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Servers specifically adapted for the distribution of content, e.g. VOD servers; Operations thereof -> Management operations performed by the server for facilitating the content distribution or administrating data related to end-users or client devices, e.g. end-user or client device authentication orξlearning user preferences for recommending movies -> Client or end-user data management, e.g. managing client capabilities, user preferences or demographicsξor processing of multiple end-users preferences to derive collaborative data; H04N 21/4788: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Client devices specifically adapted for the reception of, or interaction with, content, e.g. STB [set-top-box]; Operations thereof -> End-user applications -> Supplemental services, e.g. displaying phone caller identificationξor shopping application -> communicating with other users, e.g. chatting; H04N 21/81: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Generation or processing of content or additional data by content creator independently of the distribution process; Content <u>per se</u> -> Monomedia components thereof; H04N 21/8358: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Generation or processing of content or additional data by content creator independently of the distribution process; Content <u>per se</u> -> Generation or processing of protective or descriptive data associated with content; Content structuring -> Generation of protective data, e.g. certificates -> involving watermark; H04N 21/858: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Generation or processing of content or additional data by content creator independently of the distribution process; Content <u>per se</u> -> Assembly of content; Generation of multimedia applications -> Linking data to content, e.g. by linking an URL to a video objectξor by creating a hotspot",G06F 15/16;H04N 21/858;H04N 21/4788;H04N 21/81;H04N 21/258;H04N 21/231;H04N 21/8358,G06F; H04N,"G06F: Electric Digital Data Processing; H04N: Pictorial Communication, E.G. Television","G06F: Computing; Calculating; Counting -> Electric Digital Data Processing; H04N: Electric Communication Technique -> Pictorial Communication, E.G. Television",NA,NA,NA,NA,US,United States of America,0007-12-12,07.12.2012,7,12,US20120311074,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2012311074,2012,Methods For Displaying Content On A Second Device That Is Related To The Content Playing On A First Device,Content Playing; First Device; method; Second Device,Content Playing; First Device; Second Device,Content Playing; First Device; Methods; Second Device,Methods for displaying content on a second device that is related to the content playing on a first device
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;EGNOR, Daniel;GREENFIELD, Lawrence, Elias","Egnor, Daniel; Greenfield Lawrence Elias","EGNOR, Daniel;GREENFIELD, Lawrence, Elias",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"11/024,977 30.12.2004 US",30.12.2004,WO,Patent Co-operation Treaty,0014-07-06,14.07.2006,14,7,WO2006074055,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2006074055,2006,Location Extraction,location Extraction,location Extraction,location Extraction,LOCATION EXTRACTION
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;ARINI, Nick;OSULLIVAN, Debbie","Arini, Nick; OSullivan, Debbie","ARINI, Nick;OSULLIVAN, Debbie",H04: Electric Communication Technique,H04N 21/23; H04N 21/43; H04N 21/4402,"H04N 21/23: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Servers specifically adapted for the distribution of content, e.g. VOD servers; Operations thereof -> Processing of content or additional data; Elementary server operations; Server middleware; H04N 21/43: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Client devices specifically adapted for the reception of, or interaction with, content, e.g. STB [set-top-box]; Operations thereof -> Processing of content or additional data, e.g. demultiplexing additional data from a digital video stream; Elementary client operations, e.g. monitoring of home networkξor synchronizing decoder&apos;s clock; Client middleware; H04N 21/4402: Selective content distribution, e.g. interactive television, VOD [Video On Demand] -> Client devices specifically adapted for the reception of, or interaction with, content, e.g. STB [set-top-box]; Operations thereof -> Processing of content or additional data, e.g. demultiplexing additional data from a digital video stream; Elementary client operations, e.g. monitoring of home networkξor synchronizing decoder&apos;s clock; Client middleware -> Processing of video elementary streams, e.g. splicing a video clip retrieved from local storage with an incoming video streamξor rendering scenes according to MPEG-4 scene graphs -> involving reformatting operations of video signals for household redistribution, storage or real-time display",H04N 21/4402;H04N 21/43;H04N 21/23,H04N,"H04N: Pictorial Communication, E.G. Television","H04N: Electric Communication Technique -> Pictorial Communication, E.G. Television",US,United States of America,"61/492,745 02.06.2011 US, 13/174,612 30.06.2011 US",02.06.2011; 30.06.2011,WO,Patent Co-operation Treaty,0007-12-12,07.12.2012,7,12,WO2012166739,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2012166739,2012,Methods For Displaying Content On A Second Device That Is Related To The Content Playing On A First Device,Content Playing; First Device; method; Second Device,Content Playing; First Device; Second Device,Content Playing; First Device; Methods; Second Device,Methods for displaying content on a second device that is related to the content playing on a first device
Google Inc,Corporate; People,Google Inc,Gruenstein Alexander;Google Inc.;Byrne William J.,"Byrne, William, J; Gruenstein, Alexander",GRUENSTEIN Alexander;Byrne William J.,G06: Computing; G10: Musical Instruments; H04: Electric Communication Technique,G06F 13/00; G06F 17/00; G06Q 30/00; G10L 15/00; G10L 15/04; G10L 15/26; G10L 19/00; G10L 21/00; H04B 1/20,"G06F 13/00: Interconnection of, or transfer of information or other signals between, memories, input/output devices or central processing units; G06F 17/00: Digital computing or data processing equipment or methods, specially adapted for specific functions; G06Q 30/00: Commerce, e.g. shopping or e-commerce; G10L 15/00: Speech recognition; G10L 15/04: Speech recognition -> Segmentation; Word boundary detection; G10L 15/26: Speech recognition -> Speech to text systems; G10L 19/00: Speech or audio signal analysis-synthesis techniques for redundancy reduction, e.g. in vocoders; Coding or decoding of speech or audio signals,ξusing source filter models or psychoacoustic analysis; G10L 21/00: Processing of the speech or voice signal to produce another audible or non-audible signal, e.g. visual or tactile, in order to modify its quality or its intelligibility; H04B 1/20: Details of transmission systems, not covered by a single one of groups H04B0003000000-H04B0013000000 ; Details of transmission systems not characterised by the medium used for transmission -> Receivers -> Circuits -> for coupling gramophone pick-up, recorder output, or microphone to receiver",G10L 21/00;G06Q 30/00;G06F 17/00;G06F 13/00;H04B 1/20;G10L 15/00;G10L 15/26;G10L 19/00;G10L 15/04,G06F; G06Q; G10L; H04B,"G06F: Electric Digital Data Processing; G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; G10L: Speech Analysis Or Synthesis; H04B: Transmission","G06F: Computing; Calculating; Counting -> Electric Digital Data Processing; G06Q: Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For; G10L: Musical Instruments; Acoustics -> Speech Analysis Or Synthesis; Speech Recognition; Audio Analysis Or Processing; H04B: Electric Communication Technique -> Transmission",NA,NA,NA,NA,US,United States of America,0006-04-12,06.04.2012,6,4,US20120084079,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2012084079,2012,Integration Of Embedded And Network Speech Recognizers,Integrating; Network Speech Recognizers,Network Speech Recognizers,integration; Network Speech Recognizers,INTEGRATION OF EMBEDDED AND NETWORK SPEECH RECOGNIZERS
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;GRUENSTEIN, Alexander;BYRNE, William, J.","Byrne, William, J; Gruenstein, Alexander","GRUENSTEIN, Alexander;BYRNE, William, J.",G10: Musical Instruments,G10L 15/28,G10L 15/28: Speech recognition -> Constructional details of speech recognition systems,G10L 15/28,G10L,G10L: Speech Analysis Or Synthesis,G10L: Musical Instruments; Acoustics -> Speech Analysis Or Synthesis; Speech Recognition; Audio Analysis Or Processing,NA,NA,"US 20100607 12/794,896, US 20100126 61/298,251",20100126; 20100607,WO,Patent Co-operation Treaty,0005-08-11,05.08.2011,5,8,WO2011094215,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2011094215,2011,Integration Of Embedded And Network Speech Recognizers,Integrating; Network Speech Recognizers,Network Speech Recognizers,integration; Network Speech Recognizers,INTEGRATION OF EMBEDDED AND NETWORK SPEECH RECOGNIZERS
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;OCLAIR, Brian;EGNOR, Daniel;GREENFIELD, Lawrence Elias","Egnor, Daniel; Greenfield Lawrence Elias; OClair, Brian","OCLAIR, Brian;EGNOR, Daniel;GREENFIELD, Lawrence Elias",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"11/138,670 27.05.2005 US",27.05.2005,WO,Patent Co-operation Treaty,0008-12-06,08.12.2006,8,12,WO2006130463,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2006130463,2006,Scoring Local Search Results Based On Location Prominence,Local Search Results; Location Prominence,Local Search Results; Location Prominence,Local Search Results; Location Prominence,SCORING LOCAL SEARCH RESULTS BASED ON LOCATION PROMINENCE
Google Inc,Corporate; People,Google Inc,"GOOGLE, INC.;BEAUFAYS, Francoise;BYRNE, William, J.;STROPE, Brian","Beaufays, Francoise; Byrne, William, J; Strope, Brian","BEAUFAYS, Francoise;BYRNE, William, J.;STROPE, Brian",H04: Electric Communication Technique,H04N 7/025; H04N 7/10,"H04N 7/025: Television systems -> Systems for transmission of digital non-picture data, e.g. of text during the active part of a television frame; H04N 7/10: Television systems -> Adaptations for transmission by electrical cable",H04N 7/10;H04N 7/025,H04N,"H04N: Pictorial Communication, E.G. Television","H04N: Electric Communication Technique -> Pictorial Communication, E.G. Television",US,United States of America,"11/394,143 30.03.2006 US",30.03.2006,WO,Patent Co-operation Treaty,0009-11-07,09.11.2007,9,11,WO2007126717,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2007126717,2007,"Controlling The Serving Of Serially Rendered Ads, Such As Audio Ads",Ads; Audio Ads; Serving,Audio Ads,Ads; Audio Ads; Serving,"Controlling the serving of serially rendered ads, such as audio ads"
Google Inc,Corporate; People,Google Inc,Egnor Daniel;Google Inc.;Chaudry Geeta,"Chaudry Geeta; Egnor, Daniel",Egnor Daniel;Chaudry Geeta,G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,NA,NA,US,United States of America,0006-07-12,06.07.2012,6,7,US20120173544,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2012173544,2012,Authoritative Document Identification,authoritative Document Identification,authoritative Document Identification,authoritative Document Identification,AUTHORITATIVE DOCUMENT IDENTIFICATION
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;EGNOR, Daniel;CHAUDHRY, Geeta","Chaudhry, Geeta; Egnor, Daniel","EGNOR, DANIEL;CHAUDHRY, GEETA",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"11/024,967 30.12.2004 US",30.12.2004,WO,Patent Co-operation Treaty,0014-07-06,14.07.2006,14,7,WO2006074056,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2006074056,2006,Authoritative Document Identification,authoritative Document Identification,authoritative Document Identification,authoritative Document Identification,AUTHORITATIVE DOCUMENT IDENTIFICATION
Google Inc,Corporate; People,Google Inc,Marmaros David P.;Google Inc.;Gomes Benedict A.;Bharat Krishna,"Bharat, Krishna; Gomes Benedict A; Marmaros, David, P",Marmaros David P.;Gomes Benedict A.;Bharat Krishna,G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,NA,NA,US,United States of America,0020-11-09,20.11.2009,20,11,US20090287698,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2009287698,2009,Artificial Anchor For A Document,artificial Anchor; Document,artificial Anchor,artificial Anchor; Document,Artificial anchor for a document
Google Inc,Corporate; People,Google Inc,Marmaros David P.;Google Inc.;Gomes Benedict A.;Bharat Krishna,"Bharat, Krishna; Gomes Benedict A; Marmaros, David, P",Marmaros David P.;Gomes Benedict A.;Bharat Krishna,G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,NA,NA,US,United States of America,0002-03-12,02.03.2012,2,3,US20120054169,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2012054169,2012,Artificial Anchor For A Document,artificial Anchor; Document,artificial Anchor,artificial Anchor; Document,Artificial anchor for a document
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;GE, Xianping;PARMAR, Abhishek;SINGHAL, Amitabh K.;SMITH, Adam;EGNOR, Daniel;HAMON REID, Elizabeth","Egnor, Daniel; Ge, Xianping; Hamon Reid, Elizabeth; Parmar, Abhishek; Singhal, Amitabh K; Smith, Adam","GE, XIANPING;PARMAR, ABHISHEK;SINGHAL, AMITABH K.;SMITH, ADAM;EGNOR, DANIEL;HAMON REID, ELIZABETH",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"60/505,095 22.09.2003 US, 10/748,656 31.12.2003 US",22.09.2003; 31.12.2003,WO,Patent Co-operation Treaty,0008-04-05,08.04.2005,8,4,WO2005031613,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2005031613,2005,Methods And Systems For Improving A Search Ranking Using Location Awareness,Location Awareness; method; Search Ranking; System,Location Awareness; Search Ranking,Location Awareness; Methods; Search Ranking; systems,METHODS AND SYSTEMS FOR IMPROVING A SEARCH RANKING USING LOCATION AWARENESS
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;MARMAROS, David, P.;GOMES, Benjamin;BHARAT, Krishna","Bharat, Krishna; Gomes, Benjamin; Marmaros, David, P","MARMAROS, David, P.;GOMES, Benjamin;BHARAT, Krishna",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"10/750,183 31.12.2003 US",31.12.2003,WO,Patent Co-operation Treaty,0022-07-05,22.07.2005,22,7,WO2005066846,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2005066846,2005,Systems And Methods For Direct Navigation To Specific Portion Of Target Document,Direct Navigation; method; Specific Portion; System; Target Document,Direct Navigation; Specific Portion; Target Document,Direct Navigation; Methods; Specific Portion; systems; Target Document,Systems and methods for direct navigation to specific portion of target document
Google Inc,Corporate; People,Google Inc,Gharpure Chaitanya;Google Inc.;Chen Charles L.;Raman Tiruvilwamalai Venkatraman,"Chen, Charles, L; Gharpure, Chaitanya; Raman, Tiruvilwamalai, Venkatraman",Gharpure Chaitanya;Chen Charles L.;Raman Tiruvilwamalai Venkatraman,G06: Computing,G06F 15/16,"G06F 15/16: Digital computers in general; Data processing equipment in general -> Combinations of two or more digital computers each having at least an arithmetic unit, a programme unit and a register, e.g. for a simultaneous processing of several programmes",G06F 15/16,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,NA,NA,US,United States of America,0030-09-11,30.09.2011,30,9,US20110238735,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2011238735,2011,Trusted Maps: Updating Map Locations Using Trust-Based Social Graphs,Map Locations; Trust-Based Social Graphs; trusted Maps,Map Locations; Trust-Based Social Graphs; trusted Maps,Map Locations; Trust-Based Social Graphs; trusted Maps,Trusted maps: updating map locations using trust-based social graphs
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;GHARPURE, Chaitanya;CHEN, Charles, L.;RAMAN, Tiruvilwamalai, Venkatraman","Chen, Charles, L; Gharpure, Chaitanya; Raman, Tiruvilwamalai, Venkatraman","GHARPURE, Chaitanya;CHEN, Charles, L.;RAMAN, Tiruvilwamalai, Venkatraman",G01: Measuring,G01C 21/30,G01C 21/30: Navigation; Navigational instruments not provided for in groups G01C0001000000-G01C0019000000 -> specially adapted for navigation in a road network -> with correlation of data from several navigational instruments -> Map- or contour-matching,G01C 21/30,G01C,"G01C: Measuring Distances, Levels Or Bearings","G01C: Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry",US,United States of America,"12/749,441 29.03.2010 US",29.03.2010,WO,Patent Co-operation Treaty,0007-10-11,07.10.2011,7,10,WO2011123421,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2011123421,2011,Trusted Maps: Updating Map Locations Using Trust-Based Social Graphs,Map Locations; Trust-Based Social Graphs; trusted Maps,Map Locations; Trust-Based Social Graphs; trusted Maps,Map Locations; Trust-Based Social Graphs; trusted Maps,Trusted maps: updating map locations using trust-based social graphs
Google Inc,Corporate; People,Google Inc,"GOOGLE, INC.;LING, Benjamin, C.;WU, Jie, J.;DENG, Jian, Gong;FENG, Hanping","Deng, Jian, Gong; Feng, Hanping; Ling, Benjamin, C; Wu, Jie, J","LING, Benjamin, C.;WU, Jie, J.;DENG, Jian, Gong;FENG, Hanping",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"10/957,115 30.09.2004 US",30.09.2004,WO,Patent Co-operation Treaty,0014-04-06,14.04.2006,14,4,WO2006039004,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2006039004,2006,Method And System For Processing Queries Initiated By Users Of Mobile Devices,method; Mobile Device; Processing Queries; System; User,Mobile Device; Processing Queries,method; Mobile Devices; Processing Queries; System; Users,METHOD AND SYSTEM FOR PROCESSING QUERIES INITIATED BY USERS OF MOBILE DEVICES
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;KATRAGADDA, Lalitesh, Kumar;UNNIKRISHNAN, Sreejit;SINGH, Amardeep;SRIDHARAN, Kaushik;CHITLANGIA, Vinay;DE, Arijit","Chitlangia, Vinay; De, Arijit; Katragadda, Lalitesh, Kumar; Singh, Amardeep; Sridharan, Kaushik; Unnikrishnan, Sreejit","KATRAGADDA, Lalitesh, Kumar;UNNIKRISHNAN, Sreejit;SINGH, Amardeep;SRIDHARAN, Kaushik;CHITLANGIA, Vinay;DE, Arijit",G06: Computing,G06Q 50/10,"G06Q 50/10: Systems or methods specially adapted for a specific business sector, e.g. utilities or tourism -> Services",G06Q 50/10,G06Q,"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes","G06Q: Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For",IN,India,1289/CHE/2011 12.04.2011 IN,12.04.2011,WO,Patent Co-operation Treaty,0023-11-12,23.11.2012,23,11,WO2012158284,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2012158284,2012,Spreading User Activities To Interested Users Of A Community,Community; Interested Users; spreading User Activities,Interested Users; spreading User Activities,Community; Interested Users; spreading User Activities,Spreading User Activities to Interested Users of a Community
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;BRUNSMAN, Lawrence J.;RAJARAMAN, Sriram;DESHWAL, Priyendra;WYTOCK, Matthew D.;KATES, Sheridan","Brunsman, Lawrence J; Deshwal, Priyendra; Kates, Sheridan; Rajaraman, Sriram; Wytock, Matthew D","BRUNSMAN, Lawrence J.;RAJARAMAN, Sriram;DESHWAL, Priyendra;WYTOCK, Matthew D.;KATES, Sheridan",G06: Computing,G06F 7/00,G06F 7/00: Methods or arrangements for processing data by operating upon the order or content of the data handled,G06F 7/00,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,US,United States of America,"12/838,948 19.07.2010 US",19.07.2010,WO,Patent Co-operation Treaty,0027-01-12,27.01.2012,27,1,WO2012012233,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2012012233,2012,Targeting Content Without Keywords,Keywords,NA,Keywords,TARGETING CONTENT WITHOUT KEYWORDS
Google Inc,Corporate; People,Google Inc,"GOOGLE INC.;CHAPIN, Charles;LAFON, Stephane;ROMAN, Augusto;TANG, Xinyu;AGARWAL, Shalini;NANAVATI, Vibhor;VINCENT, Luc;CHAU, Stephen","Agarwal, Shalini; Chapin, Charles; Chau, Stephen; Lafon, Stephane; Nanavati, Vibhor; Roman, Augusto; Tang, Xinyu; Vincent, Luc","CHAPIN, CHARLES;LAFON, STEPHANE;ROMAN, AUGUSTO;TANG, XINYU;AGARWAL, SHALINI;NANAVATI, VIBHOR;VINCENT, LUC;CHAU, STEPHEN",G06: Computing,G06Q 30/00,"G06Q 30/00: Commerce, e.g. shopping or e-commerce",G06Q 30/00,G06Q,"G06Q: Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes","G06Q: Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For",NA,NA,"US 20090513 12/454,172",20090513,WO,Patent Co-operation Treaty,0019-11-10,19.11.2010,19,11,WO2010132653,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=WO2010132653,2010,System And Method Of Searching Based On Orientation,method; Orientation; Search; System,NA,method; Orientation; Searching; System,SYSTEM AND METHOD OF SEARCHING BASED ON ORIENTATION
Google Inc,Corporate; People,Google Inc,"Chen Liren;Google Inc.;Cai Chao;Ewald Eric W.;Tangney Cameron M.;Walker, II Robert A.;Tulsi Japjit;Lei Ming;He Zhimin;Nandy Sagnik;Amara Ashok Babu","Amara Ashok Babu; Cai, Chao; Chen, Liren; Ewald, Eric W; He, Zhimin; Lei, Ming; Nandy Sagnik; Tangney, Cameron M; Tulsi, Japjit; Walker, Robert A., Ii","Chen Liren;Cai Chao;Ewald Eric W.;Tangney Cameron M.;Walker, II Robert A.;Tulsi Japjit;Lei Ming;He Zhimin;Nandy Sagnik;Amara Ashok Babu",G06: Computing,G06F 17/30,"G06F 17/30: Digital computing or data processing equipment or methods, specially adapted for specific functions -> Information retrieval; Database structures therefor",G06F 17/30,G06F,G06F: Electric Digital Data Processing,G06F: Computing; Calculating; Counting -> Electric Digital Data Processing,NA,NA,NA,NA,US,United States of America,0016-12-11,16.12.2011,16,12,US20110307515,http://v3.espacenet.com/textdoc?DB=EPODOC&IDX=US2011307515,2011,Conversion Path Performance Measures And Reports,conversion Path Performance Measures; Reports,conversion Path Performance Measures,conversion Path Performance Measures; Reports,CONVERSION PATH PERFORMANCE MEASURES AND REPORTS
