applicants_orgs_all,publication_number,applicants_orgs_all_1
The Pillsbury Company,WO1989004585,The Pillsbury Company
Alko Ltd,WO1994028743,Alko Ltd
Novus Foods Ltd,WO1997003572,Novus Foods Ltd
Nextspace Technologies Pty Ltd,WO2004097341,Nextspace Technologies Pty Ltd
"J.H. Trademark Company, L.L.C",WO2004030414,"J.H. Trademark Company, L.L.C"
"Quadlux, Inc",WO1999030565,"Quadlux, Inc"
"Frito-Lay North America, Inc",WO2014138263,"Frito-Lay North America, Inc"
"Prasara Technologies, Inc",US6678891,"Prasara Technologies, Inc"
Bellsouth Intellectual Property Corporation,US5878126,Bellsouth Intellectual Property Corporation
AT&T Corp,US20100076829,AT&T Corp
AT&T Corp,US20140188621,AT&T Corp
Du Pont,EP0242952,Du Pont
"Volt Delta Resources, Llc",CA2703768,"Volt Delta Resources, Llc"
Yahoo! Inc,EP2672403,Yahoo! Inc
Leprino Foods Company,WO2005107487,Leprino Foods Company
"Shanghai Chule (Cootek) Information Technology Co, Ltd",WO2012083518,"Shanghai Chule (Cootek) Information Technology Co, Ltd"
"Contentguard Holdings, Inc",US20040024670,"Contentguard Holdings, Inc"
Tipe Reven Ab,US4252055,Tipe Reven Ab
Societe DAssistance Technique Pour Produits Nestle S.A,US4388329,Societe DAssistance Technique Pour Produits Nestle S.A
General Electric Company,US4859529,General Electric Company
The Pillsbury Company,US5350904,The Pillsbury Company
Vestvaco Corporation,US5217765,Vestvaco Corporation
The Pillsbury Company,US5220143,The Pillsbury Company
Westvaco Corporation,US5132144,Westvaco Corporation
LG Electronics Inc,US6172347,LG Electronics Inc
LG Electronics Inc,US20010032838,LG Electronics Inc
Nestec,US5888574,Nestec
Imt Robot Ag,US20030069666,Imt Robot Ag
Sergeant Pet Care Products Inc,US20060191423,Sergeant Pet Care Products Inc
Yahoo! Inc,US20090119610,Yahoo! Inc
"Graphic Packaging International, Inc",US20090230126,"Graphic Packaging International, Inc"
LG Electronics Inc,US20100192784,LG Electronics Inc
"Cfph, Llc",US20110191194,"Cfph, Llc"
"Graphic Packaging International, Inc",US20130256303,"Graphic Packaging International, Inc"
Research In Motion Limited,US20130172014,Research In Motion Limited
Yahoo! Inc,US20140018136,Yahoo! Inc
"Cfph, Llc",US20140019272,"Cfph, Llc"
"Quadlux, Inc",WO1997007723,"Quadlux, Inc"
Thermapak Pty. Ltd,WO2008028222,Thermapak Pty. Ltd
Telefonaktiebolaget Lm Ericsson (Publ,WO2003036900,Telefonaktiebolaget Lm Ericsson (Publ
Google Inc,WO2005031614,Google Inc
Google Inc,WO2011066500,Google Inc
"Smalltown, Inc",WO2008019000,"Smalltown, Inc"
Google Inc,WO2014070917,Google Inc
"Kraft General Foods, Inc",US5144106,"Kraft General Foods, Inc"
"Kraft General Foods, Inc",US4795649,"Kraft General Foods, Inc"
"Dart Controls, Inc",US4873473,"Dart Controls, Inc"
"Kraft General Foods, Inc",US4963708,"Kraft General Foods, Inc"
Du Pont,US5177332,Du Pont
"Fujisawa Pharmaceutical Co., Ltd",US6013298,"Fujisawa Pharmaceutical Co., Ltd"
Google Inc,US20050065916,Google Inc
Islander Innovations Llc,US20050051157,Islander Innovations Llc
Sandia Corporation,US6955110,Sandia Corporation
Verizon Laboratories Inc,US20090110159,Verizon Laboratories Inc
Google Inc,US20090327286,Google Inc
"Nuance Communications, Inc",US20100279667,"Nuance Communications, Inc"
E.G.O. Elektro-Geraetebau Gmbh,US20100012645,E.G.O. Elektro-Geraetebau Gmbh
Microsoft Corporation,US20100250126,Microsoft Corporation
Microsoft Corporation,US20120016586,Microsoft Corporation
Microsoft Corporation,US08600033,Microsoft Corporation
"Nuance Communications, Inc",US20140257792,"Nuance Communications, Inc"
"Nuance Communications, Inc",US20140257794,"Nuance Communications, Inc"
"Nuance Communications, Inc",US20140257793,"Nuance Communications, Inc"
"Nuance Communications, Inc",US20150006284,"Nuance Communications, Inc"
"Peggy Brown Creative Consulting, Llc",US20140367293,"Peggy Brown Creative Consulting, Llc"
"Ydreams - Informatica, S.A",WO2011034453,"Ydreams - Informatica, S.A"
"NunzioS Pizza, Inc",US5287948,"NunzioS Pizza, Inc"
Corning Glass Works,US4500549,Corning Glass Works
Unimac S.R.L,US4693900,Unimac S.R.L
Increment P Corporation,US20010013031,Increment P Corporation
"Lincoln Foodservice Products, Inc",US6171630,"Lincoln Foodservice Products, Inc"
"H & M Food Systems Company, Inc",US5942265,"H & M Food Systems Company, Inc"
"Intellisist, Llc",US20030083806,"Intellisist, Llc"
International Business Machines Corporation,US20040071275,International Business Machines Corporation
"Samsung Electronics Co., Ltd",US20030183625,"Samsung Electronics Co., Ltd"
AT&T Corp,US6687349,AT&T Corp
"Simpledine, Inc",US20050108097,"Simpledine, Inc"
"Intellisist, Llc",US20070073472,"Intellisist, Llc"
International Paper Company,US20080237328,International Paper Company
AT&T Corp,US20090112600,AT&T Corp
"Wi-Gui, Llc",US20110004403,"Wi-Gui, Llc"
Evonik Dugussa Gmbh,US20090250511,Evonik Dugussa Gmbh
AT&T Corp,US20110246184,AT&T Corp
Yahoo! Inc,US20110107363,Yahoo! Inc
Google Inc,WO2011146839,Google Inc
Frisco Findus Ag,EP0121579,Frisco Findus Ag
Tecnoprogetti S.R.L,EP0166188,Tecnoprogetti S.R.L
Bayer Healthcare Llc,EP2394576,Bayer Healthcare Llc
Westvaco Corporation,EP0569646,Westvaco Corporation
Waddingtons Cartons Limited,EP0493454,Waddingtons Cartons Limited
Lucent Technologies Inc,EP0800320,Lucent Technologies Inc
The Mead Corporation,EP1030775,The Mead Corporation
Foodinvest Group Srl,EP0908102,Foodinvest Group Srl
LG Electronics Inc,EP0977468,LG Electronics Inc
LG Electronics Inc,EP0977466,LG Electronics Inc
Kerry Inc,EP1420656,Kerry Inc
Nestle Sa,EP1356744,Nestle Sa
G M Piccoli S R L,EP2042038,G M Piccoli S R L
Avaya Inc,EP2083569,Avaya Inc
Avaya Technology Llc,EP2083568,Avaya Technology Llc
Nestle Sa,EP1036744,Nestle Sa
The Pillsbury Company,EP0765121,The Pillsbury Company
Avtec Ind Inc,EP0779964,Avtec Ind Inc
Radie B V,EP2698064,Radie B V
"Avtec Industries, Inc",CA2197886,"Avtec Industries, Inc"
Blmh Technologies Inc,CA2794568,Blmh Technologies Inc
Kerry Inc,CA2455717,Kerry Inc
Maytag Corporation,CA2486850,Maytag Corporation
"General Mills, Inc",CA2542534,"General Mills, Inc"
Bayer Healthcare Llc,CA2598577,Bayer Healthcare Llc
Saskatchewan Egg Producers,CA2566763,Saskatchewan Egg Producers
Papaman Industries (Pty) Ltd,ZA199300915,Papaman Industries (Pty) Ltd
"J. E. Grote Company, Inc",CA2517282,"J. E. Grote Company, Inc"
Societe Des Produits Nestle S.A,CA2256788,Societe Des Produits Nestle S.A
"Turbochef, Inc",CA2282742,"Turbochef, Inc"
Lucent Technologies Inc,CA2199879,Lucent Technologies Inc
Zesto Food Equipment Manufacturing Inc,CA2273326,Zesto Food Equipment Manufacturing Inc
The Mead Corporation,CA2310245,The Mead Corporation
"Kraft General Foods, Inc",CA2150515,"Kraft General Foods, Inc"
The Garland Group,CA2415406,The Garland Group
Avaya Technology Llc,CA2640467,Avaya Technology Llc
LG Electronics Inc,EP0976975,LG Electronics Inc
"Kraft General Foods, Inc",US5354566,"Kraft General Foods, Inc"
Fairmont Foods Company,US4208443,Fairmont Foods Company
Pet Incorporated,US4331858,Pet Incorporated
"Mastermatic, Inc",US4960100,"Mastermatic, Inc"
James River Corporation,US5203491,James River Corporation
Super Internet Site System Pty Ltd,US20030023586,Super Internet Site System Pty Ltd
International Business Machines Corporation,US20050243986,International Business Machines Corporation
"Automatic Bar Controls, Inc",US6969015,"Automatic Bar Controls, Inc"
"Samsung Electronics Co., Ltd",US20060165077,"Samsung Electronics Co., Ltd"
Google Inc,US20100191797,Google Inc
Google Inc,US20110282871,Google Inc
Google Inc,US08782030,Google Inc
Google Inc,US20100191798,Google Inc
Google Inc,US20140089336,Google Inc
"Veveo, Inc",WO2008091941,"Veveo, Inc"
"Graphic Packaging International, Inc",WO2008137525,"Graphic Packaging International, Inc"
Google Inc,WO2009094586,Google Inc
"Ldi Mfg. Co., Inc",WO1995033160,"Ldi Mfg. Co., Inc"
Elisa Communications Oyj,WO2002052459,Elisa Communications Oyj
"Cardlytics, Inc",WO2010047854,"Cardlytics, Inc"
Whirlpool Co,EP2393339,Whirlpool Co
Sumitomo Electric Industries,EP0417316,Sumitomo Electric Industries
ICO Services Ltd,EP0987839,ICO Services Ltd
"Hewlett-Packard Development Company, L.P",EP1100034,"Hewlett-Packard Development Company, L.P"
"Ultravection International, Inc",CA2191730,"Ultravection International, Inc"
Opentv Inc,EP2725541,Opentv Inc
James River Corporation,EP0369192,James River Corporation
University Of Ontario Institute Of Technology,WO2008131555,University Of Ontario Institute Of Technology
"Adaytum Software, Inc",WO2002011041,"Adaytum Software, Inc"
Microsoft Corporation,WO2008080131,Microsoft Corporation
Yahoo! Inc,WO2010093618,Yahoo! Inc
Vonage Network Llc,WO2014209666,Vonage Network Llc
"Graphic Packaging International, Inc",EP2506678,"Graphic Packaging International, Inc"
Google Inc,CA2761797,Google Inc
"General Mills, Inc",CA2737347,"General Mills, Inc"
"Graphic Packaging International, Inc",CA2666893,"Graphic Packaging International, Inc"
"The Delfin Project, Inc",CA2306396,"The Delfin Project, Inc"
"Fatdoor, Inc",US20090019122,"Fatdoor, Inc"
International Business Machines Corporation,US20140210590,International Business Machines Corporation
Vonage Network Llc,WO2013025747,Vonage Network Llc
"General Mills, Inc",WO2005048725,"General Mills, Inc"
Rich Products Corporation,WO2003063595,Rich Products Corporation
Google Inc,WO2010008464,Google Inc
Innovation Alps S.A,WO2013050866,Innovation Alps S.A
Google Inc,WO2013180993,Google Inc
Microsoft Corporation,WO2014158922,Microsoft Corporation
"Kraft General Foods, Inc",US5063073,"Kraft General Foods, Inc"
Intellocity Usa Inc,US20030028873,Intellocity Usa Inc
Intellocity Usa Inc,US20090094637,Intellocity Usa Inc
"Zoomdata, Inc",US08631325,"Zoomdata, Inc"
Gen Mills Marketing Inc,EP1150902,Gen Mills Marketing Inc
Nestle Sa,EP1043247,Nestle Sa
"General Mills, Inc",CA2362274,"General Mills, Inc"
The Pillsbury Company,WO1989011772,The Pillsbury Company
Ipdev Co,WO2002027439,Ipdev Co
Nestec,US5399492,Nestec
Wisconsin Alumni Research Foundation,US4915971,Wisconsin Alumni Research Foundation
The Pillsbury Company,US5382441,The Pillsbury Company
"H & M Food Systems Company, Inc",US20020071899,"H & M Food Systems Company, Inc"
Google Inc,US20050149576,Google Inc
Chr. Hansen A/S,US20080220123,Chr. Hansen A/S
Google Inc,US20090287698,Google Inc
The Board Of Trustees Of The Leland Stanford Junior University,US20100224950,The Board Of Trustees Of The Leland Stanford Junior University
Google Inc,US20120054169,Google Inc
"Prasara Technologies, Inc",WO2000031972,"Prasara Technologies, Inc"
Leprino Foods Company,WO2005107485,Leprino Foods Company
Danisco A/S,US20070042184,Danisco A/S
"Graphic Packaging International, Inc",US20090032529,"Graphic Packaging International, Inc"
Verizon Patent And Licensing Inc,US20090089183,Verizon Patent And Licensing Inc
Fonterra Co-Operative Group Limited,US20100062110,Fonterra Co-Operative Group Limited
LG Electronics Inc,US20100127066,LG Electronics Inc
"Contentguard Holdings, Inc",WO2003094076,"Contentguard Holdings, Inc"
Akpharma Inc,US5869119,Akpharma Inc
Spice Sciences Oy,US6531463,Spice Sciences Oy
"Kargo, Inc",US20030169282,"Kargo, Inc"
"Kargo, Inc",US20040174400,"Kargo, Inc"
"Optical Entertainment Network, Inc",US20060253323,"Optical Entertainment Network, Inc"
Electronic Credit Systems Corporation,US20080221992,Electronic Credit Systems Corporation
Kenshoo Ltd,US20080201324,Kenshoo Ltd
"De Luca Oven Technologies, Llc",US20100169196,"De Luca Oven Technologies, Llc"
"De Luca Oven Technologies, Llc",US20120237646,"De Luca Oven Technologies, Llc"
Research In Motion Limited,WO2013085505,Research In Motion Limited
Wisconsin Alumni Research Foundation,WO1986000501,Wisconsin Alumni Research Foundation
"Graphic Packaging International, Inc",WO2008052096,"Graphic Packaging International, Inc"
International Cup Corporation,WO2006009779,International Cup Corporation
"Advertising.Com, Inc",WO2001080135,"Advertising.Com, Inc"
"Motorola, Inc",WO1997012452,"Motorola, Inc"
Arcelik Anonim Sirketi,WO2012032083,Arcelik Anonim Sirketi
Research In Motion Limited,EP2354761,Research In Motion Limited
"Samsung Electronics Co., Ltd",EP2672360,"Samsung Electronics Co., Ltd"
"Graphic Packaging International, Inc",CA2741379,"Graphic Packaging International, Inc"
Google Inc,CA2592517,Google Inc
Research In Motion Limited,CA2728255,Research In Motion Limited
The Pillsbury Company,WO1994023583,The Pillsbury Company
"Ballreich Bros., Inc",WO2013049040,"Ballreich Bros., Inc"
"Motorola, Inc",WO2007005223,"Motorola, Inc"
Google Inc,WO2005031613,Google Inc
"Nuance Communications, Inc",WO2008147919,"Nuance Communications, Inc"
"A9.Com, Inc",US20050216186,"A9.Com, Inc"
"A9.Com, Inc",US20080189130,"A9.Com, Inc"
"A9.Com, Inc",US20140058839,"A9.Com, Inc"
"Intellisist, Llc",WO2003079310,"Intellisist, Llc"
"Lincoln Foodservice Products, Inc",WO2000053021,"Lincoln Foodservice Products, Inc"
Yahoo! Inc,WO2011056678,Yahoo! Inc
"Nuance Communications, Inc",WO2014164484,"Nuance Communications, Inc"
"J. E. Grote Company, Inc",WO2001058278,"J. E. Grote Company, Inc"
Super Internet Site System Pty Ltd,WO2001065426,Super Internet Site System Pty Ltd
Northern Telecom Limited,WO1998057501,Northern Telecom Limited
Google Inc,WO2010085791,Google Inc
"Papa JohnS International, Inc",WO2012033809,"Papa JohnS International, Inc"
Patentsmith Corporation,US5205274,Patentsmith Corporation
Patentsmith Corporation,US5398666,Patentsmith Corporation
Cognos Incorporated,US20040064327,Cognos Incorporated
"Adaytum, Inc",US20040064433,"Adaytum, Inc"
Cognos Incorporated,US20040064349,Cognos Incorporated
Cognos Incorporated,US20040236738,Cognos Incorporated
"Gofigure, L.L.C",US7065342,"Gofigure, L.L.C"
Yahoo! Inc,US20080104199,Yahoo! Inc
Verizon Business Network Services Inc,US20090265236,Verizon Business Network Services Inc
"Gofigure Media, Llc",US20090070833,"Gofigure Media, Llc"
"Gofigure Media, Llc",US20090076892,"Gofigure Media, Llc"
"Gofigure Media, Llc",US20130081070,"Gofigure Media, Llc"
The Nielsen Company (Us) Llc,US20120296699,The Nielsen Company (Us) Llc
"Fluential, Llc",US20140108019,"Fluential, Llc"
"Gofigure Media, Llc",US20150019693,"Gofigure Media, Llc"
Matsutani Kagaku Kogyo Kk,EP0700636,Matsutani Kagaku Kogyo Kk
Koransha Kk,EP0544914,Koransha Kk
"Conagra, Inc",EP0552006,"Conagra, Inc"
"Kraft Foods Holdings, Inc",CA2581975,"Kraft Foods Holdings, Inc"
"General Mills, Inc",CA2564350,"General Mills, Inc"
Google Inc,CA2600685,Google Inc
First Data Corporation,CA2476305,First Data Corporation
Henny Penny Corporation,US5352865,Henny Penny Corporation
The Mead Corporation,US20020088206,The Mead Corporation
Google Inc,US20060200478,Google Inc
Aol Inc,US7403939,Aol Inc
Raytheon Company,US20080288434,Raytheon Company
Aol Inc,US7774342,Aol Inc
Verizon Patent And Licensing Inc,US20090279681,Verizon Patent And Licensing Inc
Broadcom Corporation,US20110262132,Broadcom Corporation
Aol Inc,US08166025,Aol Inc
LG Electronics Inc,US20130335418,LG Electronics Inc
Mdialog Corporation,US08495675,Mdialog Corporation
Kraft Foods Global Brands Llc,US20110244105,Kraft Foods Global Brands Llc
"Allied Blending & Ingredients, Inc",US20130295265,"Allied Blending & Ingredients, Inc"
Kraft Foods Global Brands Llc,US20150024091,Kraft Foods Global Brands Llc
"Omega Air Flow-21, Ltd",US4421018,"Omega Air Flow-21, Ltd"
Chesapeake Packaging Company,US5118032,Chesapeake Packaging Company
"Omega Air Flow-21, Ltd",US4503760,"Omega Air Flow-21, Ltd"
Leitner Corporation,US4457140,Leitner Corporation
James Riker Corporation Of Virginia,US4865921,James Riker Corporation Of Virginia
Miyoshi Oil & Fat Co Ltd,US4798733,Miyoshi Oil & Fat Co Ltd
Leitner Corporation,US4685311,Leitner Corporation
James River Corporation,US4661671,James River Corporation
"Grabb-It, Inc",US20010000938,"Grabb-It, Inc"
"Toyo Metallizing Co., Ltd",US5399842,"Toyo Metallizing Co., Ltd"
"Sbc Properties, L.P",US20020057780,"Sbc Properties, L.P"
"True Label, Inc",US6228451,"True Label, Inc"
International Business Machines Corporation,US6425127,International Business Machines Corporation
Matiss Inc,US6364653,Matiss Inc
Rockwell Electronic Commerce,US6625259,Rockwell Electronic Commerce
"Samsung Electronics Co., Ltd",US20050015462,"Samsung Electronics Co., Ltd"
"Sbc Properties, L.P",US20050031113,"Sbc Properties, L.P"
"Pdoc, Llc",US20050274780,"Pdoc, Llc"
AT&T Corp,US20070121875,AT&T Corp
AT&T Corp,US20080215740,AT&T Corp
Verizon Data Services Llc,US20080155388,Verizon Data Services Llc
Sandisk Il Ltd,US20080108337,Sandisk Il Ltd
Google Inc,US20100191768,Google Inc
Kraft Foods Global Brands Llc,US20100047402,Kraft Foods Global Brands Llc
"General Mills, Inc",US20130266702,"General Mills, Inc"
Patentsmith Corporation,WO1992020232,Patentsmith Corporation
Intellocity Usa Inc,WO2003012744,Intellocity Usa Inc
Kabushiki Kaisha Toshiba,EP0562741,Kabushiki Kaisha Toshiba
"Samsung Electronics Co., Ltd",EP2813931,"Samsung Electronics Co., Ltd"
Wisconsin Alumni Research Foundation,WO1987003453,Wisconsin Alumni Research Foundation
Chr. Hansen A/S,WO2007047592,Chr. Hansen A/S
Danisco A/S,WO2002039828,Danisco A/S
Google Inc,WO2005066846,Google Inc
Google Inc,WO2009094664,Google Inc
Sony Corporation,US20090150772,Sony Corporation
"Mapquest, Inc",US08095303,"Mapquest, Inc"
"Facebook, Inc",US20120109509,"Facebook, Inc"
Ilapak Internat S A,EP1583693,Ilapak Internat S A
Research In Motion Limited,EP2096846,Research In Motion Limited
Nestle Sa,EP0816561,Nestle Sa
Nokia Corporation,EP0963095,Nokia Corporation
Techfood S N C Di Iori E Casta,EP1219213,Techfood S N C Di Iori E Casta
Sca Packaging Marketing N V,EP1514695,Sca Packaging Marketing N V
"Mars, Incorporated",EP1534086,"Mars, Incorporated"
Novozymes A/S,EP1532863,Novozymes A/S
Hydrovoima Oy,EP1534077,Hydrovoima Oy
Frisco Findus Ag,EP0558783,Frisco Findus Ag
Koninkl Kpn Nv,EP2112813,Koninkl Kpn Nv
"Advanced Flexible Composites, Inc",EP1952736,"Advanced Flexible Composites, Inc"
"Disney Enterprises, Inc",EP2560104,"Disney Enterprises, Inc"
"Disney Enterprises, Inc",EP2560103,"Disney Enterprises, Inc"
"Volt Delta Resources, Llc",CA2785081,"Volt Delta Resources, Llc"
Hydrovoima Oy,CA2460054,Hydrovoima Oy
Reactor Spirits Norway Ltd,CA2597104,Reactor Spirits Norway Ltd
"Air Products And Chemicals, Inc",ZA199405466,"Air Products And Chemicals, Inc"
Societe Des Produits Nestle S.A,IL46141,Societe Des Produits Nestle S.A
Societe Des Produits Nestle S.A,CA2199742,Societe Des Produits Nestle S.A
Research In Motion Limited,CA2654805,Research In Motion Limited
Hofmann-Menu Holding Gmbh,CA2307120,Hofmann-Menu Holding Gmbh
Ilapak Macchine Automatiche S.A,IL165597,Ilapak Macchine Automatiche S.A
Techfood S N C Di Iori E Casta,CA2364830,Techfood S N C Di Iori E Casta
Artos S.A,CA2420156,Artos S.A
Formcook Ab,EP0903099,Formcook Ab
Tellabs Oy,EP2741519,Tellabs Oy
Nestle Sa,EP0437853,Nestle Sa
Hoechst Diafoil Company,EP0864415,Hoechst Diafoil Company
Kureha Corp,EP1084035,Kureha Corp
Nestec,EP2309877,Nestec
"Graphic Packaging International, Inc",EP2610196,"Graphic Packaging International, Inc"
Redpoint Pty Ltd,WO2008052259,Redpoint Pty Ltd
National Equipment Corporation,US3955007,National Equipment Corporation
"Little Caesar Enterprises, Inc",US5186098,"Little Caesar Enterprises, Inc"
"JenoS, Inc",US4341136,"JenoS, Inc"
Nestec,US4600159,Nestec
"Federal Paper Board Co., Inc",US4632302,"Federal Paper Board Co., Inc"
"Giles Enterprises, Inc",US4902316,"Giles Enterprises, Inc"
Wells Manufacturing,US4957226,Wells Manufacturing
Macmillan Bloedel Containers,US5379934,Macmillan Bloedel Containers
Tyson Holding Company,US5478584,Tyson Holding Company
"Pilgrim Telephone, Inc",US5146491,"Pilgrim Telephone, Inc"
LG Electronics Inc,US6127666,LG Electronics Inc
Unilever Patent Holdings B.V,US5405626,Unilever Patent Holdings B.V
Mcfarlin Supply Corp,US6037569,Mcfarlin Supply Corp
AT&T Corp,US5970473,AT&T Corp
Nokia Corporation,US20020095333,Nokia Corporation
"Kirusa, Inc",US20030032410,"Kirusa, Inc"
"Alpine Electronics, Inc",US20050107949,"Alpine Electronics, Inc"
"Bea Systems, Inc",US20050131875,"Bea Systems, Inc"
"Bea Systems, Inc",US20050114328,"Bea Systems, Inc"
Microsoft Corporation,US20060004563,Microsoft Corporation
"Quantum Technical Services, Inc",US20060061093,"Quantum Technical Services, Inc"
"Mork Marketing, Inc",US20050033554,"Mork Marketing, Inc"
Verizon Patent And Licensing Inc,US20080092158,Verizon Patent And Licensing Inc
Am Manufacturing Co,US20080141874,Am Manufacturing Co
"Gofigure, L.L.C",US20090075649,"Gofigure, L.L.C"
Roche Diagnostics Gmbh,US20090271729,Roche Diagnostics Gmbh
Nokia Corporation,US20080120186,Nokia Corporation
"Mayekawa Mfg. Co., Ltd",US20100143544,"Mayekawa Mfg. Co., Ltd"
"Prince Castle, Inc",US20120294596,"Prince Castle, Inc"
Rs Software,US20120245990,Rs Software
Google Inc,US20140188742,Google Inc
Fonterra Co-Operative Group Limited,WO2008063084,Fonterra Co-Operative Group Limited
"Pressco Technology, Inc",WO2010102261,"Pressco Technology, Inc"
LG Electronics Inc,WO2008084916,LG Electronics Inc
Google Inc,WO2013016172,Google Inc
"Graphic Packaging International, Inc",CA2686600,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",CA2474927,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",EP2181937,"Graphic Packaging International, Inc"
Pikono S.R.L,EP1844657,Pikono S.R.L
Firmenich Sa,EP1836902,Firmenich Sa
Cit Alcatel,EP1455282,Cit Alcatel
Scm Corporation,EP0208791,Scm Corporation
Nestle Sa,EP0547370,Nestle Sa
M P G Co Ltd,EP0797930,M P G Co Ltd
Devro Plc,EP0790777,Devro Plc
Qualcomm Incorporated,EP1208708,Qualcomm Incorporated
"Graphic Packaging International, Inc",EP1993919,"Graphic Packaging International, Inc"
"Motorola, Inc",EP0676253,"Motorola, Inc"
Patentsmith Corporation,EP0634897,Patentsmith Corporation
Foseco Int,EP0457451,Foseco Int
"Otsuka Pharmaceutical Co., Ltd",EP0427875,"Otsuka Pharmaceutical Co., Ltd"
Nestec,EP1900293,Nestec
"Graphic Packaging International, Inc",EP1040054,"Graphic Packaging International, Inc"
Matsushita Electric Ind Co Ltd,EP0296527,Matsushita Electric Ind Co Ltd
Tno,EP1228695,Tno
"Kraft Foods Holdings, Inc",CA2532246,"Kraft Foods Holdings, Inc"
Printpak Limited T/A Keartland Press,ZA199009583,Printpak Limited T/A Keartland Press
Frisco Findus Ag,ZA198807748,Frisco Findus Ag
"Ronco Inventions, Llc",CA2580789,"Ronco Inventions, Llc"
Bsh Home Appliances Corporation,CA2621984,Bsh Home Appliances Corporation
Illumicell Corporation,CA2600849,Illumicell Corporation
"Graphic Packaging International, Inc",CA2643475,"Graphic Packaging International, Inc"
Devro Plc,CA2205037,Devro Plc
Teleflex Inc,CA2273143,Teleflex Inc
"Xg Technology, Inc",CA2686806,"Xg Technology, Inc"
Real 2000 Limited,CA2295916,Real 2000 Limited
Nestec,CA2661865,Nestec
"Graphic Packaging International, Inc",CA2774978,"Graphic Packaging International, Inc"
Teleflex Inc,EP0967418,Teleflex Inc
Akpharma Inc,US5665415,Akpharma Inc
"LAir Liquide, Societe Anonyme Pour LEtude Et LExploitation Des Procedes Georges Claude",US4687672,"LAir Liquide, Societe Anonyme Pour LEtude Et LExploitation Des Procedes Georges Claude"
International Paper Company,US5220141,International Paper Company
"Little Caesar Enterprises, Inc",US5756137,"Little Caesar Enterprises, Inc"
Societe Altec S.A.R.L,US20020071894,Societe Altec S.A.R.L
"Kraft Foods Holdings, Inc",US6575299,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",US20030213722,"Kraft Foods Holdings, Inc"
"University Of Florida Research Foundation, Inc",US20050013917,"University Of Florida Research Foundation, Inc"
Ajinomoto Kk,US20050129818,Ajinomoto Kk
Leprino Foods Company,US20050249854,Leprino Foods Company
Google Inc,US20060149774,Google Inc
Leprino Foods Company,US20060083822,Leprino Foods Company
"Networks In Motion, Inc",US20070277100,"Networks In Motion, Inc"
"Sataco Co., Ltd",US20080017183,"Sataco Co., Ltd"
"Nuance Communications, Inc",US20070061146,"Nuance Communications, Inc"
"Novation Science Holding, Llc",US20090171934,"Novation Science Holding, Llc"
Agere Systems Inc,US20090209270,Agere Systems Inc
Microsoft Corporation,US20100144439,Microsoft Corporation
Google Inc,US20100250552,Google Inc
"Nuance Communications, Inc",US20120046950,"Nuance Communications, Inc"
Leprino Foods Company,US20110097441,Leprino Foods Company
"Nuance Communications, Inc",US20130158994,"Nuance Communications, Inc"
Angel.Com,US20140038578,Angel.Com
Leprino Foods Company,US20140134294,Leprino Foods Company
Leprino Foods Company,US20140141145,Leprino Foods Company
Sony Corporation,US20150007219,Sony Corporation
Angel.Com,US20140037076,Angel.Com
Angel.Com,US20140037075,Angel.Com
Goole Inc,WO2007115197,Goole Inc
"Optical Entertainment Network, Inc",WO2006097826,"Optical Entertainment Network, Inc"
Akpharma Inc,WO1997004661,Akpharma Inc
Spice Sciences Oy,WO1999043218,Spice Sciences Oy
JF Arbuckle Medical Pty Ltd,WO2010115236,JF Arbuckle Medical Pty Ltd
Electronic Credit Systems Corporation,WO2008109673,Electronic Credit Systems Corporation
Rhone-Poulenc Inc,US5380542,Rhone-Poulenc Inc
Unilever Plc,EP1205865,Unilever Plc
Stork Titan Bv,EP1906802,Stork Titan Bv
Heden Team A.G,EP0113327,Heden Team A.G
Uni Colloid Kabushiki Kaisha,EP0603879,Uni Colloid Kabushiki Kaisha
AT&T Corp,EP0498594,AT&T Corp
The Mead Corporation,EP0946392,The Mead Corporation
The Goodyear Tire & Rubber Company,EP0928240,The Goodyear Tire & Rubber Company
Tromp Holding B V,EP1437054,Tromp Holding B V
Enodis Corporation,EP1487281,Enodis Corporation
Star Mfg Co,EP1541363,Star Mfg Co
G. S. Blodgett Corporation,EP0664956,G. S. Blodgett Corporation
Frisco Findus Ag,EP0091981,Frisco Findus Ag
British Telecomm,EP1708465,British Telecomm
Nortel Networks Limited,EP1003344,Nortel Networks Limited
"Turbochef Technologies, Inc",EP0724821,"Turbochef Technologies, Inc"
"Bakers Pride Oven Co., Inc",EP0280727,"Bakers Pride Oven Co., Inc"
Nokia Corporation,EP1312197,Nokia Corporation
Societe Des Produits Nestle S.A,CA2173033,Societe Des Produits Nestle S.A
Bunn-O-Matic Corporation,CA2517044,Bunn-O-Matic Corporation
The Goodyear Tire & Rubber Company,CA2264095,The Goodyear Tire & Rubber Company
The Mead Corporation,CA2272284,The Mead Corporation
Beckett Industries Inc,CA2048978,Beckett Industries Inc
"Ganeden Biotech, Inc",CA2698190,"Ganeden Biotech, Inc"
Nortel Networks Limited,CA2277431,Nortel Networks Limited
Enodis Corporation,CA2480297,Enodis Corporation
